Time,docs
2023-04-26,89
2023-04-27,92
2023-04-28,79
2023-04-29,37
2023-04-30,44
2023-05-01,100
2023-05-02,94
2023-05-03,87
2023-05-04,90
2023-05-05,73
2023-05-06,34
2023-05-07,36
2023-05-08,92
2023-05-09,89
2023-05-10,87
2023-05-11,85
2023-05-12,72
2023-05-13,29
2023-05-14,31
2023-05-15,84
2023-05-16,82
2023-05-17,77
2023-05-18,77
2023-05-19,67
2023-05-20,26
2023-05-21,31
2023-05-22,73
2023-05-23,69
2023-05-24,68
2023-05-25,64
2023-05-26,50
2023-05-27,23
2023-05-28,21
2023-05-29,27
2023-05-30,56
2023-05-31,55
2023-06-01,53
2023-06-02,44
2023-06-03,21
2023-06-04,25
2023-06-05,52
2023-06-06,50
2023-06-07,46
2023-06-08,45
2023-06-09,38
2023-06-10,22
2023-06-11,24
2023-06-12,42
2023-06-13,42
2023-06-14,40
2023-06-15,38
2023-06-16,30
2023-06-17,19
2023-06-18,17
2023-06-19,30
2023-06-20,35
2023-06-21,34
2023-06-22,32
2023-06-23,30
2023-06-24,18
2023-06-25,20
2023-06-26,35
2023-06-27,34
2023-06-28,34
2023-06-29,33
2023-06-30,28
2023-07-01,18
2023-07-02,18
2023-07-03,29
2023-07-04,18
2023-07-05,31
2023-07-06,35
2023-07-07,31
2023-07-08,20
2023-07-09,18
2023-07-10,32
2023-07-11,33
2023-07-12,30
2023-07-13,32
2023-07-14,28
2023-07-15,19
2023-07-16,20
2023-07-17,32
2023-07-18,29
2023-07-19,29
2023-07-20,28
2023-07-21,24
2023-07-22,16
2023-07-23,16
2023-07-24,29
2023-07-25,28
2023-07-26,27
2023-07-27,27
2023-07-28,24
2023-07-29,16
2023-07-30,17
2023-07-31,28
2023-08-01,29
2023-08-02,29
2023-08-03,30
2023-08-04,27
2023-08-05,17
2023-08-06,17
2023-08-07,31
2023-08-08,31
2023-08-09,34
2023-08-10,34
2023-08-11,33
2023-08-12,16
2023-08-13,18
2023-08-14,39
2023-08-15,41
2023-08-16,46
2023-08-17,46
2023-08-18,42
2023-08-19,18
2023-08-20,21
2023-08-21,55
2023-08-22,61
2023-08-23,66
2023-08-24,65
2023-08-25,55
2023-08-26,21
2023-08-27,27
2023-08-28,73
2023-08-29,72
2023-08-30,75
2023-08-31,73
2023-09-01,61
2023-09-02,20
2023-09-03,24
2023-09-04,33
2023-09-05,78
2023-09-06,81
2023-09-07,83
2023-09-08,73
2023-09-09,27
2023-09-10,31
2023-09-11,88
2023-09-12,93
2023-09-13,90
2023-09-14,89
2023-09-15,75
2023-09-16,29
2023-09-17,34
2023-09-18,88
2023-09-19,89
2023-09-20,87
2023-09-21,90
2023-09-22,73
2023-09-23,29
2023-09-24,34
2023-09-25,83
2023-09-26,89
2023-09-27,90
2023-09-28,91
2023-09-29,79
2023-09-30,29
2023-10-01,35
2023-10-02,89
2023-10-03,89
2023-10-04,86
2023-10-05,90
2023-10-06,69
2023-10-07,28
2023-10-08,31
2023-10-09,71
2023-10-10,83
2023-10-11,83
2023-10-12,84
2023-10-13,65
2023-10-14,28
2023-10-15,34
2023-10-16,82
2023-10-17,88
2023-10-18,80
2023-10-19,81
2023-10-20,68
2023-10-21,28
2023-10-22,34
2023-10-23,84
2023-10-24,89
2023-10-25,85
2023-10-26,84
2023-10-27,62
2023-10-28,26
2023-10-29,30
2023-10-30,85
2023-10-31,80
2023-11-01,77
2023-11-02,83
2023-11-03,69
2023-11-04,27
2023-11-05,33
2023-11-06,82
2023-11-07,77
2023-11-08,82
2023-11-09,78
2023-11-10,54
2023-11-11,27
2023-11-12,31
2023-11-13,80
2023-11-14,85
2023-11-15,84
2023-11-16,82
2023-11-17,69
2023-11-18,28
2023-11-19,29
2023-11-20,60
2023-11-21,52
2023-11-22,32
2023-11-23,17
2023-11-24,17
2023-11-25,20
2023-11-26,30
2023-11-27,79
2023-11-28,81
2023-11-29,84
2023-11-30,83
2023-12-01,74
2023-12-02,32
2023-12-03,34
2023-12-04,91
2023-12-05,91
2023-12-06,89
2023-12-07,88
2023-12-08,86
2023-12-09,39
2023-12-10,41
2023-12-11,89
2023-12-12,86
2023-12-13,81
2023-12-14,73
2023-12-15,61
2023-12-16,24
2023-12-17,24
2023-12-18,51
2023-12-19,49
2023-12-20,42
2023-12-21,35
2023-12-22,22
2023-12-23,15
2023-12-24,13
2023-12-25,12
2023-12-26,15
2023-12-27,17
2023-12-28,17
2023-12-29,16
2023-12-30,14
2023-12-31,15
2024-01-01,15
2024-01-02,31
2024-01-03,41
2024-01-04,45
2024-01-05,43
2024-01-06,19
2024-01-07,23
2024-01-08,53
2024-01-09,55
2024-01-10,63
2024-01-11,63
2024-01-12,55
2024-01-13,21
2024-01-14,22
2024-01-15,29
2024-01-16,54
2024-01-17,66
2024-01-18,68
2024-01-19,57
2024-01-20,24
