Time,docs
2025-12-11,51
2025-12-12,46
2025-12-13,23
2025-12-14,23
2025-12-15,47
2025-12-16,43
2025-12-17,42
2025-12-18,38
2025-12-19,29
2025-12-20,15
2025-12-21,14
2025-12-22,22
2025-12-23,16
2025-12-24,14
2025-12-25,10
2025-12-26,12
2025-12-27,12
2025-12-28,12
2025-12-29,16
2025-12-30,16
2025-12-31,14
2026-01-01,12
2026-01-02,15
2026-01-03,15
2026-01-04,15
2026-01-05,30
2026-01-06,36
2026-01-07,38
2026-01-08,38
2026-01-09,37
2026-01-10,16
2026-01-11,19
2026-01-12,43
2026-01-13,47
2026-01-14,45
2026-01-15,46
2026-01-16,41
2026-01-17,20
2026-01-18,18
2026-01-19,27
2026-01-20,46
2026-01-21,50
2026-01-22,48
2026-01-23,43
2026-01-24,23
2026-01-25,24
2026-01-26,40
2026-01-27,47
2026-01-28,47
2026-01-29,53
2026-01-30,47
2026-01-31,27
2026-02-01,30
2026-02-02,53
2026-02-03,51
2026-02-04,53
2026-02-05,54
2026-02-06,46
2026-02-07,24
2026-02-08,24
2026-02-09,44
2026-02-10,55
2026-02-11,54
2026-02-12,51
2026-02-13,42
2026-02-14,24
2026-02-15,26
2026-02-16,39
2026-02-17,46
2026-02-18,49
2026-02-19,48
2026-02-20,45
2026-02-21,28
2026-02-22,28
2026-02-23,54
2026-02-24,54
2026-02-25,55
2026-02-26,55
2026-02-27,48
2026-02-28,26
2026-03-01,28
2026-03-02,58
2026-03-03,57
2026-03-04,55
2026-03-05,59
2026-03-06,67
2026-03-07,43
2026-03-08,42
2026-03-09,74
2026-03-10,75
2026-03-11,70
2026-03-12,71
2026-03-13,64
2026-03-14,45
2026-03-15,46
2026-03-16,72
2026-03-17,71
2026-03-18,70
2026-03-19,74
2026-03-20,69
2026-03-21,45
2026-03-22,48
2026-03-23,75
2026-03-24,74
2026-03-25,79
2026-03-26,83
2026-03-27,77
2026-03-28,57
2026-03-29,65
2026-03-30,80
2026-03-31,83
2026-04-01,84
2026-04-02,76
2026-04-03,61
2026-04-04,45
2026-04-05,51
2026-04-06,73
2026-04-07,85
2026-04-08,98
2026-04-09,98
2026-04-10,77
2026-04-11,50
2026-04-12,50
2026-04-13,77
2026-04-14,83
2026-04-15,78
2026-04-16,82
2026-04-17,77
2026-04-18,50
2026-04-19,51
2026-04-20,79
2026-04-21,85
2026-04-22,83
2026-04-23,87
2026-04-24,71
2026-04-25,52
2026-04-26,63
2026-04-27,79
2026-04-28,79
2026-04-29,76
2026-04-30,73
2026-05-01,65
2026-05-02,53
2026-05-03,57
2026-05-04,76
2026-05-05,72
2026-05-06,73
2026-05-07,73
2026-05-08,72
2026-05-09,39
2026-05-10,44
2026-05-11,68
2026-05-12,72
2026-05-13,76
2026-05-14,77
2026-05-15,66
2026-05-16,60
2026-05-17,62
2026-05-18,72
2026-05-19,75
2026-05-20,83
2026-05-21,71
2026-05-22,72
2026-05-23,66
2026-05-24,74
2026-05-25,80
2026-05-26,89
2026-05-27,85
2026-05-28,88
2026-05-29,78
2026-05-30,81
2026-05-31,100
