Time,amazon
2025-12-11,94
2025-12-12,91
2025-12-13,91
2025-12-14,89
2025-12-15,94
2025-12-16,90
2025-12-17,93
2025-12-18,100
2025-12-19,96
2025-12-20,93
2025-12-21,85
2025-12-22,85
2025-12-23,79
2025-12-24,73
2025-12-25,73
2025-12-26,84
2025-12-27,81
2025-12-28,77
2025-12-29,81
2025-12-30,80
2025-12-31,78
2026-01-01,66
2026-01-02,75
2026-01-03,77
2026-01-04,71
2026-01-05,73
2026-01-06,78
2026-01-07,75
2026-01-08,71
2026-01-09,75
2026-01-10,74
2026-01-11,78
2026-01-12,72
2026-01-13,72
2026-01-14,69
2026-01-15,73
2026-01-16,73
2026-01-17,72
2026-01-18,70
2026-01-19,73
2026-01-20,70
2026-01-21,74
2026-01-22,72
2026-01-23,65
2026-01-24,67
2026-01-25,66
2026-01-26,68
2026-01-27,73
2026-01-28,80
2026-01-29,77
2026-01-30,74
2026-01-31,74
2026-02-01,77
2026-02-02,69
2026-02-03,72
2026-02-04,73
2026-02-05,73
2026-02-06,72
2026-02-07,69
2026-02-08,64
2026-02-09,60
2026-02-10,68
2026-02-11,69
2026-02-12,66
2026-02-13,66
2026-02-14,62
2026-02-15,65
2026-02-16,69
2026-02-17,66
2026-02-18,68
2026-02-19,66
2026-02-20,65
2026-02-21,66
2026-02-22,64
2026-02-23,68
2026-02-24,69
2026-02-25,69
2026-02-26,70
2026-02-27,65
2026-02-28,70
2026-03-01,67
2026-03-02,73
2026-03-03,73
2026-03-04,73
2026-03-05,89
2026-03-06,72
2026-03-07,71
2026-03-08,73
2026-03-09,75
2026-03-10,75
2026-03-11,73
2026-03-12,69
2026-03-13,71
2026-03-14,70
2026-03-15,71
2026-03-16,67
2026-03-17,70
2026-03-18,76
2026-03-19,72
2026-03-20,70
2026-03-21,71
2026-03-22,74
2026-03-23,73
2026-03-24,72
2026-03-25,77
2026-03-26,73
2026-03-27,72
2026-03-28,75
2026-03-29,77
2026-03-30,73
2026-03-31,74
2026-04-01,75
2026-04-02,73
2026-04-03,68
2026-04-04,70
2026-04-05,68
2026-04-06,76
2026-04-07,74
2026-04-08,78
2026-04-09,75
2026-04-10,72
2026-04-11,71
2026-04-12,75
2026-04-13,70
2026-04-14,74
2026-04-15,77
2026-04-16,77
2026-04-17,76
2026-04-18,72
2026-04-19,73
2026-04-20,71
2026-04-21,75
2026-04-22,75
2026-04-23,75
2026-04-24,66
2026-04-25,69
2026-04-26,71
2026-04-27,72
2026-04-28,74
2026-04-29,73
2026-04-30,73
2026-05-01,73
2026-05-02,74
2026-05-03,74
2026-05-04,74
2026-05-05,74
2026-05-06,76
2026-05-07,75
2026-05-08,71
2026-05-09,74
2026-05-10,67
2026-05-11,72
2026-05-12,77
2026-05-13,76
2026-05-14,76
2026-05-15,72
2026-05-16,74
2026-05-17,73
2026-05-18,78
2026-05-19,76
2026-05-20,75
2026-05-21,74
2026-05-22,76
2026-05-23,72
2026-05-24,75
2026-05-25,77
2026-05-26,74
2026-05-27,76
2026-05-28,74
2026-05-29,75
2026-05-30,72
2026-05-31,78
