Time,amazon
2022-08-29,66
2022-08-30,64
2022-08-31,63
2022-09-01,63
2022-09-02,63
2022-09-03,64
2022-09-04,64
2022-09-05,69
2022-09-06,63
2022-09-07,62
2022-09-08,59
2022-09-09,58
2022-09-10,61
2022-09-11,62
2022-09-12,62
2022-09-13,66
2022-09-14,62
2022-09-15,66
2022-09-16,68
2022-09-17,61
2022-09-18,63
2022-09-19,63
2022-09-20,63
2022-09-21,59
2022-09-22,64
2022-09-23,64
2022-09-24,59
2022-09-25,62
2022-09-26,62
2022-09-27,63
2022-09-28,59
2022-09-29,60
2022-09-30,61
2022-10-01,62
2022-10-02,64
2022-10-03,66
2022-10-04,64
2022-10-05,63
2022-10-06,63
2022-10-07,68
2022-10-08,65
2022-10-09,66
2022-10-10,68
2022-10-11,78
2022-10-12,81
2022-10-13,71
2022-10-14,67
2022-10-15,59
2022-10-16,64
2022-10-17,69
2022-10-18,68
2022-10-19,68
2022-10-20,64
2022-10-21,64
2022-10-22,63
2022-10-23,68
2022-10-24,65
2022-10-25,65
2022-10-26,66
2022-10-27,68
2022-10-28,65
2022-10-29,61
2022-10-30,60
2022-10-31,58
2022-11-01,62
2022-11-02,61
2022-11-03,67
2022-11-04,65
2022-11-05,63
2022-11-06,63
2022-11-07,67
2022-11-08,63
2022-11-09,57
2022-11-10,66
2022-11-11,66
2022-11-12,68
2022-11-13,69
2022-11-14,71
2022-11-15,72
2022-11-16,72
2022-11-17,71
2022-11-18,71
2022-11-19,72
2022-11-20,78
2022-11-21,72
2022-11-22,71
2022-11-23,67
2022-11-24,66
2022-11-25,100
2022-11-26,86
2022-11-27,85
2022-11-28,92
2022-11-29,82
2022-11-30,73
2022-12-01,75
2022-12-02,75
2022-12-03,76
2022-12-04,77
2022-12-05,78
2022-12-06,76
2022-12-07,81
2022-12-08,82
2022-12-09,78
2022-12-10,82
2022-12-11,87
2022-12-12,83
2022-12-13,82
2022-12-14,81
2022-12-15,83
2022-12-16,84
2022-12-17,84
2022-12-18,81
2022-12-19,85
2022-12-20,80
2022-12-21,79
2022-12-22,72
2022-12-23,70
2022-12-24,61
2022-12-25,69
2022-12-26,80
2022-12-27,79
2022-12-28,77
2022-12-29,74
2022-12-30,73
2022-12-31,64
2023-01-01,59
2023-01-02,71
2023-01-03,68
2023-01-04,68
2023-01-05,66
2023-01-06,67
2023-01-07,66
2023-01-08,68
2023-01-09,65
2023-01-10,67
2023-01-11,63
2023-01-12,63
2023-01-13,62
2023-01-14,63
2023-01-15,63
2023-01-16,68
2023-01-17,62
2023-01-18,62
2023-01-19,62
2023-01-20,59
2023-01-21,63
2023-01-22,63
2023-01-23,64
2023-01-24,63
2023-01-25,61
2023-01-26,61
2023-01-27,58
2023-01-28,61
2023-01-29,61
2023-01-30,61
2023-01-31,63
2023-02-01,62
2023-02-02,65
2023-02-03,64
2023-02-04,64
2023-02-05,67
2023-02-06,63
2023-02-07,63
2023-02-08,61
2023-02-09,60
2023-02-10,59
2023-02-11,65
2023-02-12,61
2023-02-13,55
2023-02-14,56
2023-02-15,60
2023-02-16,59
2023-02-17,60
2023-02-18,62
2023-02-19,62
2023-02-20,60
2023-02-21,61
2023-02-22,61
2023-02-23,58
2023-02-24,59
2023-02-25,62
2023-02-26,65
2023-02-27,63
2023-02-28,59
2023-03-01,61
2023-03-02,63
2023-03-03,61
2023-03-04,62
2023-03-05,65
2023-03-06,63
2023-03-07,63
2023-03-08,61
2023-03-09,63
2023-03-10,62
2023-03-11,61
2023-03-12,63
2023-03-13,63
2023-03-14,61
2023-03-15,62
2023-03-16,61
2023-03-17,58
2023-03-18,60
2023-03-19,67
2023-03-20,63
2023-03-21,62
2023-03-22,61
2023-03-23,60
2023-03-24,61
2023-03-25,62
2023-03-26,67
2023-03-27,60
2023-03-28,59
2023-03-29,60
2023-03-30,62
2023-03-31,59
2023-04-01,61
2023-04-02,64
2023-04-03,60
2023-04-04,62
2023-04-05,58
2023-04-06,60
2023-04-07,62
2023-04-08,58
2023-04-09,57
2023-04-10,61
2023-04-11,61
2023-04-12,60
2023-04-13,58
2023-04-14,60
2023-04-15,62
2023-04-16,63
2023-04-17,60
2023-04-18,61
2023-04-19,62
2023-04-20,62
2023-04-21,61
2023-04-22,65
2023-04-23,66
2023-04-24,61
2023-04-25,60
2023-04-26,62
2023-04-27,62
2023-04-28,59
2023-04-29,61
2023-04-30,64
2023-05-01,62
2023-05-02,62
2023-05-03,62
2023-05-04,60
2023-05-05,58
2023-05-06,60
2023-05-07,61
2023-05-08,63
2023-05-09,62
2023-05-10,62
2023-05-11,61
2023-05-12,60
2023-05-13,61
2023-05-14,61
2023-05-15,60
2023-05-16,61
2023-05-17,60
2023-05-18,61
2023-05-19,61
2023-05-20,59
2023-05-21,62
2023-05-22,59
2023-05-23,64
2023-05-24,61
2023-05-25,64
