Time,amazon
2023-04-26,51
2023-04-27,51
2023-04-28,49
2023-04-29,51
2023-04-30,53
2023-05-01,51
2023-05-02,51
2023-05-03,51
2023-05-04,50
2023-05-05,48
2023-05-06,50
2023-05-07,51
2023-05-08,52
2023-05-09,51
2023-05-10,51
2023-05-11,51
2023-05-12,50
2023-05-13,51
2023-05-14,50
2023-05-15,50
2023-05-16,51
2023-05-17,50
2023-05-18,50
2023-05-19,51
2023-05-20,49
2023-05-21,52
2023-05-22,49
2023-05-23,53
2023-05-24,50
2023-05-25,53
2023-05-26,50
2023-05-27,51
2023-05-28,50
2023-05-29,54
2023-05-30,53
2023-05-31,53
2023-06-01,52
2023-06-02,52
2023-06-03,51
2023-06-04,54
2023-06-05,51
2023-06-06,55
2023-06-07,53
2023-06-08,53
2023-06-09,51
2023-06-10,52
2023-06-11,53
2023-06-12,56
2023-06-13,55
2023-06-14,56
2023-06-15,55
2023-06-16,53
2023-06-17,52
2023-06-18,52
2023-06-19,54
2023-06-20,55
2023-06-21,54
2023-06-22,50
2023-06-23,51
2023-06-24,52
2023-06-25,54
2023-06-26,55
2023-06-27,56
2023-06-28,52
2023-06-29,53
2023-06-30,55
2023-07-01,52
2023-07-02,54
2023-07-03,56
2023-07-04,51
2023-07-05,54
2023-07-06,53
2023-07-07,56
2023-07-08,56
2023-07-09,57
2023-07-10,61
2023-07-11,100
2023-07-12,88
2023-07-13,65
2023-07-14,58
2023-07-15,53
2023-07-16,54
2023-07-17,55
2023-07-18,56
2023-07-19,52
2023-07-20,52
2023-07-21,53
2023-07-22,49
2023-07-23,53
2023-07-24,53
2023-07-25,53
2023-07-26,55
2023-07-27,51
2023-07-28,50
2023-07-29,51
2023-07-30,51
2023-07-31,50
2023-08-01,52
2023-08-02,55
2023-08-03,54
2023-08-04,53
2023-08-05,51
2023-08-06,54
2023-08-07,56
2023-08-08,53
2023-08-09,54
2023-08-10,52
2023-08-11,50
2023-08-12,51
2023-08-13,52
2023-08-14,52
2023-08-15,54
2023-08-16,54
2023-08-17,52
2023-08-18,53
2023-08-19,50
2023-08-20,52
2023-08-21,51
2023-08-22,54
2023-08-23,53
2023-08-24,51
2023-08-25,48
2023-08-26,49
2023-08-27,51
2023-08-28,50
2023-08-29,51
2023-08-30,54
2023-08-31,52
2023-09-01,48
2023-09-02,47
2023-09-03,48
2023-09-04,53
2023-09-05,49
2023-09-06,49
2023-09-07,50
2023-09-08,48
2023-09-09,49
2023-09-10,48
2023-09-11,51
2023-09-12,49
2023-09-13,49
2023-09-14,50
2023-09-15,49
2023-09-16,48
2023-09-17,50
2023-09-18,48
2023-09-19,50
2023-09-20,48
2023-09-21,49
2023-09-22,51
2023-09-23,50
2023-09-24,50
2023-09-25,52
2023-09-26,49
2023-09-27,51
2023-09-28,49
2023-09-29,51
2023-09-30,50
2023-10-01,53
2023-10-02,50
2023-10-03,51
2023-10-04,51
2023-10-05,49
2023-10-06,54
2023-10-07,52
2023-10-08,53
2023-10-09,54
2023-10-10,67
2023-10-11,71
2023-10-12,57
2023-10-13,51
2023-10-14,49
2023-10-15,53
2023-10-16,53
2023-10-17,54
2023-10-18,51
2023-10-19,52
2023-10-20,52
2023-10-21,51
2023-10-22,54
2023-10-23,51
2023-10-24,54
2023-10-25,52
2023-10-26,51
2023-10-27,53
2023-10-28,50
2023-10-29,48
2023-10-30,49
2023-10-31,48
2023-11-01,51
2023-11-02,50
2023-11-03,53
2023-11-04,52
2023-11-05,52
2023-11-06,53
2023-11-07,55
2023-11-08,52
2023-11-09,53
2023-11-10,55
2023-11-11,55
2023-11-12,56
2023-11-13,55
2023-11-14,55
2023-11-15,58
2023-11-16,56
2023-11-17,57
2023-11-18,58
2023-11-19,60
2023-11-20,63
2023-11-21,62
2023-11-22,59
2023-11-23,56
2023-11-24,82
2023-11-25,76
2023-11-26,68
2023-11-27,81
2023-11-28,72
2023-11-29,63
2023-11-30,61
2023-12-01,62
2023-12-02,68
2023-12-03,66
2023-12-04,61
2023-12-05,65
2023-12-06,63
2023-12-07,62
2023-12-08,64
2023-12-09,69
2023-12-10,72
2023-12-11,67
2023-12-12,65
2023-12-13,68
2023-12-14,65
2023-12-15,66
2023-12-16,67
2023-12-17,65
2023-12-18,62
2023-12-19,65
2023-12-20,66
2023-12-21,62
2023-12-22,60
2023-12-23,55
2023-12-24,47
2023-12-25,55
2023-12-26,61
2023-12-27,61
2023-12-28,60
2023-12-29,59
2023-12-30,52
2023-12-31,50
2024-01-01,47
2024-01-02,50
2024-01-03,57
2024-01-04,54
2024-01-05,53
2024-01-06,53
2024-01-07,53
2024-01-08,49
2024-01-09,50
2024-01-10,52
2024-01-11,49
2024-01-12,48
2024-01-13,51
2024-01-14,48
2024-01-15,51
2024-01-16,47
2024-01-17,50
2024-01-18,51
2024-01-19,49
2024-01-20,51
