Time,ny yankees
2023-12-22,25
2023-12-23,20
2023-12-24,15
2023-12-25,15
2023-12-26,16
2023-12-27,16
2023-12-28,13
2023-12-29,14
2023-12-30,15
2023-12-31,16
2024-01-01,16
2024-01-02,13
2024-01-03,14
2024-01-04,15
2024-01-05,16
2024-01-06,15
2024-01-07,15
2024-01-08,14
2024-01-09,15
2024-01-10,15
2024-01-11,16
2024-01-12,21
2024-01-13,16
2024-01-14,15
2024-01-15,15
2024-01-16,13
2024-01-17,15
2024-01-18,12
2024-01-19,13
2024-01-20,13
2024-01-21,13
2024-01-22,13
2024-01-23,13
2024-01-24,12
2024-01-25,13
2024-01-26,12
2024-01-27,11
2024-01-28,14
2024-01-29,11
2024-01-30,13
2024-01-31,13
2024-02-01,11
2024-02-02,13
2024-02-03,14
2024-02-04,15
2024-02-05,13
2024-02-06,12
2024-02-07,12
2024-02-08,12
2024-02-09,11
2024-02-10,11
2024-02-11,10
2024-02-12,11
2024-02-13,12
2024-02-14,12
2024-02-15,12
2024-02-16,13
2024-02-17,14
2024-02-18,14
2024-02-19,16
2024-02-20,15
2024-02-21,16
2024-02-22,16
2024-02-23,16
2024-02-24,23
2024-02-25,28
2024-02-26,19
2024-02-27,22
2024-02-28,18
2024-02-29,17
2024-03-01,18
2024-03-02,24
2024-03-03,21
2024-03-04,17
2024-03-05,17
2024-03-06,17
2024-03-07,14
2024-03-08,16
2024-03-09,20
2024-03-10,21
2024-03-11,19
2024-03-12,21
2024-03-13,23
2024-03-14,19
2024-03-15,17
2024-03-16,21
2024-03-17,22
2024-03-18,18
2024-03-19,15
2024-03-20,18
2024-03-21,19
2024-03-22,18
2024-03-23,20
2024-03-24,24
2024-03-25,20
2024-03-26,20
2024-03-27,21
2024-03-28,54
2024-03-29,51
2024-03-30,87
2024-03-31,99
2024-04-01,43
2024-04-02,57
2024-04-03,62
2024-04-04,34
2024-04-05,62
2024-04-06,43
2024-04-07,87
2024-04-08,39
2024-04-09,45
2024-04-10,56
2024-04-11,47
2024-04-12,36
2024-04-13,63
2024-04-14,77
2024-04-15,31
2024-04-16,38
2024-04-17,55
2024-04-18,32
2024-04-19,32
2024-04-20,71
2024-04-21,60
2024-04-22,45
2024-04-23,31
2024-04-24,52
2024-04-25,53
2024-04-26,44
2024-04-27,67
2024-04-28,79
2024-04-29,37
2024-04-30,35
2024-05-01,43
2024-05-02,49
2024-05-03,28
2024-05-04,62
2024-05-05,70
2024-05-06,28
2024-05-07,32
2024-05-08,51
2024-05-09,65
2024-05-10,38
2024-05-11,66
2024-05-12,59
2024-05-13,28
2024-05-14,31
2024-05-15,48
2024-05-16,61
2024-05-17,40
2024-05-18,75
2024-05-19,60
2024-05-20,37
2024-05-21,43
2024-05-22,48
2024-05-23,68
2024-05-24,33
2024-05-25,63
2024-05-26,87
2024-05-27,40
2024-05-28,28
2024-05-29,50
2024-05-30,52
2024-05-31,56
2024-06-01,61
2024-06-02,95
2024-06-03,35
2024-06-04,33
2024-06-05,54
2024-06-06,59
2024-06-07,74
2024-06-08,84
2024-06-09,84
2024-06-10,64
2024-06-11,52
2024-06-12,55
2024-06-13,78
2024-06-14,40
2024-06-15,77
2024-06-16,72
2024-06-17,52
2024-06-18,36
2024-06-19,73
2024-06-20,91
2024-06-21,51
2024-06-22,79
2024-06-23,86
2024-06-24,29
2024-06-25,33
2024-06-26,57
2024-06-27,71
2024-06-28,49
2024-06-29,85
2024-06-30,62
2024-07-01,30
2024-07-02,36
2024-07-03,54
2024-07-04,85
2024-07-05,39
2024-07-06,91
2024-07-07,53
2024-07-08,51
2024-07-09,32
2024-07-10,48
2024-07-11,57
2024-07-12,52
2024-07-13,79
2024-07-14,88
2024-07-15,23
2024-07-16,17
2024-07-17,19
2024-07-18,22
2024-07-19,29
2024-07-20,66
2024-07-21,58
2024-07-22,48
2024-07-23,38
2024-07-24,54
2024-07-25,59
2024-07-26,37
2024-07-27,78
2024-07-28,94
2024-07-29,82
2024-07-30,97
2024-07-31,100
2024-08-01,40
2024-08-02,44
2024-08-03,100
2024-08-04,93
2024-08-05,36
2024-08-06,33
2024-08-07,58
2024-08-08,66
2024-08-09,52
2024-08-10,70
2024-08-11,67
2024-08-12,33
2024-08-13,54
2024-08-14,54
2024-08-15,67
2024-08-16,36
2024-08-17,67
2024-08-18,51
2024-08-19,48
2024-08-20,32
2024-08-21,63
2024-08-22,70
2024-08-23,37
2024-08-24,80
2024-08-25,74
2024-08-26,40
2024-08-27,53
2024-08-28,52
2024-08-29,47
2024-08-30,33
2024-08-31,68
2024-09-01,62
2024-09-02,42
2024-09-03,45
2024-09-04,52
2024-09-05,55
2024-09-06,41
2024-09-07,53
2024-09-08,55
2024-09-09,29
2024-09-10,46
2024-09-11,45
2024-09-12,60
2024-09-13,63
2024-09-14,96
2024-09-15,71
2024-09-16,28
