Time,brendan fraser
2023-04-26,13
2023-04-27,15
2023-04-28,15
2023-04-29,19
2023-04-30,18
2023-05-01,14
2023-05-02,11
2023-05-03,11
2023-05-04,11
2023-05-05,12
2023-05-06,15
2023-05-07,18
2023-05-08,14
2023-05-09,11
2023-05-10,11
2023-05-11,10
2023-05-12,10
2023-05-13,20
2023-05-14,22
2023-05-15,13
2023-05-16,10
2023-05-17,9
2023-05-18,12
2023-05-19,13
2023-05-20,17
2023-05-21,17
2023-05-22,14
2023-05-23,13
2023-05-24,10
2023-05-25,9
2023-05-26,11
2023-05-27,16
2023-05-28,18
2023-05-29,15
2023-05-30,10
2023-05-31,10
2023-06-01,9
2023-06-02,8
2023-06-03,13
2023-06-04,14
2023-06-05,15
2023-06-06,10
2023-06-07,11
2023-06-08,10
2023-06-09,9
2023-06-10,14
2023-06-11,14
2023-06-12,10
2023-06-13,8
2023-06-14,8
2023-06-15,9
2023-06-16,11
2023-06-17,12
2023-06-18,17
2023-06-19,10
2023-06-20,9
2023-06-21,9
2023-06-22,8
2023-06-23,8
2023-06-24,15
2023-06-25,13
2023-06-26,11
2023-06-27,9
2023-06-28,10
2023-06-29,12
2023-06-30,9
2023-07-01,12
2023-07-02,13
2023-07-03,10
2023-07-04,16
2023-07-05,11
2023-07-06,11
2023-07-07,10
2023-07-08,13
2023-07-09,24
2023-07-10,16
2023-07-11,9
2023-07-12,10
2023-07-13,9
2023-07-14,10
2023-07-15,14
2023-07-16,18
2023-07-17,10
2023-07-18,14
2023-07-19,10
2023-07-20,7
2023-07-21,11
2023-07-22,11
2023-07-23,12
2023-07-24,8
2023-07-25,9
2023-07-26,8
2023-07-27,6
2023-07-28,9
2023-07-29,10
2023-07-30,17
2023-07-31,10
2023-08-01,9
2023-08-02,12
2023-08-03,14
2023-08-04,15
2023-08-05,16
2023-08-06,17
2023-08-07,11
2023-08-08,10
2023-08-09,11
2023-08-10,11
2023-08-11,11
2023-08-12,14
2023-08-13,40
2023-08-14,14
2023-08-15,13
2023-08-16,10
2023-08-17,10
2023-08-18,10
2023-08-19,14
2023-08-20,25
2023-08-21,17
2023-08-22,15
2023-08-23,17
2023-08-24,10
2023-08-25,13
2023-08-26,20
2023-08-27,16
2023-08-28,12
2023-08-29,11
2023-08-30,18
2023-08-31,11
2023-09-01,12
2023-09-02,15
2023-09-03,17
2023-09-04,20
2023-09-05,11
2023-09-06,14
2023-09-07,9
2023-09-08,10
2023-09-09,14
2023-09-10,17
2023-09-11,10
2023-09-12,9
2023-09-13,8
2023-09-14,8
2023-09-15,8
2023-09-16,16
2023-09-17,17
2023-09-18,11
2023-09-19,9
2023-09-20,7
2023-09-21,10
2023-09-22,11
2023-09-23,14
2023-09-24,13
2023-09-25,9
2023-09-26,7
2023-09-27,7
2023-09-28,9
2023-09-29,8
2023-09-30,10
2023-10-01,13
2023-10-02,8
2023-10-03,11
2023-10-04,10
2023-10-05,11
2023-10-06,11
2023-10-07,11
2023-10-08,12
2023-10-09,9
2023-10-10,8
2023-10-11,8
2023-10-12,8
2023-10-13,7
2023-10-14,11
2023-10-15,15
2023-10-16,9
2023-10-17,8
2023-10-18,9
2023-10-19,9
2023-10-20,12
2023-10-21,21
2023-10-22,20
2023-10-23,16
2023-10-24,9
2023-10-25,9
2023-10-26,10
2023-10-27,9
2023-10-28,13
2023-10-29,14
2023-10-30,10
2023-10-31,9
2023-11-01,10
2023-11-02,18
2023-11-03,18
2023-11-04,15
2023-11-05,15
2023-11-06,9
2023-11-07,8
2023-11-08,8
2023-11-09,9
2023-11-10,11
2023-11-11,12
2023-11-12,13
2023-11-13,8
2023-11-14,8
2023-11-15,8
2023-11-16,8
2023-11-17,8
2023-11-18,12
2023-11-19,13
2023-11-20,9
2023-11-21,10
2023-11-22,10
2023-11-23,17
2023-11-24,17
2023-11-25,14
2023-11-26,13
2023-11-27,8
2023-11-28,9
2023-11-29,8
2023-11-30,7
2023-12-01,7
2023-12-02,9
2023-12-03,14
2023-12-04,12
2023-12-05,11
2023-12-06,10
2023-12-07,9
2023-12-08,12
2023-12-09,67
2023-12-10,100
2023-12-11,13
2023-12-12,11
2023-12-13,13
2023-12-14,12
2023-12-15,13
2023-12-16,16
2023-12-17,12
2023-12-18,10
2023-12-19,9
2023-12-20,9
2023-12-21,9
2023-12-22,9
2023-12-23,13
2023-12-24,13
2023-12-25,11
2023-12-26,13
2023-12-27,16
2023-12-28,11
2023-12-29,10
2023-12-30,16
2023-12-31,16
2024-01-01,19
2024-01-02,14
2024-01-03,11
2024-01-04,9
2024-01-05,11
2024-01-06,15
2024-01-07,16
2024-01-08,11
2024-01-09,8
2024-01-10,41
2024-01-11,14
2024-01-12,13
2024-01-13,16
2024-01-14,22
2024-01-15,18
2024-01-16,11
2024-01-17,10
2024-01-18,11
2024-01-19,12
2024-01-20,16
