Time,brendan fraser
2023-12-22,21
2023-12-23,31
2023-12-24,31
2023-12-25,26
2023-12-26,32
2023-12-27,40
2023-12-28,26
2023-12-29,24
2023-12-30,39
2023-12-31,38
2024-01-01,47
2024-01-02,34
2024-01-03,27
2024-01-04,21
2024-01-05,26
2024-01-06,36
2024-01-07,38
2024-01-08,28
2024-01-09,20
2024-01-10,100
2024-01-11,35
2024-01-12,32
2024-01-13,40
2024-01-14,54
2024-01-15,43
2024-01-16,27
2024-01-17,24
2024-01-18,26
2024-01-19,28
2024-01-20,39
2024-01-21,45
2024-01-22,31
2024-01-23,28
2024-01-24,23
2024-01-25,24
2024-01-26,23
2024-01-27,36
2024-01-28,47
2024-01-29,26
2024-01-30,20
2024-01-31,21
2024-02-01,12
2024-02-02,18
2024-02-03,29
2024-02-04,39
2024-02-05,21
2024-02-06,22
2024-02-07,20
2024-02-08,21
2024-02-09,14
2024-02-10,27
2024-02-11,29
2024-02-12,18
2024-02-13,14
2024-02-14,14
2024-02-15,17
2024-02-16,23
2024-02-17,28
2024-02-18,36
2024-02-19,33
2024-02-20,22
2024-02-21,20
2024-02-22,22
2024-02-23,21
2024-02-24,31
2024-02-25,38
2024-02-26,27
2024-02-27,25
2024-02-28,27
2024-02-29,23
2024-03-01,20
2024-03-02,32
2024-03-03,35
2024-03-04,19
2024-03-05,14
2024-03-06,21
2024-03-07,19
2024-03-08,21
2024-03-09,30
2024-03-10,48
2024-03-11,85
2024-03-12,38
2024-03-13,27
2024-03-14,20
2024-03-15,29
2024-03-16,28
2024-03-17,39
2024-03-18,25
2024-03-19,22
2024-03-20,18
2024-03-21,20
2024-03-22,22
2024-03-23,27
2024-03-24,27
2024-03-25,23
2024-03-26,18
2024-03-27,19
2024-03-28,18
2024-03-29,19
2024-03-30,29
2024-03-31,27
2024-04-01,17
2024-04-02,18
2024-04-03,15
2024-04-04,17
2024-04-05,13
2024-04-06,24
2024-04-07,45
2024-04-08,22
2024-04-09,16
2024-04-10,14
2024-04-11,17
2024-04-12,20
2024-04-13,21
2024-04-14,26
2024-04-15,18
2024-04-16,17
2024-04-17,14
2024-04-18,18
2024-04-19,26
2024-04-20,24
2024-04-21,29
2024-04-22,21
2024-04-23,17
2024-04-24,46
2024-04-25,19
2024-04-26,18
2024-04-27,34
2024-04-28,52
2024-04-29,28
2024-04-30,19
2024-05-01,17
2024-05-02,14
2024-05-03,19
2024-05-04,26
2024-05-05,31
2024-05-06,26
2024-05-07,19
2024-05-08,15
2024-05-09,14
2024-05-10,17
2024-05-11,21
2024-05-12,23
2024-05-13,18
2024-05-14,19
2024-05-15,20
2024-05-16,14
2024-05-17,18
2024-05-18,27
2024-05-19,24
2024-05-20,15
2024-05-21,19
2024-05-22,14
2024-05-23,14
2024-05-24,19
2024-05-25,34
2024-05-26,33
2024-05-27,20
2024-05-28,17
2024-05-29,14
2024-05-30,19
2024-05-31,18
2024-06-01,24
2024-06-02,25
2024-06-03,16
2024-06-04,17
2024-06-05,17
2024-06-06,29
2024-06-07,30
2024-06-08,22
2024-06-09,26
2024-06-10,22
2024-06-11,17
2024-06-12,17
2024-06-13,16
2024-06-14,20
2024-06-15,16
2024-06-16,30
2024-06-17,17
2024-06-18,21
2024-06-19,22
2024-06-20,14
2024-06-21,14
2024-06-22,19
2024-06-23,24
2024-06-24,18
2024-06-25,18
2024-06-26,12
2024-06-27,19
2024-06-28,13
2024-06-29,18
2024-06-30,24
2024-07-01,14
2024-07-02,14
2024-07-03,15
2024-07-04,23
2024-07-05,23
2024-07-06,31
2024-07-07,29
2024-07-08,19
2024-07-09,28
2024-07-10,18
2024-07-11,25
2024-07-12,17
2024-07-13,23
2024-07-14,22
2024-07-15,20
2024-07-16,20
2024-07-17,20
2024-07-18,24
2024-07-19,19
2024-07-20,19
2024-07-21,22
2024-07-22,19
2024-07-23,24
2024-07-24,29
2024-07-25,23
2024-07-26,16
2024-07-27,22
2024-07-28,23
2024-07-29,19
2024-07-30,16
2024-07-31,15
2024-08-01,14
2024-08-02,18
2024-08-03,23
2024-08-04,33
2024-08-05,23
2024-08-06,15
2024-08-07,20
2024-08-08,17
2024-08-09,21
2024-08-10,35
2024-08-11,30
2024-08-12,21
2024-08-13,18
2024-08-14,22
2024-08-15,23
2024-08-16,21
2024-08-17,29
2024-08-18,35
2024-08-19,23
2024-08-20,21
2024-08-21,19
2024-08-22,16
2024-08-23,20
2024-08-24,30
2024-08-25,46
2024-08-26,25
2024-08-27,22
2024-08-28,22
2024-08-29,27
2024-08-30,27
2024-08-31,37
2024-09-01,42
2024-09-02,39
2024-09-03,24
2024-09-04,37
2024-09-05,26
2024-09-06,23
2024-09-07,31
2024-09-08,37
2024-09-09,20
2024-09-10,13
2024-09-11,19
2024-09-12,20
2024-09-13,20
2024-09-14,32
2024-09-15,36
2024-09-16,25
