Time,brendan fraser
2024-08-18,42
2024-08-19,28
2024-08-20,26
2024-08-21,23
2024-08-22,19
2024-08-23,25
2024-08-24,37
2024-08-25,55
2024-08-26,30
2024-08-27,26
2024-08-28,27
2024-08-29,33
2024-08-30,33
2024-08-31,45
2024-09-01,51
2024-09-02,47
2024-09-03,29
2024-09-04,44
2024-09-05,32
2024-09-06,27
2024-09-07,37
2024-09-08,44
2024-09-09,24
2024-09-10,16
2024-09-11,23
2024-09-12,24
2024-09-13,24
2024-09-14,38
2024-09-15,43
2024-09-16,30
2024-09-17,29
2024-09-18,29
2024-09-19,22
2024-09-20,22
2024-09-21,35
2024-09-22,35
2024-09-23,23
2024-09-24,19
2024-09-25,22
2024-09-26,22
2024-09-27,18
2024-09-28,30
2024-09-29,24
2024-09-30,20
2024-10-01,15
2024-10-02,16
2024-10-03,19
2024-10-04,18
2024-10-05,26
2024-10-06,23
2024-10-07,18
2024-10-08,16
2024-10-09,16
2024-10-10,17
2024-10-11,18
2024-10-12,39
2024-10-13,28
2024-10-14,18
2024-10-15,26
2024-10-16,20
2024-10-17,23
2024-10-18,51
2024-10-19,68
2024-10-20,50
2024-10-21,36
2024-10-22,33
2024-10-23,38
2024-10-24,31
2024-10-25,29
2024-10-26,44
2024-10-27,47
2024-10-28,26
2024-10-29,26
2024-10-30,20
2024-10-31,23
2024-11-01,44
2024-11-02,89
2024-11-03,100
2024-11-04,74
2024-11-05,47
2024-11-06,28
2024-11-07,48
2024-11-08,58
2024-11-09,72
2024-11-10,81
2024-11-11,54
2024-11-12,32
2024-11-13,40
2024-11-14,36
2024-11-15,35
2024-11-16,42
2024-11-17,56
2024-11-18,33
2024-11-19,27
2024-11-20,28
2024-11-21,30
2024-11-22,28
2024-11-23,34
2024-11-24,37
2024-11-25,30
2024-11-26,21
2024-11-27,30
2024-11-28,39
2024-11-29,44
2024-11-30,34
2024-12-01,42
2024-12-02,28
2024-12-03,40
2024-12-04,27
2024-12-05,21
2024-12-06,27
2024-12-07,35
2024-12-08,34
2024-12-09,29
2024-12-10,23
2024-12-11,25
2024-12-12,24
2024-12-13,30
2024-12-14,29
2024-12-15,36
2024-12-16,27
2024-12-17,22
2024-12-18,47
2024-12-19,98
2024-12-20,65
2024-12-21,65
2024-12-22,65
2024-12-23,62
2024-12-24,45
2024-12-25,56
2024-12-26,52
2024-12-27,50
2024-12-28,48
2024-12-29,46
2024-12-30,41
2024-12-31,35
2025-01-01,54
2025-01-02,45
2025-01-03,41
2025-01-04,49
2025-01-05,52
2025-01-06,33
2025-01-07,32
2025-01-08,28
2025-01-09,30
2025-01-10,34
2025-01-11,43
2025-01-12,50
2025-01-13,29
2025-01-14,33
2025-01-15,27
2025-01-16,27
2025-01-17,53
2025-01-18,51
2025-01-19,58
2025-01-20,51
2025-01-21,41
2025-01-22,51
2025-01-23,40
2025-01-24,37
2025-01-25,39
2025-01-26,46
2025-01-27,26
2025-01-28,27
2025-01-29,29
2025-01-30,34
2025-01-31,29
2025-02-01,37
2025-02-02,54
2025-02-03,30
2025-02-04,25
2025-02-05,24
2025-02-06,38
2025-02-07,57
2025-02-08,74
2025-02-09,56
2025-02-10,32
2025-02-11,28
2025-02-12,30
2025-02-13,29
2025-02-14,27
2025-02-15,39
2025-02-16,41
2025-02-17,28
2025-02-18,27
2025-02-19,31
2025-02-20,26
2025-02-21,25
2025-02-22,35
2025-02-23,39
2025-02-24,31
2025-02-25,22
2025-02-26,18
2025-02-27,24
2025-02-28,29
2025-03-01,61
2025-03-02,84
2025-03-03,59
2025-03-04,58
2025-03-05,36
2025-03-06,30
2025-03-07,28
2025-03-08,35
2025-03-09,36
2025-03-10,28
2025-03-11,25
2025-03-12,27
2025-03-13,24
2025-03-14,26
2025-03-15,32
2025-03-16,30
2025-03-17,18
2025-03-18,21
2025-03-19,19
2025-03-20,29
2025-03-21,25
2025-03-22,39
2025-03-23,53
2025-03-24,29
2025-03-25,25
2025-03-26,18
2025-03-27,26
2025-03-28,22
2025-03-29,27
2025-03-30,54
2025-03-31,35
2025-04-01,31
2025-04-02,30
2025-04-03,28
2025-04-04,37
2025-04-05,41
2025-04-06,38
2025-04-07,28
2025-04-08,17
2025-04-09,18
2025-04-10,21
2025-04-11,20
2025-04-12,26
2025-04-13,21
2025-04-14,15
2025-04-15,17
2025-04-16,18
2025-04-17,17
2025-04-18,20
2025-04-19,22
2025-04-20,27
2025-04-21,19
2025-04-22,15
2025-04-23,18
2025-04-24,14
2025-04-25,21
2025-04-26,29
2025-04-27,30
2025-04-28,19
2025-04-29,20
2025-04-30,39
2025-05-01,14
2025-05-02,14
2025-05-03,20
2025-05-04,22
2025-05-05,20
2025-05-06,23
2025-05-07,15
2025-05-08,23
2025-05-09,23
2025-05-10,35
2025-05-11,29
2025-05-12,21
2025-05-13,27
2025-05-14,19
