Time,diary of a wimpy kid
2023-12-22,100
2023-12-23,99
2023-12-24,88
2023-12-25,82
2023-12-26,69
2023-12-27,72
2023-12-28,66
2023-12-29,68
2023-12-30,67
2023-12-31,58
2024-01-01,64
2024-01-02,65
2024-01-03,66
2024-01-04,72
2024-01-05,64
2024-01-06,59
2024-01-07,64
2024-01-08,64
2024-01-09,65
2024-01-10,67
2024-01-11,64
2024-01-12,64
2024-01-13,64
2024-01-14,62
2024-01-15,49
2024-01-16,64
2024-01-17,65
2024-01-18,72
2024-01-19,65
2024-01-20,63
2024-01-21,47
2024-01-22,63
2024-01-23,73
2024-01-24,70
2024-01-25,67
2024-01-26,68
2024-01-27,66
2024-01-28,68
2024-01-29,72
2024-01-30,74
2024-01-31,80
2024-02-01,69
2024-02-02,84
2024-02-03,71
2024-02-04,79
2024-02-05,75
2024-02-06,71
2024-02-07,70
2024-02-08,72
2024-02-09,77
2024-02-10,65
2024-02-11,59
2024-02-12,56
2024-02-13,64
2024-02-14,62
2024-02-15,68
2024-02-16,68
2024-02-17,62
2024-02-18,54
2024-02-19,60
2024-02-20,65
2024-02-21,63
2024-02-22,71
2024-02-23,73
2024-02-24,68
2024-02-25,60
2024-02-26,68
2024-02-27,72
2024-02-28,78
2024-02-29,78
2024-03-01,80
2024-03-02,61
2024-03-03,63
2024-03-04,85
2024-03-05,79
2024-03-06,75
2024-03-07,85
2024-03-08,80
2024-03-09,66
2024-03-10,53
2024-03-11,63
2024-03-12,81
2024-03-13,80
2024-03-14,95
2024-03-15,73
2024-03-16,58
2024-03-17,60
2024-03-18,66
2024-03-19,69
2024-03-20,69
2024-03-21,79
2024-03-22,73
2024-03-23,64
2024-03-24,62
2024-03-25,64
2024-03-26,70
2024-03-27,74
2024-03-28,79
2024-03-29,65
2024-03-30,58
2024-03-31,57
2024-04-01,55
2024-04-02,63
2024-04-03,61
2024-04-04,62
2024-04-05,61
2024-04-06,69
2024-04-07,74
2024-04-08,65
2024-04-09,71
2024-04-10,74
2024-04-11,75
2024-04-12,77
2024-04-13,54
2024-04-14,63
2024-04-15,69
2024-04-16,65
2024-04-17,67
2024-04-18,68
2024-04-19,68
2024-04-20,62
2024-04-21,56
2024-04-22,66
2024-04-23,64
2024-04-24,64
2024-04-25,66
2024-04-26,77
2024-04-27,62
2024-04-28,70
2024-04-29,83
2024-04-30,75
2024-05-01,76
2024-05-02,71
2024-05-03,75
2024-05-04,59
2024-05-05,56
2024-05-06,70
2024-05-07,68
2024-05-08,77
2024-05-09,74
2024-05-10,80
2024-05-11,74
2024-05-12,72
2024-05-13,93
2024-05-14,85
2024-05-15,69
2024-05-16,81
2024-05-17,80
2024-05-18,68
2024-05-19,77
2024-05-20,87
2024-05-21,84
2024-05-22,78
2024-05-23,69
2024-05-24,77
2024-05-25,72
2024-05-26,67
2024-05-27,75
2024-05-28,77
2024-05-29,75
2024-05-30,67
2024-05-31,67
2024-06-01,79
2024-06-02,66
2024-06-03,72
2024-06-04,70
2024-06-05,68
2024-06-06,70
2024-06-07,60
2024-06-08,64
2024-06-09,60
2024-06-10,58
2024-06-11,61
2024-06-12,57
2024-06-13,54
2024-06-14,58
2024-06-15,58
2024-06-16,61
2024-06-17,59
2024-06-18,60
2024-06-19,56
2024-06-20,57
2024-06-21,55
2024-06-22,82
2024-06-23,65
2024-06-24,56
2024-06-25,57
2024-06-26,55
2024-06-27,52
2024-06-28,58
2024-06-29,63
2024-06-30,68
2024-07-01,51
2024-07-02,51
2024-07-03,46
2024-07-04,58
2024-07-05,55
2024-07-06,61
2024-07-07,60
2024-07-08,50
2024-07-09,54
2024-07-10,52
2024-07-11,49
2024-07-12,96
2024-07-13,71
2024-07-14,48
2024-07-15,47
2024-07-16,42
2024-07-17,47
2024-07-18,44
2024-07-19,46
2024-07-20,53
2024-07-21,45
2024-07-22,45
2024-07-23,45
2024-07-24,44
2024-07-25,47
2024-07-26,49
2024-07-27,49
2024-07-28,53
2024-07-29,47
2024-07-30,47
2024-07-31,37
2024-08-01,45
2024-08-02,38
2024-08-03,52
2024-08-04,47
2024-08-05,49
2024-08-06,44
2024-08-07,57
2024-08-08,51
2024-08-09,53
2024-08-10,52
2024-08-11,59
2024-08-12,52
2024-08-13,46
2024-08-14,64
2024-08-15,73
2024-08-16,59
2024-08-17,55
2024-08-18,61
2024-08-19,63
2024-08-20,66
2024-08-21,67
2024-08-22,64
2024-08-23,69
2024-08-24,86
2024-08-25,72
2024-08-26,68
2024-08-27,69
2024-08-28,65
2024-08-29,70
2024-08-30,65
2024-08-31,59
2024-09-01,56
2024-09-02,63
2024-09-03,68
2024-09-04,63
2024-09-05,68
2024-09-06,76
2024-09-07,70
2024-09-08,63
2024-09-09,66
2024-09-10,63
2024-09-11,68
2024-09-12,75
2024-09-13,70
2024-09-14,59
2024-09-15,63
2024-09-16,74
