Time,wingstop
2023-12-22,37
2023-12-23,42
2023-12-24,38
2023-12-25,34
2023-12-26,30
2023-12-27,34
2023-12-28,33
2023-12-29,38
2023-12-30,41
2023-12-31,74
2024-01-01,47
2024-01-02,34
2024-01-03,33
2024-01-04,30
2024-01-05,31
2024-01-06,41
2024-01-07,42
2024-01-08,32
2024-01-09,25
2024-01-10,25
2024-01-11,28
2024-01-12,30
2024-01-13,43
2024-01-14,45
2024-01-15,34
2024-01-16,27
2024-01-17,26
2024-01-18,27
2024-01-19,34
2024-01-20,47
2024-01-21,47
2024-01-22,30
2024-01-23,26
2024-01-24,26
2024-01-25,26
2024-01-26,32
2024-01-27,41
2024-01-28,52
2024-01-29,30
2024-01-30,26
2024-01-31,27
2024-02-01,28
2024-02-02,32
2024-02-03,42
2024-02-04,44
2024-02-05,27
2024-02-06,26
2024-02-07,27
2024-02-08,29
2024-02-09,35
2024-02-10,51
2024-02-11,100
2024-02-12,31
2024-02-13,27
2024-02-14,36
2024-02-15,38
2024-02-16,37
2024-02-17,49
2024-02-18,51
2024-02-19,36
2024-02-20,30
2024-02-21,32
2024-02-22,32
2024-02-23,37
2024-02-24,46
2024-02-25,46
2024-02-26,32
2024-02-27,30
2024-02-28,28
2024-02-29,31
2024-03-01,32
2024-03-02,43
2024-03-03,44
2024-03-04,30
2024-03-05,27
2024-03-06,30
2024-03-07,28
2024-03-08,35
2024-03-09,45
2024-03-10,47
2024-03-11,30
2024-03-12,32
2024-03-13,29
2024-03-14,28
2024-03-15,33
2024-03-16,43
2024-03-17,45
2024-03-18,30
2024-03-19,27
2024-03-20,31
2024-03-21,30
2024-03-22,34
2024-03-23,43
2024-03-24,42
2024-03-25,29
2024-03-26,29
2024-03-27,31
2024-03-28,30
2024-03-29,36
2024-03-30,43
2024-03-31,43
2024-04-01,32
2024-04-02,31
2024-04-03,30
2024-04-04,31
2024-04-05,34
2024-04-06,44
2024-04-07,43
2024-04-08,29
2024-04-09,31
2024-04-10,29
2024-04-11,31
2024-04-12,32
2024-04-13,43
2024-04-14,42
2024-04-15,28
2024-04-16,30
2024-04-17,30
2024-04-18,33
2024-04-19,37
2024-04-20,59
2024-04-21,56
2024-04-22,31
2024-04-23,29
2024-04-24,31
2024-04-25,34
2024-04-26,38
2024-04-27,49
2024-04-28,47
2024-04-29,32
2024-04-30,31
2024-05-01,31
2024-05-02,33
2024-05-03,40
2024-05-04,45
2024-05-05,46
2024-05-06,30
2024-05-07,30
2024-05-08,30
2024-05-09,31
2024-05-10,36
2024-05-11,45
2024-05-12,44
2024-05-13,31
2024-05-14,31
2024-05-15,31
2024-05-16,31
2024-05-17,36
2024-05-18,43
2024-05-19,43
2024-05-20,31
2024-05-21,29
2024-05-22,32
2024-05-23,35
2024-05-24,38
2024-05-25,45
2024-05-26,44
2024-05-27,43
2024-05-28,30
2024-05-29,33
2024-05-30,32
2024-05-31,37
2024-06-01,41
2024-06-02,46
2024-06-03,33
2024-06-04,32
2024-06-05,34
2024-06-06,36
2024-06-07,39
2024-06-08,46
2024-06-09,44
2024-06-10,35
2024-06-11,33
2024-06-12,34
2024-06-13,37
2024-06-14,39
2024-06-15,45
2024-06-16,45
2024-06-17,34
2024-06-18,32
2024-06-19,35
2024-06-20,34
2024-06-21,39
2024-06-22,44
2024-06-23,42
2024-06-24,34
2024-06-25,32
2024-06-26,34
2024-06-27,38
2024-06-28,41
2024-06-29,47
2024-06-30,45
2024-07-01,37
2024-07-02,33
2024-07-03,36
2024-07-04,47
2024-07-05,40
2024-07-06,40
2024-07-07,42
2024-07-08,34
2024-07-09,33
2024-07-10,35
2024-07-11,34
2024-07-12,41
2024-07-13,44
2024-07-14,45
2024-07-15,36
2024-07-16,32
2024-07-17,41
2024-07-18,35
2024-07-19,42
2024-07-20,45
2024-07-21,44
2024-07-22,34
2024-07-23,34
2024-07-24,37
2024-07-25,40
2024-07-26,42
2024-07-27,48
2024-07-28,50
2024-07-29,99
2024-07-30,73
2024-07-31,39
2024-08-01,38
2024-08-02,42
2024-08-03,45
2024-08-04,48
2024-08-05,33
2024-08-06,31
2024-08-07,34
2024-08-08,35
2024-08-09,37
2024-08-10,45
2024-08-11,44
2024-08-12,32
2024-08-13,28
2024-08-14,30
2024-08-15,33
2024-08-16,37
2024-08-17,45
2024-08-18,43
2024-08-19,32
2024-08-20,30
2024-08-21,30
2024-08-22,32
2024-08-23,36
2024-08-24,47
2024-08-25,46
2024-08-26,33
2024-08-27,30
2024-08-28,30
2024-08-29,34
2024-08-30,41
2024-08-31,52
2024-09-01,47
2024-09-02,45
2024-09-03,28
2024-09-04,29
2024-09-05,29
2024-09-06,34
2024-09-07,50
2024-09-08,56
2024-09-09,30
2024-09-10,30
2024-09-11,28
2024-09-12,35
2024-09-13,37
2024-09-14,49
2024-09-15,60
2024-09-16,31
