Time,southwest airlines
2025-04-15,73
2025-04-16,70
2025-04-17,69
2025-04-18,68
2025-04-19,56
2025-04-20,57
2025-04-21,69
2025-04-22,72
2025-04-23,72
2025-04-24,69
2025-04-25,63
2025-04-26,57
2025-04-27,67
2025-04-28,72
2025-04-29,72
2025-04-30,74
2025-05-01,72
2025-05-02,65
2025-05-03,59
2025-05-04,63
2025-05-05,67
2025-05-06,70
2025-05-07,72
2025-05-08,69
2025-05-09,66
2025-05-10,58
2025-05-11,61
2025-05-12,72
2025-05-13,72
2025-05-14,72
2025-05-15,77
2025-05-16,68
2025-05-17,68
2025-05-18,74
2025-05-19,76
2025-05-20,78
2025-05-21,81
2025-05-22,76
2025-05-23,68
2025-05-24,59
2025-05-25,62
2025-05-26,82
2025-05-27,90
2025-05-28,90
2025-05-29,75
2025-05-30,72
2025-05-31,63
2025-06-01,73
2025-06-02,79
2025-06-03,92
2025-06-04,90
2025-06-05,87
2025-06-06,80
2025-06-07,72
2025-06-08,74
2025-06-09,74
2025-06-10,74
2025-06-11,74
2025-06-12,77
2025-06-13,69
2025-06-14,60
2025-06-15,66
2025-06-16,81
2025-06-17,83
2025-06-18,91
2025-06-19,79
2025-06-20,70
2025-06-21,61
2025-06-22,66
2025-06-23,73
2025-06-24,80
2025-06-25,78
2025-06-26,93
2025-06-27,83
2025-06-28,74
2025-06-29,70
2025-06-30,77
2025-07-01,76
2025-07-02,78
2025-07-03,83
2025-07-04,66
2025-07-05,62
2025-07-06,76
2025-07-07,92
2025-07-08,97
2025-07-09,94
2025-07-10,98
2025-07-11,87
2025-07-12,69
2025-07-13,78
2025-07-14,81
2025-07-15,82
2025-07-16,80
2025-07-17,85
2025-07-18,76
2025-07-19,77
2025-07-20,82
2025-07-21,83
2025-07-22,97
2025-07-23,85
2025-07-24,78
2025-07-25,79
2025-07-26,100
2025-07-27,84
2025-07-28,87
2025-07-29,85
2025-07-30,86
2025-07-31,86
2025-08-01,82
2025-08-02,67
2025-08-03,68
2025-08-04,79
2025-08-05,84
2025-08-06,79
2025-08-07,80
2025-08-08,74
2025-08-09,65
2025-08-10,79
2025-08-11,81
2025-08-12,81
2025-08-13,73
2025-08-14,84
2025-08-15,69
2025-08-16,67
2025-08-17,72
2025-08-18,74
2025-08-19,75
2025-08-20,79
2025-08-21,73
2025-08-22,66
2025-08-23,63
2025-08-24,65
2025-08-25,78
2025-08-26,79
2025-08-27,76
2025-08-28,72
2025-08-29,81
2025-08-30,60
2025-08-31,58
2025-09-01,69
2025-09-02,75
2025-09-03,70
2025-09-04,70
2025-09-05,65
2025-09-06,56
2025-09-07,60
2025-09-08,69
2025-09-09,71
2025-09-10,79
2025-09-11,63
2025-09-12,64
2025-09-13,57
2025-09-14,57
2025-09-15,67
2025-09-16,70
2025-09-17,67
2025-09-18,68
2025-09-19,62
2025-09-20,59
2025-09-21,57
2025-09-22,67
2025-09-23,69
2025-09-24,66
2025-09-25,66
2025-09-26,66
2025-09-27,60
2025-09-28,58
2025-09-29,65
2025-09-30,69
2025-10-01,69
2025-10-02,69
2025-10-03,66
2025-10-04,57
2025-10-05,61
2025-10-06,65
2025-10-07,72
2025-10-08,69
2025-10-09,74
2025-10-10,72
2025-10-11,61
2025-10-12,61
2025-10-13,74
2025-10-14,69
2025-10-15,74
2025-10-16,72
2025-10-17,63
2025-10-18,59
2025-10-19,66
2025-10-20,78
2025-10-21,68
2025-10-22,69
2025-10-23,70
2025-10-24,67
2025-10-25,55
2025-10-26,61
2025-10-27,70
2025-10-28,64
2025-10-29,64
2025-10-30,65
2025-10-31,59
2025-11-01,56
2025-11-02,61
2025-11-03,72
2025-11-04,68
2025-11-05,68
2025-11-06,87
2025-11-07,82
2025-11-08,66
2025-11-09,67
2025-11-10,69
2025-11-11,66
2025-11-12,65
2025-11-13,62
2025-11-14,58
2025-11-15,49
2025-11-16,57
2025-11-17,64
2025-11-18,63
2025-11-19,63
2025-11-20,60
2025-11-21,59
2025-11-22,54
2025-11-23,54
2025-11-24,65
2025-11-25,65
2025-11-26,56
2025-11-27,46
2025-11-28,55
2025-11-29,64
2025-11-30,68
2025-12-01,77
2025-12-02,82
2025-12-03,69
2025-12-04,65
2025-12-05,59
2025-12-06,54
2025-12-07,58
2025-12-08,59
2025-12-09,61
2025-12-10,59
2025-12-11,56
2025-12-12,57
2025-12-13,56
2025-12-14,55
2025-12-15,60
2025-12-16,61
2025-12-17,60
2025-12-18,68
2025-12-19,66
2025-12-20,63
2025-12-21,58
2025-12-22,67
2025-12-23,64
2025-12-24,56
2025-12-25,47
2025-12-26,71
2025-12-27,74
2025-12-28,71
2025-12-29,81
2025-12-30,72
2025-12-31,63
2026-01-01,58
2026-01-02,71
2026-01-03,71
2026-01-04,74
2026-01-05,68
2026-01-06,90
2026-01-07,75
2026-01-08,69
2026-01-09,69
