Time,southwest airlines
2022-08-29,24
2022-08-30,25
2022-08-31,25
2022-09-01,25
2022-09-02,23
2022-09-03,18
2022-09-04,18
2022-09-05,23
2022-09-06,27
2022-09-07,29
2022-09-08,29
2022-09-09,25
2022-09-10,18
2022-09-11,19
2022-09-12,25
2022-09-13,26
2022-09-14,27
2022-09-15,27
2022-09-16,23
2022-09-17,18
2022-09-18,19
2022-09-19,25
2022-09-20,27
2022-09-21,25
2022-09-22,25
2022-09-23,21
2022-09-24,18
2022-09-25,20
2022-09-26,25
2022-09-27,26
2022-09-28,24
2022-09-29,23
2022-09-30,22
2022-10-01,17
2022-10-02,17
2022-10-03,23
2022-10-04,29
2022-10-05,32
2022-10-06,34
2022-10-07,26
2022-10-08,18
2022-10-09,19
2022-10-10,25
2022-10-11,25
2022-10-12,24
2022-10-13,23
2022-10-14,20
2022-10-15,17
2022-10-16,19
2022-10-17,23
2022-10-18,25
2022-10-19,23
2022-10-20,20
2022-10-21,20
2022-10-22,17
2022-10-23,18
2022-10-24,23
2022-10-25,25
2022-10-26,23
2022-10-27,25
2022-10-28,23
2022-10-29,17
2022-10-30,17
2022-10-31,20
2022-11-01,22
2022-11-02,23
2022-11-03,21
2022-11-04,22
2022-11-05,17
2022-11-06,18
2022-11-07,22
2022-11-08,22
2022-11-09,21
2022-11-10,22
2022-11-11,19
2022-11-12,16
2022-11-13,17
2022-11-14,21
2022-11-15,23
2022-11-16,20
2022-11-17,21
2022-11-18,20
2022-11-19,18
2022-11-20,17
2022-11-21,19
2022-11-22,19
2022-11-23,18
2022-11-24,15
2022-11-25,18
2022-11-26,17
2022-11-27,19
2022-11-28,26
2022-11-29,27
2022-11-30,21
2022-12-01,22
2022-12-02,18
2022-12-03,16
2022-12-04,17
2022-12-05,20
2022-12-06,20
2022-12-07,19
2022-12-08,17
2022-12-09,17
2022-12-10,17
2022-12-11,16
2022-12-12,19
2022-12-13,19
2022-12-14,18
2022-12-15,19
2022-12-16,17
2022-12-17,16
2022-12-18,16
2022-12-19,20
2022-12-20,22
2022-12-21,24
2022-12-22,26
2022-12-23,25
2022-12-24,25
2022-12-25,25
2022-12-26,52
2022-12-27,100
2022-12-28,79
2022-12-29,62
2022-12-30,38
2022-12-31,24
2023-01-01,22
2023-01-02,26
2023-01-03,26
2023-01-04,30
2023-01-05,28
2023-01-06,23
2023-01-07,19
2023-01-08,19
2023-01-09,23
2023-01-10,29
2023-01-11,33
2023-01-12,30
2023-01-13,23
2023-01-14,19
2023-01-15,18
2023-01-16,22
2023-01-17,25
2023-01-18,23
2023-01-19,21
2023-01-20,19
2023-01-21,17
2023-01-22,16
2023-01-23,21
2023-01-24,22
2023-01-25,21
2023-01-26,21
2023-01-27,19
2023-01-28,18
2023-01-29,18
2023-01-30,23
2023-01-31,24
2023-02-01,23
2023-02-02,22
2023-02-03,18
2023-02-04,17
2023-02-05,19
2023-02-06,20
2023-02-07,22
2023-02-08,21
2023-02-09,22
2023-02-10,21
2023-02-11,18
2023-02-12,15
2023-02-13,17
2023-02-14,21
2023-02-15,23
2023-02-16,22
2023-02-17,21
2023-02-18,18
2023-02-19,18
2023-02-20,22
2023-02-21,24
2023-02-22,24
2023-02-23,22
2023-02-24,20
2023-02-25,18
2023-02-26,19
2023-02-27,21
2023-02-28,23
2023-03-01,22
2023-03-02,21
2023-03-03,19
2023-03-04,19
2023-03-05,19
2023-03-06,23
2023-03-07,22
2023-03-08,23
2023-03-09,23
2023-03-10,22
2023-03-11,19
2023-03-12,20
2023-03-13,21
2023-03-14,21
2023-03-15,21
2023-03-16,20
2023-03-17,17
2023-03-18,17
2023-03-19,19
2023-03-20,20
2023-03-21,22
2023-03-22,23
2023-03-23,21
2023-03-24,20
2023-03-25,17
2023-03-26,20
2023-03-27,20
2023-03-28,20
2023-03-29,19
2023-03-30,19
2023-03-31,18
2023-04-01,17
2023-04-02,18
2023-04-03,21
2023-04-04,23
2023-04-05,22
2023-04-06,20
2023-04-07,16
2023-04-08,15
2023-04-09,16
2023-04-10,21
2023-04-11,22
2023-04-12,21
2023-04-13,19
2023-04-14,19
2023-04-15,17
2023-04-16,18
2023-04-17,19
2023-04-18,36
2023-04-19,24
2023-04-20,24
2023-04-21,22
2023-04-22,18
2023-04-23,18
2023-04-24,18
2023-04-25,20
2023-04-26,19
2023-04-27,18
2023-04-28,17
2023-04-29,16
2023-04-30,18
2023-05-01,20
2023-05-02,19
2023-05-03,19
2023-05-04,19
2023-05-05,16
2023-05-06,15
2023-05-07,16
2023-05-08,20
2023-05-09,20
2023-05-10,19
2023-05-11,17
2023-05-12,18
2023-05-13,16
2023-05-14,17
2023-05-15,22
2023-05-16,22
2023-05-17,21
2023-05-18,19
2023-05-19,19
2023-05-20,16
2023-05-21,18
2023-05-22,20
2023-05-23,21
2023-05-24,20
2023-05-25,19
