Time,nike
2025-12-11,51
2025-12-12,53
2025-12-13,64
2025-12-14,64
2025-12-15,52
2025-12-16,50
2025-12-17,51
2025-12-18,52
2025-12-19,52
2025-12-20,57
2025-12-21,55
2025-12-22,50
2025-12-23,47
2025-12-24,50
2025-12-25,53
2025-12-26,54
2025-12-27,49
2025-12-28,45
2025-12-29,40
2025-12-30,39
2025-12-31,37
2026-01-01,36
2026-01-02,39
2026-01-03,41
2026-01-04,43
2026-01-05,36
2026-01-06,37
2026-01-07,36
2026-01-08,39
2026-01-09,41
2026-01-10,46
2026-01-11,46
2026-01-12,37
2026-01-13,36
2026-01-14,35
2026-01-15,35
2026-01-16,37
2026-01-17,43
2026-01-18,40
2026-01-19,39
2026-01-20,35
2026-01-21,32
2026-01-22,35
2026-01-23,32
2026-01-24,38
2026-01-25,36
2026-01-26,33
2026-01-27,33
2026-01-28,34
2026-01-29,33
2026-01-30,37
2026-01-31,48
2026-02-01,44
2026-02-02,36
2026-02-03,36
2026-02-04,36
2026-02-05,40
2026-02-06,38
2026-02-07,44
2026-02-08,44
2026-02-09,35
2026-02-10,37
2026-02-11,35
2026-02-12,36
2026-02-13,37
2026-02-14,45
2026-02-15,46
2026-02-16,41
2026-02-17,37
2026-02-18,34
2026-02-19,37
2026-02-20,38
2026-02-21,44
2026-02-22,45
2026-02-23,41
2026-02-24,38
2026-02-25,36
2026-02-26,40
2026-02-27,40
2026-02-28,46
2026-03-01,46
2026-03-02,39
2026-03-03,36
2026-03-04,35
2026-03-05,38
2026-03-06,39
2026-03-07,46
2026-03-08,48
2026-03-09,40
2026-03-10,37
2026-03-11,37
2026-03-12,39
2026-03-13,40
2026-03-14,47
2026-03-15,45
2026-03-16,39
2026-03-17,38
2026-03-18,40
2026-03-19,43
2026-03-20,43
2026-03-21,54
2026-03-22,54
2026-03-23,49
2026-03-24,50
2026-03-25,52
2026-03-26,48
2026-03-27,61
2026-03-28,69
2026-03-29,77
2026-03-30,67
2026-03-31,69
2026-04-01,79
2026-04-02,78
2026-04-03,73
2026-04-04,82
2026-04-05,79
2026-04-06,77
2026-04-07,77
2026-04-08,79
2026-04-09,80
2026-04-10,87
2026-04-11,95
2026-04-12,96
2026-04-13,80
2026-04-14,79
2026-04-15,83
2026-04-16,99
2026-04-17,89
2026-04-18,100
2026-04-19,83
2026-04-20,71
2026-04-21,69
2026-04-22,76
2026-04-23,70
2026-04-24,63
2026-04-25,70
2026-04-26,79
2026-04-27,62
2026-04-28,57
2026-04-29,55
2026-04-30,62
2026-05-01,55
2026-05-02,60
2026-05-03,61
2026-05-04,53
2026-05-05,49
2026-05-06,58
2026-05-07,64
2026-05-08,58
2026-05-09,67
2026-05-10,67
2026-05-11,56
2026-05-12,53
2026-05-13,77
2026-05-14,79
2026-05-15,70
2026-05-16,75
2026-05-17,75
2026-05-18,66
2026-05-19,57
2026-05-20,57
2026-05-21,57
2026-05-22,54
2026-05-23,56
2026-05-24,60
2026-05-25,57
2026-05-26,49
2026-05-27,49
2026-05-28,50
2026-05-29,51
2026-05-30,54
2026-05-31,64
