Time,nike
2024-08-18,51
2024-08-19,41
2024-08-20,43
2024-08-21,41
2024-08-22,41
2024-08-23,41
2024-08-24,49
2024-08-25,49
2024-08-26,39
2024-08-27,38
2024-08-28,38
2024-08-29,39
2024-08-30,39
2024-08-31,45
2024-09-01,45
2024-09-02,42
2024-09-03,37
2024-09-04,38
2024-09-05,32
2024-09-06,32
2024-09-07,41
2024-09-08,41
2024-09-09,34
2024-09-10,33
2024-09-11,30
2024-09-12,33
2024-09-13,30
2024-09-14,40
2024-09-15,39
2024-09-16,34
2024-09-17,34
2024-09-18,34
2024-09-19,37
2024-09-20,39
2024-09-21,43
2024-09-22,40
2024-09-23,34
2024-09-24,34
2024-09-25,34
2024-09-26,33
2024-09-27,33
2024-09-28,42
2024-09-29,39
2024-09-30,35
2024-10-01,33
2024-10-02,36
2024-10-03,36
2024-10-04,35
2024-10-05,39
2024-10-06,40
2024-10-07,31
2024-10-08,33
2024-10-09,34
2024-10-10,33
2024-10-11,36
2024-10-12,41
2024-10-13,39
2024-10-14,37
2024-10-15,34
2024-10-16,34
2024-10-17,37
2024-10-18,36
2024-10-19,42
2024-10-20,41
2024-10-21,34
2024-10-22,34
2024-10-23,33
2024-10-24,35
2024-10-25,35
2024-10-26,38
2024-10-27,42
2024-10-28,34
2024-10-29,33
2024-10-30,30
2024-10-31,31
2024-11-01,32
2024-11-02,40
2024-11-03,43
2024-11-04,37
2024-11-05,33
2024-11-06,25
2024-11-07,36
2024-11-08,38
2024-11-09,47
2024-11-10,45
2024-11-11,42
2024-11-12,42
2024-11-13,42
2024-11-14,41
2024-11-15,41
2024-11-16,45
2024-11-17,54
2024-11-18,45
2024-11-19,41
2024-11-20,45
2024-11-21,45
2024-11-22,48
2024-11-23,55
2024-11-24,60
2024-11-25,53
2024-11-26,51
2024-11-27,59
2024-11-28,61
2024-11-29,100
2024-11-30,86
2024-12-01,69
2024-12-02,66
2024-12-03,58
2024-12-04,50
2024-12-05,50
2024-12-06,51
2024-12-07,61
2024-12-08,61
2024-12-09,52
2024-12-10,50
2024-12-11,50
2024-12-12,53
2024-12-13,51
2024-12-14,63
2024-12-15,60
2024-12-16,55
2024-12-17,52
2024-12-18,49
2024-12-19,53
2024-12-20,54
2024-12-21,58
2024-12-22,55
2024-12-23,51
2024-12-24,51
2024-12-25,58
2024-12-26,56
2024-12-27,48
2024-12-28,49
2024-12-29,45
2024-12-30,39
2024-12-31,37
2025-01-01,36
2025-01-02,36
2025-01-03,43
2025-01-04,46
2025-01-05,41
2025-01-06,36
2025-01-07,42
2025-01-08,35
2025-01-09,34
2025-01-10,34
2025-01-11,40
2025-01-12,39
2025-01-13,35
2025-01-14,33
2025-01-15,34
2025-01-16,32
2025-01-17,36
2025-01-18,42
2025-01-19,39
2025-01-20,37
2025-01-21,33
2025-01-22,32
2025-01-23,32
2025-01-24,36
2025-01-25,42
2025-01-26,40
2025-01-27,35
2025-01-28,31
2025-01-29,33
2025-01-30,33
2025-01-31,35
2025-02-01,41
2025-02-02,45
2025-02-03,35
2025-02-04,35
2025-02-05,34
2025-02-06,34
2025-02-07,36
2025-02-08,43
2025-02-09,40
2025-02-10,40
2025-02-11,34
2025-02-12,35
2025-02-13,37
2025-02-14,37
2025-02-15,42
2025-02-16,45
2025-02-17,38
2025-02-18,36
2025-02-19,36
2025-02-20,34
2025-02-21,37
2025-02-22,43
2025-02-23,44
2025-02-24,38
2025-02-25,36
2025-02-26,37
2025-02-27,36
2025-02-28,37
2025-03-01,47
2025-03-02,51
2025-03-03,40
2025-03-04,39
2025-03-05,37
2025-03-06,38
2025-03-07,37
2025-03-08,46
2025-03-09,47
2025-03-10,38
2025-03-11,37
2025-03-12,37
2025-03-13,35
2025-03-14,40
2025-03-15,48
2025-03-16,51
2025-03-17,39
2025-03-18,38
2025-03-19,39
2025-03-20,39
2025-03-21,38
2025-03-22,43
2025-03-23,47
2025-03-24,35
2025-03-25,37
2025-03-26,35
2025-03-27,36
2025-03-28,36
2025-03-29,44
2025-03-30,45
2025-03-31,37
2025-04-01,35
2025-04-02,35
2025-04-03,37
2025-04-04,39
2025-04-05,44
2025-04-06,44
2025-04-07,37
2025-04-08,35
2025-04-09,35
2025-04-10,35
2025-04-11,36
2025-04-12,44
2025-04-13,44
2025-04-14,37
2025-04-15,35
2025-04-16,36
2025-04-17,36
2025-04-18,38
2025-04-19,41
2025-04-20,39
2025-04-21,34
2025-04-22,34
2025-04-23,38
2025-04-24,35
2025-04-25,34
2025-04-26,39
2025-04-27,41
2025-04-28,35
2025-04-29,35
2025-04-30,34
2025-05-01,36
2025-05-02,34
2025-05-03,41
2025-05-04,44
2025-05-05,37
2025-05-06,34
2025-05-07,34
2025-05-08,36
2025-05-09,36
2025-05-10,42
2025-05-11,40
2025-05-12,35
2025-05-13,33
2025-05-14,35
