Time,outlook email
2023-04-26,67
2023-04-27,64
2023-04-28,61
2023-04-29,31
2023-04-30,30
2023-05-01,67
2023-05-02,66
2023-05-03,68
2023-05-04,67
2023-05-05,62
2023-05-06,30
2023-05-07,27
2023-05-08,65
2023-05-09,69
2023-05-10,70
2023-05-11,68
2023-05-12,64
2023-05-13,30
2023-05-14,25
2023-05-15,70
2023-05-16,67
2023-05-17,71
2023-05-18,70
2023-05-19,64
2023-05-20,30
2023-05-21,29
2023-05-22,68
2023-05-23,71
2023-05-24,71
2023-05-25,69
2023-05-26,58
2023-05-27,30
2023-05-28,24
2023-05-29,30
2023-05-30,68
2023-05-31,68
2023-06-01,70
2023-06-02,65
2023-06-03,31
2023-06-04,26
2023-06-05,100
2023-06-06,70
2023-06-07,72
2023-06-08,67
2023-06-09,63
2023-06-10,30
2023-06-11,28
2023-06-12,65
2023-06-13,63
2023-06-14,72
2023-06-15,69
2023-06-16,61
2023-06-17,30
2023-06-18,25
2023-06-19,58
2023-06-20,67
2023-06-21,69
2023-06-22,64
2023-06-23,62
2023-06-24,30
2023-06-25,28
2023-06-26,66
2023-06-27,82
2023-06-28,67
2023-06-29,65
2023-06-30,61
2023-07-01,29
2023-07-02,27
2023-07-03,55
2023-07-04,31
2023-07-05,65
2023-07-06,69
2023-07-07,64
2023-07-08,32
2023-07-09,27
2023-07-10,68
2023-07-11,73
2023-07-12,73
2023-07-13,70
2023-07-14,67
2023-07-15,31
2023-07-16,28
2023-07-17,68
2023-07-18,73
2023-07-19,69
2023-07-20,69
2023-07-21,62
2023-07-22,30
2023-07-23,27
2023-07-24,71
2023-07-25,69
2023-07-26,67
2023-07-27,65
2023-07-28,62
2023-07-29,27
2023-07-30,26
2023-07-31,64
2023-08-01,73
2023-08-02,72
2023-08-03,68
2023-08-04,66
2023-08-05,29
2023-08-06,26
2023-08-07,64
2023-08-08,70
2023-08-09,71
2023-08-10,69
2023-08-11,66
2023-08-12,30
2023-08-13,27
2023-08-14,73
2023-08-15,73
2023-08-16,75
2023-08-17,75
2023-08-18,74
2023-08-19,33
2023-08-20,30
2023-08-21,72
2023-08-22,74
2023-08-23,78
2023-08-24,68
2023-08-25,66
2023-08-26,30
2023-08-27,31
2023-08-28,74
2023-08-29,72
2023-08-30,70
2023-08-31,75
2023-09-01,67
2023-09-02,28
2023-09-03,27
2023-09-04,38
2023-09-05,77
2023-09-06,77
2023-09-07,84
2023-09-08,66
2023-09-09,32
2023-09-10,30
2023-09-11,73
2023-09-12,74
2023-09-13,74
2023-09-14,71
2023-09-15,63
2023-09-16,28
2023-09-17,25
2023-09-18,68
2023-09-19,70
2023-09-20,73
2023-09-21,72
2023-09-22,63
2023-09-23,30
2023-09-24,25
2023-09-25,63
2023-09-26,69
2023-09-27,65
2023-09-28,65
2023-09-29,67
2023-09-30,31
2023-10-01,27
2023-10-02,66
2023-10-03,68
2023-10-04,69
2023-10-05,67
2023-10-06,64
2023-10-07,28
2023-10-08,26
2023-10-09,57
2023-10-10,63
2023-10-11,67
2023-10-12,66
2023-10-13,61
2023-10-14,29
2023-10-15,27
2023-10-16,63
2023-10-17,69
2023-10-18,68
2023-10-19,68
2023-10-20,60
2023-10-21,29
2023-10-22,25
2023-10-23,63
2023-10-24,68
2023-10-25,64
2023-10-26,66
2023-10-27,60
2023-10-28,27
2023-10-29,23
2023-10-30,64
2023-10-31,67
2023-11-01,70
2023-11-02,67
2023-11-03,63
2023-11-04,29
2023-11-05,24
2023-11-06,66
2023-11-07,69
2023-11-08,64
2023-11-09,66
2023-11-10,58
2023-11-11,30
2023-11-12,29
2023-11-13,70
2023-11-14,66
2023-11-15,68
2023-11-16,72
2023-11-17,62
2023-11-18,31
2023-11-19,25
2023-11-20,65
2023-11-21,66
2023-11-22,56
2023-11-23,24
2023-11-24,30
2023-11-25,24
2023-11-26,28
2023-11-27,62
2023-11-28,66
2023-11-29,78
2023-11-30,65
2023-12-01,66
2023-12-02,33
2023-12-03,29
2023-12-04,71
2023-12-05,69
2023-12-06,71
2023-12-07,70
2023-12-08,62
2023-12-09,30
2023-12-10,28
2023-12-11,62
2023-12-12,64
2023-12-13,63
2023-12-14,66
2023-12-15,65
2023-12-16,32
2023-12-17,28
2023-12-18,61
2023-12-19,63
2023-12-20,70
2023-12-21,68
2023-12-22,61
2023-12-23,27
2023-12-24,23
2023-12-25,26
2023-12-26,50
2023-12-27,52
2023-12-28,53
2023-12-29,50
2023-12-30,29
2023-12-31,24
2024-01-01,27
2024-01-02,66
2024-01-03,69
2024-01-04,69
2024-01-05,68
2024-01-06,32
2024-01-07,30
2024-01-08,71
2024-01-09,71
2024-01-10,74
2024-01-11,75
2024-01-12,65
2024-01-13,35
2024-01-14,29
2024-01-15,54
2024-01-16,73
2024-01-17,77
2024-01-18,73
2024-01-19,66
2024-01-20,33
