Time,peloton
2025-12-11,43
2025-12-12,40
2025-12-13,46
2025-12-14,48
2025-12-15,42
2025-12-16,43
2025-12-17,40
2025-12-18,39
2025-12-19,35
2025-12-20,42
2025-12-21,42
2025-12-22,44
2025-12-23,41
2025-12-24,38
2025-12-25,36
2025-12-26,54
2025-12-27,57
2025-12-28,59
2025-12-29,57
2025-12-30,59
2025-12-31,57
2026-01-01,63
2026-01-02,69
2026-01-03,74
2026-01-04,75
2026-01-05,68
2026-01-06,62
2026-01-07,58
2026-01-08,51
2026-01-09,51
2026-01-10,61
2026-01-11,61
2026-01-12,57
2026-01-13,52
2026-01-14,47
2026-01-15,46
2026-01-16,45
2026-01-17,54
2026-01-18,57
2026-01-19,57
2026-01-20,49
2026-01-21,47
2026-01-22,45
2026-01-23,39
2026-01-24,49
2026-01-25,53
2026-01-26,48
2026-01-27,49
2026-01-28,44
2026-01-29,42
2026-01-30,44
2026-01-31,51
2026-02-01,55
2026-02-02,47
2026-02-03,44
2026-02-04,45
2026-02-05,49
2026-02-06,43
2026-02-07,51
2026-02-08,53
2026-02-09,45
2026-02-10,36
2026-02-11,38
2026-02-12,46
2026-02-13,47
2026-02-14,40
2026-02-15,48
2026-02-16,52
2026-02-17,42
2026-02-18,40
2026-02-19,45
2026-02-20,45
2026-02-21,61
2026-02-22,100
2026-02-23,49
2026-02-24,48
2026-02-25,73
2026-02-26,54
2026-02-27,43
2026-02-28,50
2026-03-01,56
2026-03-02,50
2026-03-03,47
2026-03-04,43
2026-03-05,38
2026-03-06,34
2026-03-07,40
2026-03-08,42
2026-03-09,39
2026-03-10,38
2026-03-11,35
2026-03-12,36
2026-03-13,35
2026-03-14,39
2026-03-15,42
2026-03-16,45
2026-03-17,38
2026-03-18,35
2026-03-19,39
2026-03-20,35
2026-03-21,40
2026-03-22,44
2026-03-23,37
2026-03-24,38
2026-03-25,34
2026-03-26,31
2026-03-27,32
2026-03-28,37
2026-03-29,40
2026-03-30,38
2026-03-31,41
2026-04-01,39
2026-04-02,41
2026-04-03,36
2026-04-04,40
2026-04-05,36
2026-04-06,47
2026-04-07,42
2026-04-08,41
2026-04-09,37
2026-04-10,37
2026-04-11,41
2026-04-12,47
2026-04-13,48
2026-04-14,54
2026-04-15,51
2026-04-16,49
2026-04-17,45
2026-04-18,50
2026-04-19,50
2026-04-20,44
2026-04-21,48
2026-04-22,48
2026-04-23,43
2026-04-24,38
2026-04-25,42
2026-04-26,49
2026-04-27,44
2026-04-28,45
2026-04-29,42
2026-04-30,37
2026-05-01,37
2026-05-02,40
2026-05-03,40
2026-05-04,42
2026-05-05,45
2026-05-06,40
2026-05-07,44
2026-05-08,37
2026-05-09,41
2026-05-10,41
2026-05-11,42
2026-05-12,45
2026-05-13,43
2026-05-14,48
2026-05-15,45
2026-05-16,44
2026-05-17,49
2026-05-18,45
2026-05-19,43
2026-05-20,43
2026-05-21,42
2026-05-22,41
2026-05-23,45
2026-05-24,46
2026-05-25,48
2026-05-26,45
2026-05-27,45
2026-05-28,44
2026-05-29,40
2026-05-30,43
2026-05-31,50
