Time,peloton
2024-08-18,51
2024-08-19,53
2024-08-20,55
2024-08-21,52
2024-08-22,69
2024-08-23,61
2024-08-24,55
2024-08-25,58
2024-08-26,58
2024-08-27,69
2024-08-28,83
2024-08-29,60
2024-08-30,51
2024-08-31,49
2024-09-01,52
2024-09-02,63
2024-09-03,54
2024-09-04,51
2024-09-05,47
2024-09-06,40
2024-09-07,45
2024-09-08,47
2024-09-09,47
2024-09-10,46
2024-09-11,39
2024-09-12,45
2024-09-13,43
2024-09-14,41
2024-09-15,43
2024-09-16,42
2024-09-17,41
2024-09-18,40
2024-09-19,41
2024-09-20,39
2024-09-21,43
2024-09-22,45
2024-09-23,45
2024-09-24,52
2024-09-25,44
2024-09-26,45
2024-09-27,40
2024-09-28,43
2024-09-29,47
2024-09-30,44
2024-10-01,45
2024-10-02,42
2024-10-03,42
2024-10-04,38
2024-10-05,40
2024-10-06,45
2024-10-07,41
2024-10-08,43
2024-10-09,41
2024-10-10,42
2024-10-11,38
2024-10-12,41
2024-10-13,47
2024-10-14,48
2024-10-15,46
2024-10-16,43
2024-10-17,43
2024-10-18,43
2024-10-19,41
2024-10-20,45
2024-10-21,46
2024-10-22,53
2024-10-23,46
2024-10-24,48
2024-10-25,45
2024-10-26,44
2024-10-27,45
2024-10-28,45
2024-10-29,46
2024-10-30,45
2024-10-31,53
2024-11-01,49
2024-11-02,53
2024-11-03,59
2024-11-04,59
2024-11-05,50
2024-11-06,31
2024-11-07,50
2024-11-08,52
2024-11-09,53
2024-11-10,61
2024-11-11,64
2024-11-12,65
2024-11-13,61
2024-11-14,59
2024-11-15,51
2024-11-16,57
2024-11-17,66
2024-11-18,59
2024-11-19,58
2024-11-20,58
2024-11-21,58
2024-11-22,57
2024-11-23,62
2024-11-24,65
2024-11-25,59
2024-11-26,62
2024-11-27,62
2024-11-28,60
2024-11-29,85
2024-11-30,78
2024-12-01,81
2024-12-02,81
2024-12-03,76
2024-12-04,63
2024-12-05,60
2024-12-06,58
2024-12-07,67
2024-12-08,66
2024-12-09,58
2024-12-10,59
2024-12-11,58
2024-12-12,53
2024-12-13,48
2024-12-14,59
2024-12-15,60
2024-12-16,58
2024-12-17,62
2024-12-18,58
2024-12-19,59
2024-12-20,57
2024-12-21,56
2024-12-22,56
2024-12-23,53
2024-12-24,57
2024-12-25,52
2024-12-26,76
2024-12-27,77
2024-12-28,75
2024-12-29,86
2024-12-30,77
2024-12-31,77
2025-01-01,90
2025-01-02,97
2025-01-03,94
2025-01-04,95
2025-01-05,100
2025-01-06,86
2025-01-07,84
2025-01-08,79
2025-01-09,64
2025-01-10,69
2025-01-11,76
2025-01-12,79
2025-01-13,74
2025-01-14,70
2025-01-15,70
2025-01-16,65
2025-01-17,62
2025-01-18,76
2025-01-19,67
2025-01-20,69
2025-01-21,66
2025-01-22,64
2025-01-23,61
2025-01-24,58
2025-01-25,68
2025-01-26,73
2025-01-27,64
2025-01-28,63
2025-01-29,59
2025-01-30,58
2025-01-31,54
2025-02-01,60
2025-02-02,66
2025-02-03,58
2025-02-04,60
2025-02-05,58
2025-02-06,65
2025-02-07,56
2025-02-08,59
2025-02-09,60
2025-02-10,49
2025-02-11,57
2025-02-12,59
2025-02-13,55
2025-02-14,47
2025-02-15,63
2025-02-16,67
2025-02-17,67
2025-02-18,65
2025-02-19,59
2025-02-20,56
2025-02-21,53
2025-02-22,62
2025-02-23,65
2025-02-24,60
2025-02-25,63
2025-02-26,53
2025-02-27,51
2025-02-28,46
2025-03-01,54
2025-03-02,57
2025-03-03,56
2025-03-04,52
2025-03-05,47
2025-03-06,53
2025-03-07,50
2025-03-08,53
2025-03-09,51
2025-03-10,51
2025-03-11,51
2025-03-12,46
2025-03-13,45
2025-03-14,41
2025-03-15,50
2025-03-16,55
2025-03-17,54
2025-03-18,56
2025-03-19,49
2025-03-20,42
2025-03-21,45
2025-03-22,49
2025-03-23,54
2025-03-24,53
2025-03-25,48
2025-03-26,44
2025-03-27,43
2025-03-28,41
2025-03-29,43
2025-03-30,52
2025-03-31,50
2025-04-01,46
2025-04-02,49
2025-04-03,46
2025-04-04,41
2025-04-05,49
2025-04-06,54
2025-04-07,53
2025-04-08,46
2025-04-09,51
2025-04-10,43
2025-04-11,43
2025-04-12,49
2025-04-13,48
2025-04-14,47
2025-04-15,46
2025-04-16,42
2025-04-17,43
2025-04-18,46
2025-04-19,44
2025-04-20,45
2025-04-21,45
2025-04-22,49
2025-04-23,46
2025-04-24,45
2025-04-25,39
2025-04-26,44
2025-04-27,46
2025-04-28,54
2025-04-29,56
2025-04-30,49
2025-05-01,52
2025-05-02,46
2025-05-03,41
2025-05-04,49
2025-05-05,45
2025-05-06,45
2025-05-07,43
2025-05-08,43
2025-05-09,43
2025-05-10,49
2025-05-11,51
2025-05-12,49
2025-05-13,53
2025-05-14,42
