Time,peloton
2023-12-22,42
2023-12-23,43
2023-12-24,40
2023-12-25,40
2023-12-26,59
2023-12-27,62
2023-12-28,62
2023-12-29,60
2023-12-30,61
2023-12-31,58
2024-01-01,74
2024-01-02,76
2024-01-03,73
2024-01-04,73
2024-01-05,73
2024-01-06,69
2024-01-07,69
2024-01-08,59
2024-01-09,60
2024-01-10,59
2024-01-11,52
2024-01-12,46
2024-01-13,54
2024-01-14,53
2024-01-15,56
2024-01-16,51
2024-01-17,48
2024-01-18,50
2024-01-19,46
2024-01-20,58
2024-01-21,57
2024-01-22,50
2024-01-23,51
2024-01-24,48
2024-01-25,44
2024-01-26,42
2024-01-27,49
2024-01-28,50
2024-01-29,43
2024-01-30,44
2024-01-31,43
2024-02-01,51
2024-02-02,45
2024-02-03,47
2024-02-04,50
2024-02-05,44
2024-02-06,43
2024-02-07,37
2024-02-08,37
2024-02-09,36
2024-02-10,42
2024-02-11,41
2024-02-12,31
2024-02-13,40
2024-02-14,34
2024-02-15,36
2024-02-16,33
2024-02-17,42
2024-02-18,46
2024-02-19,44
2024-02-20,38
2024-02-21,37
2024-02-22,33
2024-02-23,33
2024-02-24,38
2024-02-25,42
2024-02-26,38
2024-02-27,37
2024-02-28,35
2024-02-29,34
2024-03-01,32
2024-03-02,38
2024-03-03,35
2024-03-04,34
2024-03-05,35
2024-03-06,34
2024-03-07,35
2024-03-08,32
2024-03-09,37
2024-03-10,36
2024-03-11,35
2024-03-12,32
2024-03-13,31
2024-03-14,31
2024-03-15,28
2024-03-16,33
2024-03-17,37
2024-03-18,37
2024-03-19,36
2024-03-20,36
2024-03-21,32
2024-03-22,29
2024-03-23,36
2024-03-24,36
2024-03-25,32
2024-03-26,33
2024-03-27,34
2024-03-28,30
2024-03-29,28
2024-03-30,33
2024-03-31,30
2024-04-01,34
2024-04-02,35
2024-04-03,33
2024-04-04,32
2024-04-05,30
2024-04-06,34
2024-04-07,37
2024-04-08,31
2024-04-09,31
2024-04-10,30
2024-04-11,32
2024-04-12,26
2024-04-13,29
2024-04-14,30
2024-04-15,31
2024-04-16,33
2024-04-17,31
2024-04-18,30
2024-04-19,28
2024-04-20,28
2024-04-21,34
2024-04-22,31
2024-04-23,34
2024-04-24,51
2024-04-25,31
2024-04-26,29
2024-04-27,31
2024-04-28,31
2024-04-29,32
2024-04-30,32
2024-05-01,29
2024-05-02,58
2024-05-03,45
2024-05-04,36
2024-05-05,37
2024-05-06,33
2024-05-07,37
2024-05-08,34
2024-05-09,32
2024-05-10,31
2024-05-11,31
2024-05-12,31
2024-05-13,33
2024-05-14,33
2024-05-15,33
2024-05-16,31
2024-05-17,26
2024-05-18,28
2024-05-19,30
2024-05-20,33
2024-05-21,35
2024-05-22,33
2024-05-23,28
2024-05-24,25
2024-05-25,26
2024-05-26,26
2024-05-27,33
2024-05-28,30
2024-05-29,32
2024-05-30,32
2024-05-31,27
2024-06-01,27
2024-06-02,29
2024-06-03,30
2024-06-04,33
2024-06-05,30
2024-06-06,30
2024-06-07,25
2024-06-08,27
2024-06-09,28
2024-06-10,31
2024-06-11,30
2024-06-12,29
2024-06-13,49
2024-06-14,49
2024-06-15,37
2024-06-16,29
2024-06-17,40
2024-06-18,43
2024-06-19,37
2024-06-20,32
2024-06-21,29
2024-06-22,76
2024-06-23,51
2024-06-24,37
2024-06-25,35
2024-06-26,38
2024-06-27,32
2024-06-28,34
2024-06-29,37
2024-06-30,36
2024-07-01,36
2024-07-02,35
2024-07-03,32
2024-07-04,30
2024-07-05,29
2024-07-06,36
2024-07-07,34
2024-07-08,36
2024-07-09,33
2024-07-10,32
2024-07-11,32
2024-07-12,29
2024-07-13,31
2024-07-14,29
2024-07-15,31
2024-07-16,36
2024-07-17,35
2024-07-18,32
2024-07-19,25
2024-07-20,28
2024-07-21,27
2024-07-22,29
2024-07-23,29
2024-07-24,27
2024-07-25,28
2024-07-26,23
2024-07-27,25
2024-07-28,27
2024-07-29,30
2024-07-30,28
2024-07-31,30
2024-08-01,29
2024-08-02,25
2024-08-03,100
2024-08-04,55
2024-08-05,35
2024-08-06,28
2024-08-07,27
2024-08-08,27
2024-08-09,25
2024-08-10,25
2024-08-11,28
2024-08-12,31
2024-08-13,30
2024-08-14,27
2024-08-15,25
2024-08-16,24
2024-08-17,25
2024-08-18,28
2024-08-19,29
2024-08-20,30
2024-08-21,29
2024-08-22,38
2024-08-23,34
2024-08-24,30
2024-08-25,32
2024-08-26,32
2024-08-27,38
2024-08-28,46
2024-08-29,33
2024-08-30,28
2024-08-31,27
2024-09-01,29
2024-09-02,35
2024-09-03,30
2024-09-04,28
2024-09-05,26
2024-09-06,22
2024-09-07,25
2024-09-08,26
2024-09-09,26
2024-09-10,26
2024-09-11,22
2024-09-12,25
2024-09-13,24
2024-09-14,23
2024-09-15,24
2024-09-16,23
