Time,prodigy
2023-12-22,29
2023-12-23,13
2023-12-24,9
2023-12-25,10
2023-12-26,10
2023-12-27,8
2023-12-28,10
2023-12-29,8
2023-12-30,9
2023-12-31,8
2024-01-01,9
2024-01-02,16
2024-01-03,31
2024-01-04,35
2024-01-05,49
2024-01-06,12
2024-01-07,10
2024-01-08,42
2024-01-09,47
2024-01-10,59
2024-01-11,61
2024-01-12,72
2024-01-13,17
2024-01-14,12
2024-01-15,13
2024-01-16,33
2024-01-17,45
2024-01-18,62
2024-01-19,69
2024-01-20,16
2024-01-21,12
2024-01-22,46
2024-01-23,58
2024-01-24,67
2024-01-25,68
2024-01-26,86
2024-01-27,18
2024-01-28,13
2024-01-29,49
2024-01-30,61
2024-01-31,63
2024-02-01,73
2024-02-02,88
2024-02-03,17
2024-02-04,13
2024-02-05,46
2024-02-06,65
2024-02-07,67
2024-02-08,70
2024-02-09,90
2024-02-10,18
2024-02-11,13
2024-02-12,45
2024-02-13,54
2024-02-14,49
2024-02-15,70
2024-02-16,72
2024-02-17,16
2024-02-18,13
2024-02-19,20
2024-02-20,45
2024-02-21,53
2024-02-22,59
2024-02-23,80
2024-02-24,16
2024-02-25,12
2024-02-26,47
2024-02-27,56
2024-02-28,67
2024-02-29,66
2024-03-01,86
2024-03-02,18
2024-03-03,13
2024-03-04,49
2024-03-05,57
2024-03-06,61
2024-03-07,74
2024-03-08,84
2024-03-09,16
2024-03-10,12
2024-03-11,39
2024-03-12,46
2024-03-13,47
2024-03-14,53
2024-03-15,58
2024-03-16,16
2024-03-17,12
2024-03-18,41
2024-03-19,51
2024-03-20,53
2024-03-21,64
2024-03-22,75
2024-03-23,17
2024-03-24,12
2024-03-25,41
2024-03-26,44
2024-03-27,48
2024-03-28,53
2024-03-29,29
2024-03-30,11
2024-03-31,9
2024-04-01,26
2024-04-02,37
2024-04-03,41
2024-04-04,42
2024-04-05,58
2024-04-06,13
2024-04-07,10
2024-04-08,36
2024-04-09,53
2024-04-10,48
2024-04-11,61
2024-04-12,79
2024-04-13,12
2024-04-14,11
2024-04-15,44
2024-04-16,54
2024-04-17,60
2024-04-18,72
2024-04-19,81
2024-04-20,14
2024-04-21,12
2024-04-22,49
2024-04-23,55
2024-04-24,64
2024-04-25,73
2024-04-26,79
2024-04-27,15
2024-04-28,14
2024-04-29,63
2024-04-30,70
2024-05-01,65
2024-05-02,75
2024-05-03,81
2024-05-04,16
2024-05-05,13
2024-05-06,63
2024-05-07,67
2024-05-08,74
2024-05-09,78
2024-05-10,86
2024-05-11,15
2024-05-12,12
2024-05-13,68
2024-05-14,73
2024-05-15,77
2024-05-16,80
2024-05-17,80
2024-05-18,26
2024-05-19,24
2024-05-20,66
2024-05-21,60
2024-05-22,60
2024-05-23,59
2024-05-24,48
2024-05-25,14
2024-05-26,12
2024-05-27,11
2024-05-28,37
2024-05-29,39
2024-05-30,38
2024-05-31,37
2024-06-01,13
2024-06-02,11
2024-06-03,31
2024-06-04,32
2024-06-05,33
2024-06-06,30
2024-06-07,26
2024-06-08,11
2024-06-09,9
2024-06-10,24
2024-06-11,23
2024-06-12,23
2024-06-13,21
2024-06-14,18
2024-06-15,9
2024-06-16,8
2024-06-17,15
2024-06-18,15
2024-06-19,11
2024-06-20,14
2024-06-21,12
2024-06-22,8
2024-06-23,8
2024-06-24,12
2024-06-25,12
2024-06-26,11
2024-06-27,12
2024-06-28,10
2024-06-29,8
2024-06-30,8
2024-07-01,12
2024-07-02,11
2024-07-03,11
2024-07-04,9
2024-07-05,9
2024-07-06,9
2024-07-07,10
2024-07-08,11
2024-07-09,10
2024-07-10,11
2024-07-11,11
2024-07-12,9
2024-07-13,8
2024-07-14,7
2024-07-15,10
2024-07-16,10
2024-07-17,9
2024-07-18,9
2024-07-19,9
2024-07-20,8
2024-07-21,9
2024-07-22,7
2024-07-23,8
2024-07-24,9
2024-07-25,9
2024-07-26,9
2024-07-27,8
2024-07-28,9
2024-07-29,11
2024-07-30,12
2024-07-31,10
2024-08-01,10
2024-08-02,11
2024-08-03,8
2024-08-04,7
2024-08-05,10
2024-08-06,13
2024-08-07,15
2024-08-08,17
2024-08-09,23
2024-08-10,9
2024-08-11,8
2024-08-12,19
2024-08-13,25
2024-08-14,29
2024-08-15,37
2024-08-16,48
2024-08-17,14
2024-08-18,13
2024-08-19,36
2024-08-20,47
2024-08-21,54
2024-08-22,56
2024-08-23,80
2024-08-24,17
2024-08-25,14
2024-08-26,46
2024-08-27,62
2024-08-28,67
2024-08-29,74
2024-08-30,84
2024-08-31,18
2024-09-01,14
2024-09-02,12
2024-09-03,48
2024-09-04,61
2024-09-05,75
2024-09-06,100
2024-09-07,19
2024-09-08,14
2024-09-09,55
2024-09-10,64
2024-09-11,65
2024-09-12,80
2024-09-13,100
2024-09-14,20
2024-09-15,15
2024-09-16,52
