Time,prodigy
2023-04-26,55
2023-04-27,60
2023-04-28,70
2023-04-29,13
2023-04-30,10
2023-05-01,44
2023-05-02,49
2023-05-03,52
2023-05-04,57
2023-05-05,62
2023-05-06,13
2023-05-07,10
2023-05-08,48
2023-05-09,52
2023-05-10,55
2023-05-11,60
2023-05-12,67
2023-05-13,12
2023-05-14,10
2023-05-15,53
2023-05-16,56
2023-05-17,58
2023-05-18,64
2023-05-19,60
2023-05-20,12
2023-05-21,9
2023-05-22,44
2023-05-23,45
2023-05-24,45
2023-05-25,39
2023-05-26,32
2023-05-27,10
2023-05-28,9
2023-05-29,8
2023-05-30,25
2023-05-31,25
2023-06-01,27
2023-06-02,25
2023-06-03,9
2023-06-04,8
2023-06-05,23
2023-06-06,24
2023-06-07,26
2023-06-08,23
2023-06-09,21
2023-06-10,9
2023-06-11,8
2023-06-12,18
2023-06-13,18
2023-06-14,18
2023-06-15,16
2023-06-16,13
2023-06-17,7
2023-06-18,6
2023-06-19,8
2023-06-20,12
2023-06-21,13
2023-06-22,11
2023-06-23,11
2023-06-24,8
2023-06-25,7
2023-06-26,11
2023-06-27,11
2023-06-28,10
2023-06-29,9
2023-06-30,8
2023-07-01,6
2023-07-02,6
2023-07-03,6
2023-07-04,6
2023-07-05,7
2023-07-06,7
2023-07-07,8
2023-07-08,6
2023-07-09,6
2023-07-10,8
2023-07-11,8
2023-07-12,8
2023-07-13,8
2023-07-14,8
2023-07-15,6
2023-07-16,6
2023-07-17,8
2023-07-18,8
2023-07-19,7
2023-07-20,8
2023-07-21,7
2023-07-22,5
2023-07-23,6
2023-07-24,7
2023-07-25,8
2023-07-26,8
2023-07-27,8
2023-07-28,8
2023-07-29,6
2023-07-30,6
2023-07-31,8
2023-08-01,8
2023-08-02,9
2023-08-03,9
2023-08-04,12
2023-08-05,7
2023-08-06,7
2023-08-07,12
2023-08-08,14
2023-08-09,15
2023-08-10,19
2023-08-11,25
2023-08-12,9
2023-08-13,7
2023-08-14,21
2023-08-15,27
2023-08-16,31
2023-08-17,37
2023-08-18,52
2023-08-19,12
2023-08-20,9
2023-08-21,32
2023-08-22,45
2023-08-23,55
2023-08-24,59
2023-08-25,76
2023-08-26,17
2023-08-27,13
2023-08-28,45
2023-08-29,58
2023-08-30,64
2023-08-31,69
2023-09-01,78
2023-09-02,17
2023-09-03,13
2023-09-04,12
2023-09-05,52
2023-09-06,63
2023-09-07,76
2023-09-08,94
2023-09-09,19
2023-09-10,14
2023-09-11,56
2023-09-12,67
2023-09-13,73
2023-09-14,77
2023-09-15,100
2023-09-16,20
2023-09-17,15
2023-09-18,58
2023-09-19,69
2023-09-20,72
2023-09-21,80
2023-09-22,96
2023-09-23,21
2023-09-24,15
2023-09-25,51
2023-09-26,67
2023-09-27,69
2023-09-28,73
2023-09-29,98
2023-09-30,20
2023-10-01,16
2023-10-02,55
2023-10-03,68
2023-10-04,69
2023-10-05,78
2023-10-06,87
2023-10-07,19
2023-10-08,15
2023-10-09,33
2023-10-10,50
2023-10-11,60
2023-10-12,66
2023-10-13,73
2023-10-14,17
2023-10-15,13
2023-10-16,47
2023-10-17,57
2023-10-18,58
2023-10-19,63
2023-10-20,80
2023-10-21,16
2023-10-22,13
2023-10-23,51
2023-10-24,57
2023-10-25,59
2023-10-26,66
2023-10-27,76
2023-10-28,15
2023-10-29,12
2023-10-30,46
2023-10-31,46
2023-11-01,53
2023-11-02,62
2023-11-03,80
2023-11-04,16
2023-11-05,13
2023-11-06,45
2023-11-07,45
2023-11-08,57
2023-11-09,66
2023-11-10,55
2023-11-11,14
2023-11-12,12
2023-11-13,45
2023-11-14,53
2023-11-15,57
2023-11-16,65
2023-11-17,79
2023-11-18,16
2023-11-19,12
2023-11-20,32
2023-11-21,36
2023-11-22,17
2023-11-23,11
2023-11-24,10
2023-11-25,9
2023-11-26,9
2023-11-27,32
2023-11-28,47
2023-11-29,52
2023-11-30,59
2023-12-01,73
2023-12-02,15
2023-12-03,11
2023-12-04,42
2023-12-05,51
2023-12-06,54
2023-12-07,59
2023-12-08,72
2023-12-09,15
2023-12-10,11
2023-12-11,43
2023-12-12,50
2023-12-13,56
2023-12-14,69
2023-12-15,74
2023-12-16,14
2023-12-17,11
2023-12-18,44
2023-12-19,46
2023-12-20,45
2023-12-21,35
2023-12-22,25
2023-12-23,11
2023-12-24,8
2023-12-25,8
2023-12-26,8
2023-12-27,7
2023-12-28,9
2023-12-29,7
2023-12-30,7
2023-12-31,7
2024-01-01,8
2024-01-02,13
2024-01-03,26
2024-01-04,30
2024-01-05,41
2024-01-06,10
2024-01-07,9
2024-01-08,36
2024-01-09,39
2024-01-10,50
2024-01-11,51
2024-01-12,61
2024-01-13,14
2024-01-14,10
2024-01-15,11
2024-01-16,28
2024-01-17,38
2024-01-18,53
2024-01-19,58
2024-01-20,13
