Time,lark
2025-12-11,32
2025-12-12,35
2025-12-13,40
2025-12-14,34
2025-12-15,30
2025-12-16,34
2025-12-17,33
2025-12-18,40
2025-12-19,38
2025-12-20,34
2025-12-21,36
2025-12-22,36
2025-12-23,34
2025-12-24,36
2025-12-25,34
2025-12-26,34
2025-12-27,41
2025-12-28,35
2025-12-29,37
2025-12-30,38
2025-12-31,34
2026-01-01,36
2026-01-02,41
2026-01-03,42
2026-01-04,38
2026-01-05,35
2026-01-06,37
2026-01-07,39
2026-01-08,33
2026-01-09,40
2026-01-10,43
2026-01-11,39
2026-01-12,37
2026-01-13,37
2026-01-14,37
2026-01-15,38
2026-01-16,42
2026-01-17,40
2026-01-18,38
2026-01-19,40
2026-01-20,35
2026-01-21,37
2026-01-22,34
2026-01-23,38
2026-01-24,39
2026-01-25,36
2026-01-26,38
2026-01-27,41
2026-01-28,35
2026-01-29,38
2026-01-30,39
2026-01-31,40
2026-02-01,36
2026-02-02,38
2026-02-03,37
2026-02-04,34
2026-02-05,35
2026-02-06,36
2026-02-07,37
2026-02-08,33
2026-02-09,32
2026-02-10,40
2026-02-11,39
2026-02-12,37
2026-02-13,40
2026-02-14,39
2026-02-15,39
2026-02-16,40
2026-02-17,38
2026-02-18,38
2026-02-19,36
2026-02-20,35
2026-02-21,47
2026-02-22,37
2026-02-23,35
2026-02-24,40
2026-02-25,39
2026-02-26,43
2026-02-27,42
2026-02-28,40
2026-03-01,42
2026-03-02,38
2026-03-03,41
2026-03-04,39
2026-03-05,40
2026-03-06,40
2026-03-07,40
2026-03-08,46
2026-03-09,40
2026-03-10,41
2026-03-11,42
2026-03-12,39
2026-03-13,39
2026-03-14,46
2026-03-15,41
2026-03-16,42
2026-03-17,48
2026-03-18,45
2026-03-19,48
2026-03-20,45
2026-03-21,56
2026-03-22,50
2026-03-23,46
2026-03-24,45
2026-03-25,49
2026-03-26,53
2026-03-27,57
2026-03-28,60
2026-03-29,56
2026-03-30,54
2026-03-31,67
2026-04-01,75
2026-04-02,76
2026-04-03,69
2026-04-04,71
2026-04-05,67
2026-04-06,65
2026-04-07,69
2026-04-08,72
2026-04-09,68
2026-04-10,72
2026-04-11,78
2026-04-12,71
2026-04-13,70
2026-04-14,65
2026-04-15,78
2026-04-16,79
2026-04-17,91
2026-04-18,100
2026-04-19,86
2026-04-20,80
2026-04-21,77
2026-04-22,66
2026-04-23,63
2026-04-24,60
2026-04-25,71
2026-04-26,76
2026-04-27,60
2026-04-28,56
2026-04-29,54
2026-04-30,60
2026-05-01,52
2026-05-02,60
2026-05-03,57
2026-05-04,64
2026-05-05,89
2026-05-06,73
2026-05-07,79
2026-05-08,69
2026-05-09,74
2026-05-10,81
2026-05-11,63
2026-05-12,60
2026-05-13,67
2026-05-14,77
2026-05-15,75
2026-05-16,88
2026-05-17,78
2026-05-18,68
2026-05-19,70
2026-05-20,71
2026-05-21,64
2026-05-22,74
2026-05-23,70
2026-05-24,69
2026-05-25,77
2026-05-26,55
2026-05-27,60
2026-05-28,67
2026-05-29,63
2026-05-30,61
2026-05-31,65
