Time,lark
2022-08-29,56
2022-08-30,94
2022-08-31,68
2022-09-01,56
2022-09-02,59
2022-09-03,53
2022-09-04,66
2022-09-05,54
2022-09-06,100
2022-09-07,67
2022-09-08,54
2022-09-09,50
2022-09-10,53
2022-09-11,50
2022-09-12,52
2022-09-13,53
2022-09-14,53
2022-09-15,52
2022-09-16,53
2022-09-17,50
2022-09-18,57
2022-09-19,49
2022-09-20,56
2022-09-21,53
2022-09-22,52
2022-09-23,51
2022-09-24,70
2022-09-25,56
2022-09-26,55
2022-09-27,54
2022-09-28,47
2022-09-29,54
2022-09-30,53
2022-10-01,70
2022-10-02,66
2022-10-03,63
2022-10-04,56
2022-10-05,50
2022-10-06,61
2022-10-07,60
2022-10-08,68
2022-10-09,63
2022-10-10,64
2022-10-11,63
2022-10-12,58
2022-10-13,63
2022-10-14,60
2022-10-15,65
2022-10-16,60
2022-10-17,54
2022-10-18,52
2022-10-19,58
2022-10-20,52
2022-10-21,64
2022-10-22,72
2022-10-23,63
2022-10-24,55
2022-10-25,50
2022-10-26,52
2022-10-27,50
2022-10-28,51
2022-10-29,60
2022-10-30,53
2022-10-31,52
2022-11-01,51
2022-11-02,51
2022-11-03,48
2022-11-04,46
2022-11-05,58
2022-11-06,50
2022-11-07,50
2022-11-08,48
2022-11-09,42
2022-11-10,45
2022-11-11,47
2022-11-12,47
2022-11-13,48
2022-11-14,50
2022-11-15,47
2022-11-16,50
2022-11-17,47
2022-11-18,50
2022-11-19,53
2022-11-20,48
2022-11-21,43
2022-11-22,49
2022-11-23,43
2022-11-24,41
2022-11-25,56
2022-11-26,48
2022-11-27,51
2022-11-28,48
2022-11-29,48
2022-11-30,45
2022-12-01,50
2022-12-02,47
2022-12-03,47
2022-12-04,49
2022-12-05,44
2022-12-06,48
2022-12-07,52
2022-12-08,48
2022-12-09,45
2022-12-10,49
2022-12-11,45
2022-12-12,43
2022-12-13,53
2022-12-14,40
2022-12-15,49
2022-12-16,49
2022-12-17,55
2022-12-18,46
2022-12-19,49
2022-12-20,48
2022-12-21,52
2022-12-22,45
2022-12-23,45
2022-12-24,39
2022-12-25,41
2022-12-26,66
2022-12-27,60
2022-12-28,65
2022-12-29,58
2022-12-30,62
2022-12-31,47
2023-01-01,58
2023-01-02,55
2023-01-03,53
2023-01-04,61
2023-01-05,51
2023-01-06,54
2023-01-07,51
2023-01-08,59
2023-01-09,52
2023-01-10,53
2023-01-11,52
2023-01-12,55
2023-01-13,53
2023-01-14,50
2023-01-15,45
2023-01-16,59
2023-01-17,56
2023-01-18,54
2023-01-19,52
2023-01-20,54
2023-01-21,56
2023-01-22,54
2023-01-23,51
2023-01-24,51
2023-01-25,52
2023-01-26,50
2023-01-27,49
2023-01-28,55
2023-01-29,49
2023-01-30,45
2023-01-31,60
2023-02-01,55
2023-02-02,50
2023-02-03,56
2023-02-04,48
2023-02-05,62
2023-02-06,51
2023-02-07,51
2023-02-08,50
2023-02-09,52
2023-02-10,51
2023-02-11,59
2023-02-12,47
2023-02-13,43
2023-02-14,55
2023-02-15,50
2023-02-16,59
2023-02-17,56
2023-02-18,53
2023-02-19,57
2023-02-20,62
2023-02-21,53
2023-02-22,52
2023-02-23,52
2023-02-24,58
2023-02-25,56
2023-02-26,65
2023-02-27,58
2023-02-28,52
2023-03-01,53
2023-03-02,49
2023-03-03,50
2023-03-04,61
2023-03-05,50
2023-03-06,50
2023-03-07,60
2023-03-08,55
2023-03-09,56
2023-03-10,57
2023-03-11,56
2023-03-12,56
2023-03-13,52
2023-03-14,59
2023-03-15,56
2023-03-16,59
2023-03-17,55
2023-03-18,57
2023-03-19,63
2023-03-20,50
2023-03-21,57
2023-03-22,55
2023-03-23,60
2023-03-24,70
2023-03-25,88
2023-03-26,86
2023-03-27,68
2023-03-28,61
2023-03-29,54
2023-03-30,55
2023-03-31,56
2023-04-01,68
2023-04-02,59
2023-04-03,51
2023-04-04,49
2023-04-05,58
2023-04-06,56
2023-04-07,55
2023-04-08,58
2023-04-09,64
2023-04-10,57
2023-04-11,61
2023-04-12,59
2023-04-13,59
2023-04-14,58
2023-04-15,64
2023-04-16,58
2023-04-17,55
2023-04-18,51
2023-04-19,54
2023-04-20,61
2023-04-21,53
2023-04-22,62
2023-04-23,59
2023-04-24,54
2023-04-25,56
2023-04-26,58
2023-04-27,57
2023-04-28,60
2023-04-29,64
2023-04-30,55
2023-05-01,65
2023-05-02,53
2023-05-03,58
2023-05-04,62
2023-05-05,54
2023-05-06,63
2023-05-07,56
2023-05-08,61
2023-05-09,59
2023-05-10,60
2023-05-11,53
2023-05-12,55
2023-05-13,51
2023-05-14,58
2023-05-15,56
2023-05-16,61
2023-05-17,54
2023-05-18,64
2023-05-19,63
2023-05-20,62
2023-05-21,60
2023-05-22,57
2023-05-23,56
2023-05-24,50
2023-05-25,58
