Time,warriors
2022-01-01,5.0
2022-01-02,10.0
2022-01-03,4.0
2022-01-04,10.0
2022-01-05,5.0
2022-01-06,8.0
2022-01-07,8.0
2022-01-08,5.0
2022-01-09,10.0
2022-01-10,23.0
2022-01-11,5.0
2022-01-12,12.0
2022-01-13,5.0
2022-01-14,10.0
2022-01-15,11.0
2022-01-16,5.0
2022-01-17,7.0
2022-01-18,4.0
2022-01-19,8.0
2022-01-20,4.0
2022-01-21,9.0
2022-01-22,10.0
2022-01-23,4.0
2022-01-24,8.0
2022-01-25,3.0
2022-01-26,8.0
2022-01-27,4.0
2022-01-28,10.0
2022-01-29,5.0
2022-01-30,12.0
2022-01-31,4.0
2022-02-01,8.0
2022-02-02,9.0
2022-02-03,3.0
2022-02-04,9.0
2022-02-05,4.0
2022-02-06,4.0
2022-02-07,4.0
2022-02-08,7.0
2022-02-09,5.0
2022-02-10,8.0
2022-02-11,8.0
2022-02-12,4.0
2022-02-13,11.0
2022-02-14,4.0
2022-02-15,8.0
2022-02-16,3.0
2022-02-17,7.0
2022-02-18,3.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,3.0
2022-02-22,2.0
2022-02-23,2.0
2022-02-24,3.0
2022-02-25,7.0
2022-02-26,4.0
2022-02-27,4.0
2022-02-28,7.0
2022-03-01,3.0
2022-03-02,6.0
2022-03-03,3.0
2022-03-04,7.0
2022-03-05,4.0
2022-03-06,12.0
2022-03-07,3.0
2022-03-08,7.0
2022-03-09,7.0
2022-03-10,3.0
2022-03-11,8.0
2022-03-12,4.0
2022-03-13,10.0
2022-03-14,4.0
2022-03-15,8.0
2022-03-16,4.0
2022-03-17,8.0
2022-03-18,3.0
2022-03-19,3.0
2022-03-20,3.0
2022-03-21,6.0
2022-03-22,4.0
2022-03-23,6.0
2022-03-24,6.0
2022-03-25,4.0
2022-03-26,6.0
2022-03-27,5.0
2022-03-28,5.0
2022-03-29,6.0
2022-03-30,3.0
2022-03-31,7.0
2022-04-01,3.0
2022-04-02,4.0
2022-04-03,9.0
2022-04-04,6.0
2022-04-05,3.0
2022-04-06,4.0
2022-04-07,4.0
2022-04-08,8.0
2022-04-09,4.0
2022-04-10,8.0
2022-04-11,7.0
