Time,ny rangers
2024-08-18,13
2024-08-19,10
2024-08-20,12
2024-08-21,11
2024-08-22,15
2024-08-23,10
2024-08-24,11
2024-08-25,10
2024-08-26,12
2024-08-27,12
2024-08-28,10
2024-08-29,12
2024-08-30,16
2024-08-31,10
2024-09-01,12
2024-09-02,12
2024-09-03,15
2024-09-04,16
2024-09-05,14
2024-09-06,10
2024-09-07,13
2024-09-08,13
2024-09-09,13
2024-09-10,12
2024-09-11,15
2024-09-12,16
2024-09-13,13
2024-09-14,15
2024-09-15,15
2024-09-16,14
2024-09-17,15
2024-09-18,16
2024-09-19,15
2024-09-20,16
2024-09-21,17
2024-09-22,43
2024-09-23,26
2024-09-24,27
2024-09-25,41
2024-09-26,27
2024-09-27,33
2024-09-28,23
2024-09-29,22
2024-09-30,25
2024-10-01,32
2024-10-02,33
2024-10-03,24
2024-10-04,32
2024-10-05,34
2024-10-06,25
2024-10-07,23
2024-10-08,30
2024-10-09,53
2024-10-10,76
2024-10-11,38
2024-10-12,57
2024-10-13,77
2024-10-14,49
2024-10-15,71
2024-10-16,32
2024-10-17,43
2024-10-18,75
2024-10-19,47
2024-10-20,59
2024-10-21,34
2024-10-22,40
2024-10-23,59
2024-10-24,47
2024-10-25,48
2024-10-26,44
2024-10-27,58
2024-10-28,33
2024-10-29,41
2024-10-30,52
2024-10-31,33
2024-11-01,45
2024-11-02,59
2024-11-03,70
2024-11-04,28
2024-11-05,24
2024-11-06,19
2024-11-07,32
2024-11-08,54
2024-11-09,31
2024-11-10,48
2024-11-11,27
2024-11-12,33
2024-11-13,55
2024-11-14,30
2024-11-15,49
2024-11-16,32
2024-11-17,39
2024-11-18,47
2024-11-19,30
2024-11-20,52
2024-11-21,28
2024-11-22,46
2024-11-23,31
2024-11-24,49
2024-11-25,35
2024-11-26,57
2024-11-27,41
2024-11-28,59
2024-11-29,60
2024-11-30,62
2024-12-01,35
2024-12-02,34
2024-12-03,58
2024-12-04,31
2024-12-05,29
2024-12-06,62
2024-12-07,95
2024-12-08,70
2024-12-09,38
2024-12-10,59
2024-12-11,36
2024-12-12,56
2024-12-13,35
2024-12-14,64
2024-12-15,50
2024-12-16,51
2024-12-17,43
2024-12-18,75
2024-12-19,57
2024-12-20,44
2024-12-21,65
2024-12-22,67
2024-12-23,67
2024-12-24,40
2024-12-25,29
2024-12-26,30
2024-12-27,34
2024-12-28,42
2024-12-29,70
2024-12-30,38
2024-12-31,58
2025-01-01,32
2025-01-02,37
2025-01-03,60
2025-01-04,56
2025-01-05,59
2025-01-06,33
2025-01-07,42
2025-01-08,58
2025-01-09,38
2025-01-10,54
2025-01-11,42
2025-01-12,64
2025-01-13,33
2025-01-14,31
2025-01-15,51
2025-01-16,34
2025-01-17,55
2025-01-18,41
2025-01-19,66
2025-01-20,52
2025-01-21,36
2025-01-22,55
2025-01-23,37
2025-01-24,58
2025-01-25,39
2025-01-26,70
2025-01-27,31
2025-01-28,35
2025-01-29,49
2025-01-30,30
2025-01-31,30
2025-02-01,100
2025-02-02,59
2025-02-03,54
2025-02-04,36
2025-02-05,38
2025-02-06,59
2025-02-07,35
2025-02-08,57
2025-02-09,56
2025-02-10,21
2025-02-11,21
2025-02-12,17
2025-02-13,16
2025-02-14,20
2025-02-15,18
2025-02-16,23
2025-02-17,19
2025-02-18,18
2025-02-19,18
2025-02-20,18
2025-02-21,25
2025-02-22,45
2025-02-23,74
2025-02-24,32
2025-02-25,33
2025-02-26,58
2025-02-27,32
2025-02-28,37
2025-03-01,66
2025-03-02,58
2025-03-03,68
2025-03-04,63
2025-03-05,46
2025-03-06,76
2025-03-07,70
2025-03-08,74
2025-03-09,56
2025-03-10,40
2025-03-11,32
2025-03-12,46
2025-03-13,31
2025-03-14,48
2025-03-15,40
2025-03-16,69
2025-03-17,42
2025-03-18,39
2025-03-19,51
2025-03-20,37
2025-03-21,43
2025-03-22,60
2025-03-23,41
2025-03-24,29
2025-03-25,25
2025-03-26,44
2025-03-27,26
2025-03-28,31
2025-03-29,63
2025-03-30,62
2025-03-31,32
2025-04-01,32
2025-04-02,42
2025-04-03,57
2025-04-04,30
2025-04-05,72
2025-04-06,43
2025-04-07,38
2025-04-08,48
2025-04-09,38
2025-04-10,59
2025-04-11,45
2025-04-12,63
2025-04-13,39
2025-04-14,30
2025-04-15,37
2025-04-16,26
2025-04-17,31
2025-04-18,47
2025-04-19,37
2025-04-20,26
2025-04-21,23
2025-04-22,20
2025-04-23,20
2025-04-24,17
2025-04-25,15
2025-04-26,13
2025-04-27,14
2025-04-28,20
2025-04-29,19
2025-04-30,17
2025-05-01,20
2025-05-02,28
2025-05-03,17
2025-05-04,17
2025-05-05,17
2025-05-06,15
2025-05-07,14
2025-05-08,12
2025-05-09,13
2025-05-10,13
2025-05-11,14
2025-05-12,11
2025-05-13,12
2025-05-14,11
