Time,ny rangers
2023-12-22,12
2023-12-23,31
2023-12-24,21
2023-12-25,9
2023-12-26,9
2023-12-27,11
2023-12-28,19
2023-12-29,11
2023-12-30,21
2023-12-31,20
2024-01-01,9
2024-01-02,9
2024-01-03,16
2024-01-04,10
2024-01-05,16
2024-01-06,11
2024-01-07,19
2024-01-08,9
2024-01-09,15
2024-01-10,9
2024-01-11,9
2024-01-12,16
2024-01-13,17
2024-01-14,17
2024-01-15,8
2024-01-16,9
2024-01-17,15
2024-01-18,8
2024-01-19,13
2024-01-20,9
2024-01-21,17
2024-01-22,14
2024-01-23,9
2024-01-24,14
2024-01-25,9
2024-01-26,12
2024-01-27,21
2024-01-28,16
2024-01-29,8
2024-01-30,7
2024-01-31,7
2024-02-01,6
2024-02-02,7
2024-02-03,8
2024-02-04,8
2024-02-05,9
2024-02-06,15
2024-02-07,11
2024-02-08,18
2024-02-09,10
2024-02-10,20
2024-02-11,7
2024-02-12,10
2024-02-13,16
2024-02-14,10
2024-02-15,11
2024-02-16,20
2024-02-17,12
2024-02-18,41
2024-02-19,20
2024-02-20,11
2024-02-21,19
2024-02-22,12
2024-02-23,22
2024-02-24,26
2024-02-25,25
2024-02-26,17
2024-02-27,11
2024-02-28,12
2024-02-29,21
2024-03-01,11
2024-03-02,16
2024-03-03,26
2024-03-04,14
2024-03-05,20
2024-03-06,18
2024-03-07,19
2024-03-08,28
2024-03-09,18
2024-03-10,31
2024-03-11,13
2024-03-12,22
2024-03-13,18
2024-03-14,12
2024-03-15,15
2024-03-16,19
2024-03-17,26
2024-03-18,13
2024-03-19,13
2024-03-20,16
2024-03-21,11
2024-03-22,19
2024-03-23,14
2024-03-24,26
2024-03-25,11
2024-03-26,13
2024-03-27,21
2024-03-28,13
2024-03-29,25
2024-03-30,21
2024-03-31,22
2024-04-01,15
2024-04-02,19
2024-04-03,16
2024-04-04,28
2024-04-05,16
2024-04-06,24
2024-04-07,21
2024-04-08,19
2024-04-09,15
2024-04-10,21
2024-04-11,15
2024-04-12,21
2024-04-13,33
2024-04-14,16
2024-04-15,18
2024-04-16,27
2024-04-17,18
2024-04-18,14
2024-04-19,13
2024-04-20,15
2024-04-21,59
2024-04-22,17
2024-04-23,24
2024-04-24,36
2024-04-25,16
2024-04-26,25
2024-04-27,41
2024-04-28,33
2024-04-29,49
2024-04-30,12
2024-05-01,23
2024-05-02,19
2024-05-03,24
2024-05-04,19
2024-05-05,62
2024-05-06,21
2024-05-07,31
2024-05-08,73
2024-05-09,39
2024-05-10,66
2024-05-11,44
2024-05-12,58
2024-05-13,35
2024-05-14,53
2024-05-15,30
2024-05-16,40
2024-05-17,72
2024-05-18,26
2024-05-19,24
2024-05-20,19
2024-05-21,17
2024-05-22,30
2024-05-23,60
2024-05-24,29
2024-05-25,88
2024-05-26,100
2024-05-27,42
2024-05-28,36
2024-05-29,72
2024-05-30,33
2024-05-31,81
2024-06-01,38
2024-06-02,96
2024-06-03,12
2024-06-04,8
2024-06-05,7
2024-06-06,5
2024-06-07,5
2024-06-08,5
2024-06-09,6
2024-06-10,4
2024-06-11,4
2024-06-12,4
2024-06-13,4
2024-06-14,5
2024-06-15,4
2024-06-16,4
2024-06-17,5
2024-06-18,5
2024-06-19,7
2024-06-20,7
2024-06-21,5
2024-06-22,5
2024-06-23,4
2024-06-24,4
2024-06-25,7
2024-06-26,5
2024-06-27,6
2024-06-28,8
2024-06-29,15
2024-06-30,13
2024-07-01,17
2024-07-02,13
2024-07-03,9
2024-07-04,7
2024-07-05,6
2024-07-06,6
2024-07-07,5
2024-07-08,6
2024-07-09,6
2024-07-10,6
2024-07-11,5
2024-07-12,5
2024-07-13,5
2024-07-14,4
2024-07-15,5
2024-07-16,5
2024-07-17,4
2024-07-18,4
2024-07-19,4
2024-07-20,4
2024-07-21,4
2024-07-22,3
2024-07-23,4
2024-07-24,3
2024-07-25,4
2024-07-26,3
2024-07-27,3
2024-07-28,4
2024-07-29,4
2024-07-30,5
2024-07-31,3
2024-08-01,3
2024-08-02,3
2024-08-03,3
2024-08-04,3
2024-08-05,3
2024-08-06,3
2024-08-07,2
2024-08-08,3
2024-08-09,3
2024-08-10,4
2024-08-11,3
2024-08-12,3
2024-08-13,3
2024-08-14,3
2024-08-15,3
2024-08-16,3
2024-08-17,3
2024-08-18,3
2024-08-19,2
2024-08-20,3
2024-08-21,3
2024-08-22,4
2024-08-23,2
2024-08-24,3
2024-08-25,2
2024-08-26,3
2024-08-27,3
2024-08-28,3
2024-08-29,3
2024-08-30,4
2024-08-31,3
2024-09-01,3
2024-09-02,3
2024-09-03,4
2024-09-04,4
2024-09-05,4
2024-09-06,3
2024-09-07,3
2024-09-08,3
2024-09-09,3
2024-09-10,3
2024-09-11,4
2024-09-12,4
2024-09-13,3
2024-09-14,4
2024-09-15,4
2024-09-16,3
