Time,who won the election
2023-12-22,3
2023-12-23,6
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,3
2023-12-31,0
2024-01-01,0
2024-01-02,5
2024-01-03,8
2024-01-04,7
2024-01-05,6
2024-01-06,3
2024-01-07,4
2024-01-08,9
2024-01-09,11
2024-01-10,11
2024-01-11,16
2024-01-12,9
2024-01-13,9
2024-01-14,6
2024-01-15,6
2024-01-16,19
2024-01-17,15
2024-01-18,12
2024-01-19,12
2024-01-20,0
2024-01-21,6
2024-01-22,16
2024-01-23,17
2024-01-24,31
2024-01-25,16
2024-01-26,16
2024-01-27,10
2024-01-28,3
2024-01-29,15
2024-01-30,16
2024-01-31,17
2024-02-01,12
2024-02-02,14
2024-02-03,4
2024-02-04,7
2024-02-05,16
2024-02-06,15
2024-02-07,22
2024-02-08,20
2024-02-09,26
2024-02-10,13
2024-02-11,7
2024-02-12,20
2024-02-13,16
2024-02-14,55
2024-02-15,16
2024-02-16,15
2024-02-17,5
2024-02-18,4
2024-02-19,6
2024-02-20,14
2024-02-21,14
2024-02-22,16
2024-02-23,15
2024-02-24,5
2024-02-25,13
2024-02-26,17
2024-02-27,35
2024-02-28,31
2024-02-29,20
2024-03-01,23
2024-03-02,6
2024-03-03,7
2024-03-04,19
2024-03-05,19
2024-03-06,100
2024-03-07,47
2024-03-08,27
2024-03-09,14
2024-03-10,12
2024-03-11,16
2024-03-12,14
2024-03-13,21
2024-03-14,16
2024-03-15,14
2024-03-16,5
2024-03-17,9
2024-03-18,12
2024-03-19,19
2024-03-20,33
2024-03-21,21
2024-03-22,16
2024-03-23,5
2024-03-24,17
2024-03-25,16
2024-03-26,15
2024-03-27,14
2024-03-28,14
2024-03-29,6
2024-03-30,4
2024-03-31,3
2024-04-01,10
2024-04-02,15
2024-04-03,29
2024-04-04,16
2024-04-05,14
2024-04-06,5
2024-04-07,4
2024-04-08,9
2024-04-09,20
2024-04-10,15
2024-04-11,14
2024-04-12,15
2024-04-13,4
2024-04-14,6
2024-04-15,16
2024-04-16,18
2024-04-17,18
2024-04-18,19
2024-04-19,17
2024-04-20,4
2024-04-21,5
2024-04-22,14
2024-04-23,16
2024-04-24,22
2024-04-25,18
2024-04-26,15
2024-04-27,7
2024-04-28,7
2024-04-29,20
2024-04-30,15
2024-05-01,16
2024-05-02,17
2024-05-03,16
2024-05-04,5
2024-05-05,11
2024-05-06,16
2024-05-07,15
2024-05-08,21
2024-05-09,16
2024-05-10,13
2024-05-11,4
2024-05-12,6
2024-05-13,14
2024-05-14,13
2024-05-15,32
2024-05-16,19
2024-05-17,12
2024-05-18,4
2024-05-19,6
2024-05-20,16
2024-05-21,8
2024-05-22,30
2024-05-23,16
2024-05-24,11
2024-05-25,5
2024-05-26,5
2024-05-27,5
2024-05-28,10
2024-05-29,16
2024-05-30,11
2024-05-31,14
2024-06-01,8
2024-06-02,10
2024-06-03,44
2024-06-04,47
2024-06-05,29
2024-06-06,10
2024-06-07,15
2024-06-08,11
2024-06-09,6
2024-06-10,8
2024-06-11,8
2024-06-12,12
2024-06-13,8
2024-06-14,5
2024-06-15,6
2024-06-16,0
2024-06-17,5
2024-06-18,6
2024-06-19,17
2024-06-20,7
2024-06-21,8
2024-06-22,5
2024-06-23,0
2024-06-24,5
2024-06-25,4
2024-06-26,17
2024-06-27,7
2024-06-28,44
2024-06-29,13
2024-06-30,9
2024-07-01,7
2024-07-02,9
2024-07-03,9
2024-07-04,9
2024-07-05,22
2024-07-06,9
2024-07-07,12
2024-07-08,18
2024-07-09,9
2024-07-10,10
2024-07-11,9
2024-07-12,9
2024-07-13,8
2024-07-14,27
2024-07-15,10
2024-07-16,11
2024-07-17,8
2024-07-18,12
2024-07-19,8
2024-07-20,7
2024-07-21,20
2024-07-22,15
2024-07-23,9
2024-07-24,9
2024-07-25,7
2024-07-26,6
2024-07-27,5
2024-07-28,11
2024-07-29,43
2024-07-30,12
2024-07-31,10
2024-08-01,7
2024-08-02,13
2024-08-03,5
2024-08-04,6
2024-08-05,0
2024-08-06,5
2024-08-07,23
2024-08-08,11
2024-08-09,9
2024-08-10,5
2024-08-11,7
2024-08-12,6
2024-08-13,7
2024-08-14,8
2024-08-15,6
2024-08-16,9
2024-08-17,4
2024-08-18,7
2024-08-19,6
2024-08-20,9
2024-08-21,20
2024-08-22,11
2024-08-23,17
2024-08-24,7
2024-08-25,7
2024-08-26,7
2024-08-27,8
2024-08-28,11
2024-08-29,7
2024-08-30,8
2024-08-31,0
2024-09-01,4
2024-09-02,4
2024-09-03,10
2024-09-04,14
2024-09-05,9
2024-09-06,9
2024-09-07,3
2024-09-08,5
2024-09-09,8
2024-09-10,13
2024-09-11,91
2024-09-12,29
2024-09-13,22
2024-09-14,11
2024-09-15,10
2024-09-16,16
