Time,texas school shooting
2023-04-26,18
2023-04-27,10
2023-04-28,10
2023-04-29,19
2023-04-30,20
2023-05-01,26
2023-05-02,20
2023-05-03,21
2023-05-04,17
2023-05-05,21
2023-05-06,16
2023-05-07,100
2023-05-08,86
2023-05-09,55
2023-05-10,41
2023-05-11,30
2023-05-12,23
2023-05-13,18
2023-05-14,11
2023-05-15,11
2023-05-16,20
2023-05-17,13
2023-05-18,17
2023-05-19,13
2023-05-20,32
2023-05-21,27
2023-05-22,25
2023-05-23,14
2023-05-24,27
2023-05-25,26
2023-05-26,10
2023-05-27,12
2023-05-28,0
2023-05-29,9
2023-05-30,14
2023-05-31,9
2023-06-01,9
2023-06-02,7
2023-06-03,0
2023-06-04,8
2023-06-05,0
2023-06-06,7
2023-06-07,12
2023-06-08,6
2023-06-09,10
2023-06-10,0
2023-06-11,10
2023-06-12,6
2023-06-13,7
2023-06-14,8
2023-06-15,13
2023-06-16,8
2023-06-17,0
2023-06-18,0
2023-06-19,0
2023-06-20,0
2023-06-21,0
2023-06-22,0
2023-06-23,0
2023-06-24,0
2023-06-25,0
2023-06-26,0
2023-06-27,0
2023-06-28,0
2023-06-29,15
2023-06-30,8
2023-07-01,11
2023-07-02,11
2023-07-03,6
2023-07-04,8
2023-07-05,10
2023-07-06,8
2023-07-07,7
2023-07-08,8
2023-07-09,0
2023-07-10,0
2023-07-11,0
2023-07-12,0
2023-07-13,0
2023-07-14,7
2023-07-15,0
2023-07-16,0
2023-07-17,0
2023-07-18,0
2023-07-19,0
2023-07-20,7
2023-07-21,0
2023-07-22,8
2023-07-23,8
2023-07-24,13
2023-07-25,12
2023-07-26,0
2023-07-27,0
2023-07-28,0
2023-07-29,8
2023-07-30,0
2023-07-31,0
2023-08-01,0
2023-08-02,0
2023-08-03,7
2023-08-04,7
2023-08-05,0
2023-08-06,0
2023-08-07,7
2023-08-08,9
2023-08-09,13
2023-08-10,14
2023-08-11,11
2023-08-12,12
2023-08-13,0
2023-08-14,0
2023-08-15,9
2023-08-16,13
2023-08-17,12
2023-08-18,9
2023-08-19,8
2023-08-20,10
2023-08-21,10
2023-08-22,9
2023-08-23,12
2023-08-24,12
2023-08-25,14
2023-08-26,17
2023-08-27,0
2023-08-28,13
2023-08-29,14
2023-08-30,18
2023-08-31,10
2023-09-01,12
2023-09-02,11
2023-09-03,9
2023-09-04,10
2023-09-05,0
2023-09-06,0
2023-09-07,10
2023-09-08,0
2023-09-09,7
2023-09-10,12
2023-09-11,7
2023-09-12,0
2023-09-13,8
2023-09-14,11
2023-09-15,8
2023-09-16,12
2023-09-17,14
2023-09-18,7
2023-09-19,0
2023-09-20,10
2023-09-21,10
2023-09-22,9
2023-09-23,0
2023-09-24,0
2023-09-25,11
2023-09-26,8
2023-09-27,9
2023-09-28,7
2023-09-29,11
2023-09-30,0
2023-10-01,7
2023-10-02,0
2023-10-03,0
2023-10-04,13
2023-10-05,9
2023-10-06,8
2023-10-07,11
2023-10-08,7
2023-10-09,6
2023-10-10,7
2023-10-11,0
2023-10-12,10
2023-10-13,0
2023-10-14,0
2023-10-15,9
2023-10-16,11
2023-10-17,8
2023-10-18,0
2023-10-19,7
2023-10-20,13
2023-10-21,11
2023-10-22,8
2023-10-23,7
2023-10-24,0
2023-10-25,7
2023-10-26,22
2023-10-27,13
2023-10-28,12
2023-10-29,8
2023-10-30,9
2023-10-31,10
2023-11-01,8
2023-11-02,12
2023-11-03,8
2023-11-04,7
2023-11-05,12
2023-11-06,10
2023-11-07,9
2023-11-08,0
2023-11-09,9
2023-11-10,8
2023-11-11,0
2023-11-12,10
2023-11-13,9
2023-11-14,0
2023-11-15,7
2023-11-16,8
2023-11-17,15
2023-11-18,7
2023-11-19,0
2023-11-20,8
2023-11-21,0
2023-11-22,10
2023-11-23,0
2023-11-24,0
2023-11-25,7
2023-11-26,8
2023-11-27,0
2023-11-28,0
2023-11-29,8
2023-11-30,8
2023-12-01,7
2023-12-02,7
2023-12-03,7
2023-12-04,9
2023-12-05,13
2023-12-06,23
2023-12-07,26
2023-12-08,15
2023-12-09,13
2023-12-10,8
2023-12-11,12
2023-12-12,8
2023-12-13,0
2023-12-14,7
2023-12-15,7
2023-12-16,0
2023-12-17,0
2023-12-18,0
2023-12-19,8
2023-12-20,9
2023-12-21,0
2023-12-22,9
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,13
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,10
2024-01-01,0
2024-01-02,8
2024-01-03,8
2024-01-04,42
2024-01-05,23
2024-01-06,0
2024-01-07,12
2024-01-08,7
2024-01-09,8
2024-01-10,8
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,7
2024-01-15,0
2024-01-16,0
2024-01-17,7
2024-01-18,33
2024-01-19,26
2024-01-20,14
