Time,dairy queen
2023-12-22,14
2023-12-23,17
2023-12-24,19
2023-12-25,15
2023-12-26,13
2023-12-27,15
2023-12-28,15
2023-12-29,16
2023-12-30,17
2023-12-31,22
2024-01-01,26
2024-01-02,18
2024-01-03,14
2024-01-04,14
2024-01-05,15
2024-01-06,20
2024-01-07,20
2024-01-08,14
2024-01-09,11
2024-01-10,11
2024-01-11,12
2024-01-12,13
2024-01-13,17
2024-01-14,17
2024-01-15,15
2024-01-16,10
2024-01-17,11
2024-01-18,12
2024-01-19,12
2024-01-20,18
2024-01-21,19
2024-01-22,13
2024-01-23,11
2024-01-24,12
2024-01-25,13
2024-01-26,14
2024-01-27,21
2024-01-28,22
2024-01-29,15
2024-01-30,14
2024-01-31,13
2024-02-01,14
2024-02-02,16
2024-02-03,22
2024-02-04,28
2024-02-05,15
2024-02-06,14
2024-02-07,14
2024-02-08,15
2024-02-09,17
2024-02-10,24
2024-02-11,22
2024-02-12,13
2024-02-13,14
2024-02-14,14
2024-02-15,14
2024-02-16,14
2024-02-17,19
2024-02-18,23
2024-02-19,19
2024-02-20,14
2024-02-21,14
2024-02-22,14
2024-02-23,15
2024-02-24,23
2024-02-25,27
2024-02-26,19
2024-02-27,17
2024-02-28,17
2024-02-29,18
2024-03-01,23
2024-03-02,28
2024-03-03,34
2024-03-04,23
2024-03-05,20
2024-03-06,18
2024-03-07,20
2024-03-08,20
2024-03-09,28
2024-03-10,31
2024-03-11,21
2024-03-12,21
2024-03-13,22
2024-03-14,21
2024-03-15,22
2024-03-16,34
2024-03-17,37
2024-03-18,26
2024-03-19,100
2024-03-20,53
2024-03-21,22
2024-03-22,23
2024-03-23,29
2024-03-24,34
2024-03-25,24
2024-03-26,23
2024-03-27,22
2024-03-28,22
2024-03-29,26
2024-03-30,29
2024-03-31,34
2024-04-01,25
2024-04-02,24
2024-04-03,23
2024-04-04,22
2024-04-05,23
2024-04-06,33
2024-04-07,38
2024-04-08,25
2024-04-09,23
2024-04-10,22
2024-04-11,21
2024-04-12,23
2024-04-13,32
2024-04-14,46
2024-04-15,27
2024-04-16,22
2024-04-17,21
2024-04-18,20
2024-04-19,22
2024-04-20,31
2024-04-21,38
2024-04-22,23
2024-04-23,20
2024-04-24,19
2024-04-25,19
2024-04-26,21
2024-04-27,30
2024-04-28,36
2024-04-29,24
2024-04-30,21
2024-05-01,23
2024-05-02,21
2024-05-03,25
2024-05-04,32
2024-05-05,35
2024-05-06,24
2024-05-07,21
2024-05-08,22
2024-05-09,21
2024-05-10,23
2024-05-11,30
2024-05-12,41
2024-05-13,26
2024-05-14,19
2024-05-15,20
2024-05-16,22
2024-05-17,23
2024-05-18,31
2024-05-19,36
2024-05-20,25
2024-05-21,22
2024-05-22,22
2024-05-23,24
2024-05-24,25
2024-05-25,33
2024-05-26,38
2024-05-27,39
2024-05-28,23
2024-05-29,21
2024-05-30,22
2024-05-31,25
2024-06-01,32
2024-06-02,36
2024-06-03,25
2024-06-04,23
2024-06-05,23
2024-06-06,24
2024-06-07,25
2024-06-08,31
2024-06-09,32
2024-06-10,25
2024-06-11,23
2024-06-12,23
2024-06-13,24
2024-06-14,25
2024-06-15,31
2024-06-16,37
2024-06-17,26
2024-06-18,23
2024-06-19,25
2024-06-20,23
2024-06-21,26
2024-06-22,33
2024-06-23,32
2024-06-24,27
2024-06-25,23
2024-06-26,24
2024-06-27,22
2024-06-28,23
2024-06-29,29
2024-06-30,31
2024-07-01,25
2024-07-02,24
2024-07-03,24
2024-07-04,39
2024-07-05,30
2024-07-06,32
2024-07-07,36
2024-07-08,25
2024-07-09,23
2024-07-10,22
2024-07-11,23
2024-07-12,23
2024-07-13,29
2024-07-14,31
2024-07-15,27
2024-07-16,23
2024-07-17,22
2024-07-18,22
2024-07-19,23
2024-07-20,27
2024-07-21,39
2024-07-22,27
2024-07-23,21
2024-07-24,22
2024-07-25,23
2024-07-26,24
2024-07-27,27
2024-07-28,32
2024-07-29,23
2024-07-30,21
2024-07-31,20
2024-08-01,22
2024-08-02,23
2024-08-03,28
2024-08-04,32
2024-08-05,26
2024-08-06,19
2024-08-07,19
2024-08-08,19
2024-08-09,21
2024-08-10,25
2024-08-11,30
2024-08-12,22
2024-08-13,19
2024-08-14,20
2024-08-15,19
2024-08-16,21
2024-08-17,28
2024-08-18,34
2024-08-19,19
2024-08-20,18
2024-08-21,19
2024-08-22,18
2024-08-23,20
2024-08-24,28
2024-08-25,35
2024-08-26,20
2024-08-27,19
2024-08-28,20
2024-08-29,20
2024-08-30,21
2024-08-31,28
2024-09-01,35
2024-09-02,37
2024-09-03,19
2024-09-04,16
2024-09-05,16
2024-09-06,17
2024-09-07,25
2024-09-08,27
2024-09-09,19
2024-09-10,17
2024-09-11,17
2024-09-12,18
2024-09-13,20
2024-09-14,26
2024-09-15,27
2024-09-16,17
