Time,dairy queen
2023-04-26,38
2023-04-27,40
2023-04-28,41
2023-04-29,57
2023-04-30,63
2023-05-01,45
2023-05-02,40
2023-05-03,39
2023-05-04,41
2023-05-05,44
2023-05-06,63
2023-05-07,74
2023-05-08,48
2023-05-09,43
2023-05-10,43
2023-05-11,46
2023-05-12,52
2023-05-13,71
2023-05-14,91
2023-05-15,51
2023-05-16,43
2023-05-17,43
2023-05-18,45
2023-05-19,47
2023-05-20,68
2023-05-21,76
2023-05-22,49
2023-05-23,44
2023-05-24,46
2023-05-25,50
2023-05-26,54
2023-05-27,66
2023-05-28,81
2023-05-29,100
2023-05-30,51
2023-05-31,48
2023-06-01,54
2023-06-02,54
2023-06-03,66
2023-06-04,82
2023-06-05,51
2023-06-06,46
2023-06-07,45
2023-06-08,47
2023-06-09,47
2023-06-10,63
2023-06-11,73
2023-06-12,49
2023-06-13,44
2023-06-14,51
2023-06-15,48
2023-06-16,49
2023-06-17,61
2023-06-18,82
2023-06-19,61
2023-06-20,48
2023-06-21,45
2023-06-22,44
2023-06-23,53
2023-06-24,67
2023-06-25,73
2023-06-26,53
2023-06-27,49
2023-06-28,52
2023-06-29,52
2023-06-30,50
2023-07-01,64
2023-07-02,67
2023-07-03,67
2023-07-04,98
2023-07-05,61
2023-07-06,48
2023-07-07,51
2023-07-08,68
2023-07-09,73
2023-07-10,54
2023-07-11,49
2023-07-12,47
2023-07-13,48
2023-07-14,57
2023-07-15,61
2023-07-16,79
2023-07-17,54
2023-07-18,48
2023-07-19,46
2023-07-20,49
2023-07-21,49
2023-07-22,63
2023-07-23,75
2023-07-24,49
2023-07-25,44
2023-07-26,44
2023-07-27,53
2023-07-28,50
2023-07-29,58
2023-07-30,67
2023-07-31,47
2023-08-01,44
2023-08-02,44
2023-08-03,44
2023-08-04,47
2023-08-05,60
2023-08-06,62
2023-08-07,47
2023-08-08,44
2023-08-09,40
2023-08-10,41
2023-08-11,45
2023-08-12,56
2023-08-13,67
2023-08-14,44
2023-08-15,38
2023-08-16,40
2023-08-17,41
2023-08-18,44
2023-08-19,59
2023-08-20,62
2023-08-21,41
2023-08-22,39
2023-08-23,41
2023-08-24,37
2023-08-25,41
2023-08-26,51
2023-08-27,59
2023-08-28,39
2023-08-29,58
2023-08-30,60
2023-08-31,56
2023-09-01,54
2023-09-02,65
2023-09-03,74
2023-09-04,86
2023-09-05,47
2023-09-06,41
2023-09-07,40
2023-09-08,38
2023-09-09,58
2023-09-10,62
2023-09-11,54
2023-09-12,56
2023-09-13,55
2023-09-14,45
2023-09-15,47
2023-09-16,57
2023-09-17,70
2023-09-18,49
2023-09-19,48
2023-09-20,41
2023-09-21,41
2023-09-22,43
2023-09-23,58
2023-09-24,62
2023-09-25,37
2023-09-26,32
2023-09-27,32
2023-09-28,34
2023-09-29,37
2023-09-30,51
2023-10-01,58
2023-10-02,35
2023-10-03,30
2023-10-04,32
2023-10-05,31
2023-10-06,33
2023-10-07,46
2023-10-08,57
2023-10-09,35
2023-10-10,28
2023-10-11,29
2023-10-12,29
2023-10-13,31
2023-10-14,43
2023-10-15,48
2023-10-16,30
2023-10-17,27
2023-10-18,27
2023-10-19,28
2023-10-20,31
2023-10-21,41
2023-10-22,45
2023-10-23,31
2023-10-24,27
2023-10-25,26
2023-10-26,27
2023-10-27,28
2023-10-28,38
2023-10-29,38
2023-10-30,24
2023-10-31,20
2023-11-01,22
2023-11-02,22
2023-11-03,28
2023-11-04,40
2023-11-05,42
2023-11-06,27
2023-11-07,25
2023-11-08,25
2023-11-09,26
2023-11-10,31
2023-11-11,43
2023-11-12,43
2023-11-13,28
2023-11-14,24
2023-11-15,26
2023-11-16,24
2023-11-17,27
2023-11-18,39
2023-11-19,40
2023-11-20,29
2023-11-21,28
2023-11-22,31
2023-11-23,32
2023-11-24,25
2023-11-25,28
2023-11-26,35
2023-11-27,22
2023-11-28,22
2023-11-29,22
2023-11-30,24
2023-12-01,26
2023-12-02,36
2023-12-03,40
2023-12-04,27
2023-12-05,24
2023-12-06,24
2023-12-07,24
2023-12-08,25
2023-12-09,36
2023-12-10,38
2023-12-11,26
2023-12-12,24
2023-12-13,24
2023-12-14,24
2023-12-15,25
2023-12-16,34
2023-12-17,38
2023-12-18,26
2023-12-19,23
2023-12-20,26
2023-12-21,27
2023-12-22,29
2023-12-23,34
2023-12-24,40
2023-12-25,32
2023-12-26,27
2023-12-27,30
2023-12-28,30
2023-12-29,34
2023-12-30,36
2023-12-31,45
2024-01-01,52
2024-01-02,36
2024-01-03,29
2024-01-04,29
2024-01-05,30
2024-01-06,41
2024-01-07,42
2024-01-08,28
2024-01-09,22
2024-01-10,23
2024-01-11,25
2024-01-12,26
2024-01-13,34
2024-01-14,35
2024-01-15,31
2024-01-16,21
2024-01-17,24
2024-01-18,25
2024-01-19,25
2024-01-20,36
