Time,canva
2025-12-11,91
2025-12-12,80
2025-12-13,36
2025-12-14,35
2025-12-15,80
2025-12-16,81
2025-12-17,85
2025-12-18,74
2025-12-19,57
2025-12-20,28
2025-12-21,26
2025-12-22,41
2025-12-23,40
2025-12-24,31
2025-12-25,22
2025-12-26,23
2025-12-27,23
2025-12-28,24
2025-12-29,35
2025-12-30,38
2025-12-31,36
2026-01-01,27
2026-01-02,37
2026-01-03,33
2026-01-04,35
2026-01-05,58
2026-01-06,73
2026-01-07,78
2026-01-08,78
2026-01-09,74
2026-01-10,34
2026-01-11,36
2026-01-12,77
2026-01-13,80
2026-01-14,81
2026-01-15,78
2026-01-16,70
2026-01-17,36
2026-01-18,33
2026-01-19,42
2026-01-20,75
2026-01-21,86
2026-01-22,75
2026-01-23,69
2026-01-24,37
2026-01-25,39
2026-01-26,61
2026-01-27,72
2026-01-28,77
2026-01-29,83
2026-01-30,73
2026-01-31,37
2026-02-01,40
2026-02-02,78
2026-02-03,82
2026-02-04,81
2026-02-05,81
2026-02-06,76
2026-02-07,36
2026-02-08,35
2026-02-09,70
2026-02-10,83
2026-02-11,92
2026-02-12,82
2026-02-13,68
2026-02-14,34
2026-02-15,32
2026-02-16,50
2026-02-17,71
2026-02-18,76
2026-02-19,75
2026-02-20,68
2026-02-21,36
2026-02-22,36
2026-02-23,78
2026-02-24,79
2026-02-25,84
2026-02-26,86
2026-02-27,77
2026-02-28,36
2026-03-01,37
2026-03-02,84
2026-03-03,86
2026-03-04,91
2026-03-05,90
2026-03-06,83
2026-03-07,39
2026-03-08,39
2026-03-09,83
2026-03-10,83
2026-03-11,77
2026-03-12,85
2026-03-13,70
2026-03-14,37
2026-03-15,38
2026-03-16,69
2026-03-17,78
2026-03-18,78
2026-03-19,75
2026-03-20,64
2026-03-21,38
2026-03-22,42
2026-03-23,76
2026-03-24,84
2026-03-25,84
2026-03-26,80
2026-03-27,71
2026-03-28,34
2026-03-29,38
2026-03-30,74
2026-03-31,77
2026-04-01,81
2026-04-02,71
2026-04-03,49
2026-04-04,33
2026-04-05,31
2026-04-06,66
2026-04-07,75
2026-04-08,79
2026-04-09,78
2026-04-10,69
2026-04-11,36
2026-04-12,40
2026-04-13,85
2026-04-14,86
2026-04-15,86
2026-04-16,90
2026-04-17,77
2026-04-18,39
2026-04-19,43
2026-04-20,85
2026-04-21,90
2026-04-22,93
2026-04-23,92
2026-04-24,77
2026-04-25,37
2026-04-26,44
2026-04-27,92
2026-04-28,98
2026-04-29,96
2026-04-30,91
2026-05-01,84
2026-05-02,37
2026-05-03,41
2026-05-04,92
2026-05-05,98
2026-05-06,100
2026-05-07,94
2026-05-08,95
2026-05-09,40
2026-05-10,37
2026-05-11,92
2026-05-12,98
2026-05-13,96
2026-05-14,96
2026-05-15,84
2026-05-16,38
2026-05-17,39
2026-05-18,86
2026-05-19,88
2026-05-20,82
2026-05-21,83
2026-05-22,68
2026-05-23,34
2026-05-24,31
2026-05-25,38
2026-05-26,75
2026-05-27,71
2026-05-28,74
2026-05-29,63
2026-05-30,36
2026-05-31,36
