Time,canva
2023-04-26,70
2023-04-27,70
2023-04-28,57
2023-04-29,29
2023-04-30,32
2023-05-01,72
2023-05-02,73
2023-05-03,74
2023-05-04,73
2023-05-05,60
2023-05-06,29
2023-05-07,29
2023-05-08,69
2023-05-09,74
2023-05-10,74
2023-05-11,72
2023-05-12,67
2023-05-13,31
2023-05-14,29
2023-05-15,71
2023-05-16,76
2023-05-17,73
2023-05-18,69
2023-05-19,64
2023-05-20,26
2023-05-21,28
2023-05-22,64
2023-05-23,71
2023-05-24,64
2023-05-25,61
2023-05-26,48
2023-05-27,25
2023-05-28,23
2023-05-29,29
2023-05-30,54
2023-05-31,58
2023-06-01,53
2023-06-02,49
2023-06-03,27
2023-06-04,27
2023-06-05,53
2023-06-06,56
2023-06-07,54
2023-06-08,51
2023-06-09,44
2023-06-10,25
2023-06-11,26
2023-06-12,49
2023-06-13,47
2023-06-14,49
2023-06-15,47
2023-06-16,37
2023-06-17,26
2023-06-18,25
2023-06-19,35
2023-06-20,42
2023-06-21,43
2023-06-22,41
2023-06-23,34
2023-06-24,24
2023-06-25,25
2023-06-26,39
2023-06-27,47
2023-06-28,42
2023-06-29,43
2023-06-30,34
2023-07-01,24
2023-07-02,23
2023-07-03,31
2023-07-04,25
2023-07-05,33
2023-07-06,40
2023-07-07,36
2023-07-08,28
2023-07-09,27
2023-07-10,41
2023-07-11,45
2023-07-12,45
2023-07-13,41
2023-07-14,38
2023-07-15,25
2023-07-16,27
2023-07-17,42
2023-07-18,48
2023-07-19,48
2023-07-20,41
2023-07-21,37
2023-07-22,25
2023-07-23,27
2023-07-24,42
2023-07-25,52
2023-07-26,51
2023-07-27,49
2023-07-28,42
2023-07-29,28
2023-07-30,27
2023-07-31,50
2023-08-01,54
2023-08-02,55
2023-08-03,53
2023-08-04,51
2023-08-05,29
2023-08-06,31
2023-08-07,58
2023-08-08,62
2023-08-09,64
2023-08-10,65
2023-08-11,62
2023-08-12,29
2023-08-13,34
2023-08-14,61
2023-08-15,69
2023-08-16,74
2023-08-17,74
2023-08-18,65
2023-08-19,31
2023-08-20,35
2023-08-21,72
2023-08-22,77
2023-08-23,83
2023-08-24,81
2023-08-25,69
2023-08-26,33
2023-08-27,35
2023-08-28,76
2023-08-29,85
2023-08-30,81
2023-08-31,82
2023-09-01,79
2023-09-02,30
2023-09-03,30
2023-09-04,37
2023-09-05,79
2023-09-06,82
2023-09-07,88
2023-09-08,78
2023-09-09,30
2023-09-10,34
2023-09-11,79
2023-09-12,98
2023-09-13,87
2023-09-14,89
2023-09-15,73
2023-09-16,31
2023-09-17,35
2023-09-18,82
2023-09-19,87
2023-09-20,83
2023-09-21,88
2023-09-22,75
2023-09-23,31
2023-09-24,34
2023-09-25,79
2023-09-26,87
2023-09-27,86
2023-09-28,89
2023-09-29,79
2023-09-30,32
2023-10-01,34
2023-10-02,80
2023-10-03,88
2023-10-04,85
2023-10-05,85
2023-10-06,73
2023-10-07,34
2023-10-08,33
2023-10-09,70
2023-10-10,82
2023-10-11,82
2023-10-12,75
2023-10-13,70
2023-10-14,31
2023-10-15,36
2023-10-16,80
2023-10-17,83
2023-10-18,86
2023-10-19,87
2023-10-20,76
2023-10-21,31
2023-10-22,34
2023-10-23,84
2023-10-24,87
2023-10-25,88
2023-10-26,83
2023-10-27,73
2023-10-28,31
2023-10-29,31
2023-10-30,82
2023-10-31,82
2023-11-01,85
2023-11-02,88
2023-11-03,74
2023-11-04,33
2023-11-05,35
2023-11-06,82
2023-11-07,87
2023-11-08,88
2023-11-09,88
2023-11-10,67
2023-11-11,36
2023-11-12,36
2023-11-13,84
2023-11-14,92
2023-11-15,93
2023-11-16,93
2023-11-17,78
2023-11-18,33
2023-11-19,33
2023-11-20,68
2023-11-21,66
2023-11-22,47
2023-11-23,29
2023-11-24,27
2023-11-25,29
2023-11-26,35
2023-11-27,87
2023-11-28,95
2023-11-29,98
2023-11-30,97
2023-12-01,91
2023-12-02,37
2023-12-03,40
2023-12-04,94
2023-12-05,99
2023-12-06,99
2023-12-07,100
2023-12-08,81
2023-12-09,34
2023-12-10,37
2023-12-11,85
2023-12-12,87
2023-12-13,84
2023-12-14,92
2023-12-15,79
2023-12-16,34
2023-12-17,35
2023-12-18,67
2023-12-19,72
2023-12-20,68
2023-12-21,56
2023-12-22,40
2023-12-23,30
2023-12-24,30
2023-12-25,29
2023-12-26,29
2023-12-27,34
2023-12-28,38
2023-12-29,38
2023-12-30,30
2023-12-31,35
2024-01-01,31
2024-01-02,58
2024-01-03,70
2024-01-04,75
2024-01-05,67
2024-01-06,36
2024-01-07,38
2024-01-08,77
2024-01-09,81
2024-01-10,91
2024-01-11,90
2024-01-12,79
2024-01-13,35
2024-01-14,34
2024-01-15,50
2024-01-16,73
2024-01-17,90
2024-01-18,92
2024-01-19,80
2024-01-20,38
