Time,black panther
2025-12-11,38
2025-12-12,34
2025-12-13,38
2025-12-14,42
2025-12-15,37
2025-12-16,33
2025-12-17,35
2025-12-18,34
2025-12-19,32
2025-12-20,35
2025-12-21,33
2025-12-22,31
2025-12-23,32
2025-12-24,32
2025-12-25,36
2025-12-26,38
2025-12-27,39
2025-12-28,37
2025-12-29,35
2025-12-30,41
2025-12-31,36
2026-01-01,36
2026-01-02,34
2026-01-03,38
2026-01-04,41
2026-01-05,38
2026-01-06,38
2026-01-07,46
2026-01-08,39
2026-01-09,45
2026-01-10,48
2026-01-11,50
2026-01-12,48
2026-01-13,96
2026-01-14,67
2026-01-15,63
2026-01-16,86
2026-01-17,100
2026-01-18,84
2026-01-19,75
2026-01-20,71
2026-01-21,62
2026-01-22,57
2026-01-23,52
2026-01-24,60
2026-01-25,64
2026-01-26,66
2026-01-27,57
2026-01-28,52
2026-01-29,46
2026-01-30,48
2026-01-31,52
2026-02-01,56
2026-02-02,50
2026-02-03,47
2026-02-04,48
2026-02-05,49
2026-02-06,48
2026-02-07,49
2026-02-08,55
2026-02-09,45
2026-02-10,45
2026-02-11,52
2026-02-12,42
2026-02-13,47
2026-02-14,45
2026-02-15,46
2026-02-16,44
2026-02-17,56
2026-02-18,46
2026-02-19,46
2026-02-20,45
2026-02-21,47
2026-02-22,47
2026-02-23,43
2026-02-24,43
2026-02-25,43
2026-02-26,47
2026-02-27,48
2026-02-28,38
2026-03-01,46
2026-03-02,42
2026-03-03,40
2026-03-04,40
2026-03-05,37
2026-03-06,38
2026-03-07,37
2026-03-08,38
2026-03-09,37
2026-03-10,35
2026-03-11,38
2026-03-12,41
2026-03-13,36
2026-03-14,41
2026-03-15,50
2026-03-16,65
2026-03-17,47
2026-03-18,46
2026-03-19,45
2026-03-20,46
2026-03-21,46
2026-03-22,50
2026-03-23,44
2026-03-24,42
2026-03-25,40
2026-03-26,42
2026-03-27,44
2026-03-28,43
2026-03-29,45
2026-03-30,43
2026-03-31,35
2026-04-01,41
2026-04-02,45
2026-04-03,39
2026-04-04,42
2026-04-05,47
2026-04-06,44
2026-04-07,39
2026-04-08,39
2026-04-09,41
2026-04-10,40
2026-04-11,46
2026-04-12,44
2026-04-13,41
2026-04-14,40
2026-04-15,44
2026-04-16,44
2026-04-17,43
2026-04-18,46
2026-04-19,45
2026-04-20,44
2026-04-21,43
2026-04-22,41
2026-04-23,44
2026-04-24,43
2026-04-25,39
2026-04-26,42
2026-04-27,44
2026-04-28,42
2026-04-29,40
2026-04-30,43
2026-05-01,41
2026-05-02,36
2026-05-03,42
2026-05-04,43
2026-05-05,44
2026-05-06,43
2026-05-07,43
2026-05-08,45
2026-05-09,40
2026-05-10,44
2026-05-11,43
2026-05-12,45
2026-05-13,44
2026-05-14,48
2026-05-15,46
2026-05-16,40
2026-05-17,39
2026-05-18,43
2026-05-19,39
2026-05-20,42
2026-05-21,40
2026-05-22,38
2026-05-23,39
2026-05-24,40
2026-05-25,36
2026-05-26,38
2026-05-27,34
2026-05-28,39
2026-05-29,37
2026-05-30,40
2026-05-31,39
