Time,black panther
2023-12-22,74
2023-12-23,79
2023-12-24,73
2023-12-25,76
2023-12-26,68
2023-12-27,59
2023-12-28,62
2023-12-29,64
2023-12-30,64
2023-12-31,95
2024-01-01,75
2024-01-02,66
2024-01-03,62
2024-01-04,69
2024-01-05,67
2024-01-06,95
2024-01-07,81
2024-01-08,64
2024-01-09,55
2024-01-10,63
2024-01-11,69
2024-01-12,64
2024-01-13,67
2024-01-14,66
2024-01-15,69
2024-01-16,71
2024-01-17,67
2024-01-18,63
2024-01-19,64
2024-01-20,66
2024-01-21,70
2024-01-22,61
2024-01-23,62
2024-01-24,61
2024-01-25,58
2024-01-26,58
2024-01-27,66
2024-01-28,62
2024-01-29,59
2024-01-30,65
2024-01-31,60
2024-02-01,75
2024-02-02,71
2024-02-03,71
2024-02-04,71
2024-02-05,72
2024-02-06,78
2024-02-07,77
2024-02-08,77
2024-02-09,74
2024-02-10,69
2024-02-11,68
2024-02-12,67
2024-02-13,67
2024-02-14,69
2024-02-15,74
2024-02-16,84
2024-02-17,84
2024-02-18,100
2024-02-19,77
2024-02-20,81
2024-02-21,76
2024-02-22,79
2024-02-23,75
2024-02-24,72
2024-02-25,93
2024-02-26,100
2024-02-27,72
2024-02-28,77
2024-02-29,76
2024-03-01,75
2024-03-02,66
2024-03-03,74
2024-03-04,70
2024-03-05,72
2024-03-06,68
2024-03-07,67
2024-03-08,63
2024-03-09,66
2024-03-10,70
2024-03-11,70
2024-03-12,70
2024-03-13,77
2024-03-14,76
2024-03-15,65
2024-03-16,65
2024-03-17,70
2024-03-18,67
2024-03-19,64
2024-03-20,72
2024-03-21,79
2024-03-22,69
2024-03-23,68
2024-03-24,75
2024-03-25,66
2024-03-26,61
2024-03-27,62
2024-03-28,67
2024-03-29,68
2024-03-30,73
2024-03-31,66
2024-04-01,57
2024-04-02,59
2024-04-03,63
2024-04-04,62
2024-04-05,67
2024-04-06,65
2024-04-07,61
2024-04-08,58
2024-04-09,63
2024-04-10,62
2024-04-11,68
2024-04-12,58
2024-04-13,58
2024-04-14,57
2024-04-15,64
2024-04-16,67
2024-04-17,64
2024-04-18,62
2024-04-19,63
2024-04-20,58
2024-04-21,56
2024-04-22,67
2024-04-23,62
2024-04-24,66
2024-04-25,67
2024-04-26,62
2024-04-27,60
2024-04-28,65
2024-04-29,64
2024-04-30,66
2024-05-01,62
2024-05-02,68
2024-05-03,70
2024-05-04,61
2024-05-05,71
2024-05-06,68
2024-05-07,65
2024-05-08,65
2024-05-09,72
2024-05-10,67
2024-05-11,57
2024-05-12,70
2024-05-13,64
2024-05-14,70
2024-05-15,72
2024-05-16,73
2024-05-17,69
2024-05-18,70
2024-05-19,65
2024-05-20,65
2024-05-21,77
2024-05-22,74
2024-05-23,74
2024-05-24,69
2024-05-25,61
2024-05-26,64
2024-05-27,59
2024-05-28,56
2024-05-29,59
2024-05-30,59
2024-05-31,57
2024-06-01,54
2024-06-02,71
2024-06-03,57
2024-06-04,55
2024-06-05,65
2024-06-06,58
2024-06-07,60
2024-06-08,62
2024-06-09,85
2024-06-10,59
2024-06-11,52
2024-06-12,50
2024-06-13,49
2024-06-14,45
2024-06-15,58
2024-06-16,62
2024-06-17,52
2024-06-18,47
2024-06-19,63
2024-06-20,55
2024-06-21,52
2024-06-22,55
2024-06-23,66
2024-06-24,53
2024-06-25,51
2024-06-26,53
2024-06-27,55
2024-06-28,52
2024-06-29,71
2024-06-30,69
2024-07-01,59
2024-07-02,58
2024-07-03,51
2024-07-04,65
2024-07-05,57
2024-07-06,63
2024-07-07,61
2024-07-08,48
2024-07-09,42
2024-07-10,52
2024-07-11,53
2024-07-12,51
2024-07-13,60
2024-07-14,70
2024-07-15,53
2024-07-16,50
2024-07-17,57
2024-07-18,51
2024-07-19,49
2024-07-20,55
2024-07-21,67
2024-07-22,53
2024-07-23,52
2024-07-24,48
2024-07-25,55
2024-07-26,57
2024-07-27,57
2024-07-28,77
2024-07-29,60
2024-07-30,60
2024-07-31,56
2024-08-01,53
2024-08-02,57
2024-08-03,66
2024-08-04,70
2024-08-05,61
2024-08-06,56
2024-08-07,63
2024-08-08,65
2024-08-09,65
2024-08-10,71
2024-08-11,85
2024-08-12,66
2024-08-13,61
2024-08-14,57
2024-08-15,63
2024-08-16,68
2024-08-17,78
2024-08-18,79
2024-08-19,65
2024-08-20,61
2024-08-21,60
2024-08-22,69
2024-08-23,63
2024-08-24,82
2024-08-25,89
2024-08-26,65
2024-08-27,54
2024-08-28,62
2024-08-29,64
2024-08-30,59
2024-08-31,68
2024-09-01,80
2024-09-02,85
2024-09-03,60
2024-09-04,68
2024-09-05,68
2024-09-06,62
2024-09-07,64
2024-09-08,74
2024-09-09,59
2024-09-10,56
2024-09-11,57
2024-09-12,55
2024-09-13,59
2024-09-14,65
2024-09-15,66
2024-09-16,61
