Time,math_playground
2022-01-01,2.0
2022-01-02,2.0
2022-01-03,5.0
2022-01-04,9.0
2022-01-05,12.0
2022-01-06,12.0
2022-01-07,12.0
2022-01-08,4.0
2022-01-09,3.0
2022-01-10,12.0
2022-01-11,16.0
2022-01-12,14.0
2022-01-13,17.0
2022-01-14,14.0
2022-01-15,6.0
2022-01-16,4.0
2022-01-17,3.0
2022-01-18,12.0
2022-01-19,13.0
2022-01-20,16.0
2022-01-21,18.0
2022-01-22,7.0
2022-01-23,4.0
2022-01-24,13.0
2022-01-25,11.0
2022-01-26,15.0
2022-01-27,17.0
2022-01-28,21.0
2022-01-29,7.0
2022-01-30,5.0
2022-01-31,11.0
2022-02-01,15.0
2022-02-02,15.0
2022-02-03,17.0
2022-02-04,16.0
2022-02-05,6.0
2022-02-06,4.0
2022-02-07,15.0
2022-02-08,17.0
2022-02-09,18.0
2022-02-10,17.0
2022-02-11,20.0
2022-02-12,8.0
2022-02-13,5.0
2022-02-14,10.0
2022-02-15,13.0
2022-02-16,15.0
2022-02-17,17.0
2022-02-18,19.0
2022-02-19,7.0
2022-02-20,5.0
2022-02-21,6.0
2022-02-22,13.0
2022-02-23,14.0
2022-02-24,16.0
2022-02-25,19.0
2022-02-26,11.0
2022-02-27,4.0
2022-02-28,13.0
2022-03-01,14.0
2022-03-02,14.0
2022-03-03,16.0
2022-03-04,19.0
2022-03-05,7.0
2022-03-06,5.0
2022-03-07,13.0
2022-03-08,15.0
2022-03-09,18.0
2022-03-10,19.0
2022-03-11,17.0
2022-03-12,9.0
2022-03-13,5.0
2022-03-14,11.0
2022-03-15,11.0
2022-03-16,12.0
2022-03-17,13.0
2022-03-18,12.0
2022-03-19,6.0
2022-03-20,5.0
2022-03-21,11.0
2022-03-22,14.0
2022-03-23,16.0
2022-03-24,17.0
2022-03-25,72.0
2022-03-26,11.0
2022-03-27,8.0
2022-03-28,47.0
2022-03-29,53.0
2022-03-30,16.0
2022-03-31,58.0
2022-04-01,72.0
2022-04-02,10.0
2022-04-03,8.0
2022-04-04,46.0
2022-04-05,57.0
2022-04-06,61.0
2022-04-07,66.0
2022-04-08,79.0
2022-04-09,11.0
2022-04-10,8.0
2022-04-11,49.0
2022-04-12,53.0
2022-04-13,57.0
2022-04-14,57.0
2022-04-15,26.0
2022-04-16,8.0
2022-04-17,6.0
2022-04-18,33.0
2022-04-19,46.0
2022-04-20,48.0
2022-04-21,54.0
2022-04-22,76.0
2022-04-23,10.0
2022-04-24,7.0
2022-04-25,54.0
2022-04-26,60.0
