Time,meta stock
2023-04-26,87
2023-04-27,100
2023-04-28,51
2023-04-29,12
2023-04-30,7
2023-05-01,29
2023-05-02,27
2023-05-03,25
2023-05-04,22
2023-05-05,22
2023-05-06,6
2023-05-07,5
2023-05-08,18
2023-05-09,17
2023-05-10,20
2023-05-11,20
2023-05-12,18
2023-05-13,5
2023-05-14,4
2023-05-15,19
2023-05-16,21
2023-05-17,22
2023-05-18,25
2023-05-19,22
2023-05-20,7
2023-05-21,5
2023-05-22,37
2023-05-23,25
2023-05-24,26
2023-05-25,28
2023-05-26,27
2023-05-27,9
2023-05-28,5
2023-05-29,6
2023-05-30,26
2023-05-31,23
2023-06-01,28
2023-06-02,29
2023-06-03,7
2023-06-04,5
2023-06-05,36
2023-06-06,32
2023-06-07,24
2023-06-08,23
2023-06-09,22
2023-06-10,6
2023-06-11,4
2023-06-12,21
2023-06-13,25
2023-06-14,25
2023-06-15,30
2023-06-16,25
2023-06-17,7
2023-06-18,5
2023-06-19,9
2023-06-20,21
2023-06-21,22
2023-06-22,21
2023-06-23,24
2023-06-24,7
2023-06-25,5
2023-06-26,23
2023-06-27,25
2023-06-28,22
2023-06-29,20
2023-06-30,21
2023-07-01,8
2023-07-02,5
2023-07-03,17
2023-07-04,8
2023-07-05,40
2023-07-06,80
2023-07-07,52
2023-07-08,17
2023-07-09,9
2023-07-10,42
2023-07-11,37
2023-07-12,46
2023-07-13,45
2023-07-14,34
2023-07-15,10
2023-07-16,7
2023-07-17,33
2023-07-18,35
2023-07-19,34
2023-07-20,31
2023-07-21,32
2023-07-22,8
2023-07-23,6
2023-07-24,30
2023-07-25,36
2023-07-26,98
2023-07-27,94
2023-07-28,51
2023-07-29,13
2023-07-30,9
2023-07-31,34
2023-08-01,31
2023-08-02,28
2023-08-03,27
2023-08-04,25
2023-08-05,7
2023-08-06,6
2023-08-07,24
2023-08-08,24
2023-08-09,21
2023-08-10,22
2023-08-11,20
2023-08-12,6
2023-08-13,4
2023-08-14,21
2023-08-15,22
2023-08-16,22
2023-08-17,23
2023-08-18,26
2023-08-19,7
2023-08-20,4
2023-08-21,23
2023-08-22,22
2023-08-23,24
2023-08-24,22
2023-08-25,20
2023-08-26,5
2023-08-27,3
2023-08-28,18
2023-08-29,21
2023-08-30,21
2023-08-31,21
2023-09-01,19
2023-09-02,5
2023-09-03,4
2023-09-04,3
2023-09-05,16
2023-09-06,17
2023-09-07,18
2023-09-08,16
2023-09-09,4
2023-09-10,3
2023-09-11,18
2023-09-12,17
2023-09-13,16
2023-09-14,19
2023-09-15,17
2023-09-16,5
2023-09-17,3
2023-09-18,17
2023-09-19,15
2023-09-20,16
2023-09-21,17
2023-09-22,16
2023-09-23,4
2023-09-24,3
2023-09-25,15
2023-09-26,16
2023-09-27,28
2023-09-28,22
2023-09-29,19
2023-09-30,5
2023-10-01,5
2023-10-02,18
2023-10-03,18
2023-10-04,19
2023-10-05,17
2023-10-06,19
2023-10-07,6
2023-10-08,3
2023-10-09,17
2023-10-10,20
2023-10-11,21
2023-10-12,21
2023-10-13,18
2023-10-14,5
2023-10-15,4
2023-10-16,19
2023-10-17,18
2023-10-18,18
2023-10-19,19
2023-10-20,18
2023-10-21,5
2023-10-22,4
2023-10-23,19
2023-10-24,29
2023-10-25,79
2023-10-26,78
2023-10-27,33
2023-10-28,7
2023-10-29,6
2023-10-30,24
2023-10-31,21
2023-11-01,22
2023-11-02,23
2023-11-03,21
2023-11-04,7
2023-11-05,4
2023-11-06,20
2023-11-07,20
2023-11-08,22
2023-11-09,21
2023-11-10,22
2023-11-11,7
2023-11-12,4
2023-11-13,21
2023-11-14,25
2023-11-15,29
2023-11-16,24
2023-11-17,20
2023-11-18,6
2023-11-19,4
2023-11-20,22
2023-11-21,20
2023-11-22,20
2023-11-23,7
2023-11-24,11
2023-11-25,5
2023-11-26,3
2023-11-27,18
2023-11-28,19
2023-11-29,19
2023-11-30,20
2023-12-01,17
2023-12-02,6
2023-12-03,4
2023-12-04,18
2023-12-05,18
2023-12-06,23
2023-12-07,20
2023-12-08,20
2023-12-09,6
2023-12-10,4
2023-12-11,19
2023-12-12,19
2023-12-13,20
2023-12-14,20
2023-12-15,17
2023-12-16,5
2023-12-17,4
2023-12-18,20
2023-12-19,26
2023-12-20,25
2023-12-21,21
2023-12-22,18
2023-12-23,7
2023-12-24,5
2023-12-25,5
2023-12-26,19
2023-12-27,19
2023-12-28,18
2023-12-29,18
2023-12-30,7
2023-12-31,4
2024-01-01,4
2024-01-02,18
2024-01-03,18
2024-01-04,19
2024-01-05,17
2024-01-06,6
2024-01-07,5
2024-01-08,17
2024-01-09,19
2024-01-10,26
2024-01-11,26
2024-01-12,21
2024-01-13,8
2024-01-14,4
2024-01-15,7
2024-01-16,18
2024-01-17,19
2024-01-18,21
2024-01-19,33
2024-01-20,10
