Time,minecraft
2022-10-04,43.33249290891901
2022-10-05,43.33249290891901
2022-10-06,44.21682949889695
2022-10-07,47.7541758588087
2022-10-08,56.59754175858809
2022-10-09,59.25055152852191
2022-10-10,46.869839268830766
2022-10-11,44.21682949889695
2022-10-12,42.44815631894107
2022-10-13,45.10116608887488
2022-10-14,57.481878348566035
2022-10-15,82.24330286794833
2022-10-16,71.63126378821306
2022-10-17,49.52284903876458
2022-10-18,44.21682949889695
2022-10-19,45.10116608887488
2022-10-20,45.10116608887488
2022-10-21,47.7541758588087
2022-10-22,58.36621493854397
2022-10-23,64.55657106838954
2022-10-24,47.7541758588087
2022-10-25,43.33249290891901
2022-10-26,45.10116608887488
2022-10-27,39.79514654900726
2022-10-28,42.44815631894107
2022-10-29,57.481878348566035
2022-10-30,58.36621493854397
2022-10-31,39.79514654900726
2022-11-01,36.2578001890955
2022-11-02,39.79514654900726
2022-11-03,38.026473369051374
2022-11-04,45.10116608887488
2022-11-05,60.13488811849985
2022-11-06,60.13488811849985
2022-11-07,42.44815631894107
2022-11-08,52.1758588086984
2022-11-09,40.67948313898519
2022-11-10,44.21682949889695
2022-11-11,51.29152221872046
2022-11-12,64.55657106838954
2022-11-13,66.32524424834543
2022-11-14,46.869839268830766
2022-11-15,45.10116608887488
2022-11-16,43.33249290891901
2022-11-17,46.869839268830766
2022-11-18,45.985502678852825
2022-11-19,61.019224708477786
2022-11-20,62.78789788843367
2022-11-21,51.29152221872046
2022-11-22,50.40718562874252
2022-11-23,56.59754175858809
2022-11-24,58.36621493854397
2022-11-25,61.019224708477786
2022-11-26,58.36621493854397
2022-11-27,65.44090765836748
2022-11-28,44.21682949889695
2022-11-29,40.67948313898519
2022-11-30,45.985502678852825
2022-12-01,41.56381972896313
2022-12-02,45.985502678852825
2022-12-03,59.25055152852191
2022-12-04,64.55657106838954
2022-12-05,45.10116608887488
2022-12-06,43.33249290891901
2022-12-07,45.985502678852825
2022-12-08,45.985502678852825
2022-12-09,45.10116608887488
2022-12-10,61.90356129845573
2022-12-11,64.55657106838954
2022-12-12,50.40718562874252
2022-12-13,47.7541758588087
2022-12-14,48.63851244878664
2022-12-15,51.29152221872046
2022-12-16,53.060195398676335
2022-12-17,68.0939174283013
2022-12-18,65.44090765836748
2022-12-19,61.90356129845573
2022-12-20,59.25055152852191
2022-12-21,65.44090765836748
2022-12-22,68.0939174283013
2022-12-23,77.82161991805863
2022-12-24,76.9372833280807
2022-12-25,76.05294673810275
2022-12-26,75.16861014812481
2022-12-27,71.63126378821306
2022-12-28,71.63126378821306
2022-12-29,70.74692719823511
2022-12-30,71.63126378821306
2022-12-31,72.515600378191
2023-01-01,72.515600378191
2023-01-02,81.35896627797038
2023-01-03,61.90356129845573
2023-01-04,61.019224708477786
2023-01-05,56.59754175858809
2023-01-06,59.25055152852191
2023-01-07,78.70595650803656
2023-01-08,78.70595650803656
2023-01-09,55.71320516861015
2023-01-10,54.82886857863222
2023-01-11,53.944531988654276
2023-01-12,53.944531988654276
2023-01-13,58.36621493854397
2023-01-14,79.59029309801451
2023-01-15,84.0119760479042
2023-01-16,86.66498581783802
2023-01-17,58.36621493854397
2023-01-18,57.481878348566035
2023-01-19,55.71320516861015
2023-01-20,57.481878348566035
2023-01-21,73.39993696816893
2023-01-22,87.54932240781595
2023-01-23,61.90356129845573
2023-01-24,57.481878348566035
2023-01-25,61.019224708477786
2023-01-26,61.019224708477786
2023-01-27,61.019224708477786
2023-01-28,79.59029309801451
2023-01-29,84.89631263788215
2023-01-30,61.90356129845573
2023-01-31,62.78789788843367
2023-02-01,63.6722344784116
2023-02-02,54.82886857863222
2023-02-03,61.90356129845573
2023-02-04,76.9372833280807
2023-02-05,84.89631263788215
2023-02-06,58.36621493854397
2023-02-07,55.71320516861015
2023-02-08,54.82886857863222
2023-02-09,54.82886857863222
2023-02-10,55.71320516861015
2023-02-11,82.24330286794833
2023-02-12,76.9372833280807
2023-02-13,49.52284903876458
2023-02-14,53.060195398676335
2023-02-15,54.82886857863222
2023-02-16,56.59754175858809
2023-02-17,64.55657106838954
2023-02-18,76.9372833280807
2023-02-19,84.89631263788215
2023-02-20,76.9372833280807
2023-02-21,59.25055152852191
2023-02-22,62.78789788843367
2023-02-23,61.90356129845573
2023-02-24,61.019224708477786
2023-02-25,81.35896627797038
2023-02-26,88.4336589977939
2023-02-27,61.90356129845573
2023-02-28,53.944531988654276
2023-03-01,50.40718562874252
2023-03-02,53.944531988654276
2023-03-03,57.481878348566035
2023-03-04,74.28427355814688
2023-03-05,79.59029309801451
2023-03-06,58.36621493854397
2023-03-07,53.944531988654276
2023-03-08,53.060195398676335
2023-03-09,53.944531988654276
2023-03-10,59.25055152852191
2023-03-11,77.82161991805863
2023-03-12,80.47462968799245
2023-03-13,61.90356129845573
2023-03-14,61.019224708477786
2023-03-15,63.6722344784116
2023-03-16,58.36621493854397
2023-03-17,58.36621493854397
2023-03-18,74.28427355814688
2023-03-19,78.70595650803656
2023-03-20,56.59754175858809
2023-03-21,52.1758588086984
2023-03-22,53.944531988654276
2023-03-23,54.82886857863222
2023-03-24,59.25055152852191
2023-03-25,70.74692719823511
2023-03-26,75.16861014812481
2023-03-27,56.59754175858809
2023-03-28,53.944531988654276
2023-03-29,55.71320516861015
2023-03-30,53.944531988654276
2023-03-31,59.25055152852191
2023-04-01,76.9372833280807
2023-04-02,77.82161991805863
2023-04-03,59.25055152852191
2023-04-04,56.59754175858809
2023-04-05,55.71320516861015
