Time,restaurants_near_me
2022-01-01,82.0
2022-01-02,57.0
2022-01-03,37.0
2022-01-04,37.0
2022-01-05,33.0
2022-01-06,29.0
2022-01-07,40.0
2022-01-08,63.0
2022-01-09,51.0
2022-01-10,32.0
2022-01-11,30.0
2022-01-12,32.0
2022-01-13,39.0
2022-01-14,37.0
2022-01-15,67.0
2022-01-16,48.0
2022-01-17,37.0
2022-01-18,27.0
2022-01-19,29.0
2022-01-20,31.0
2022-01-21,40.0
2022-01-22,65.0
2022-01-23,55.0
2022-01-24,39.0
2022-01-25,29.0
2022-01-26,29.0
2022-01-27,32.0
2022-01-28,42.0
2022-01-29,66.0
2022-01-30,59.0
2022-01-31,33.0
2022-02-01,34.0
2022-02-02,32.0
2022-02-03,34.0
2022-02-04,44.0
2022-02-05,70.0
2022-02-06,66.0
2022-02-07,37.0
2022-02-08,38.0
2022-02-09,37.0
2022-02-10,32.0
2022-02-11,48.0
2022-02-12,83.0
2022-02-13,62.0
2022-02-14,62.0
2022-02-15,53.0
2022-02-16,36.0
2022-02-17,39.0
2022-02-18,52.0
2022-02-19,87.0
2022-02-20,87.0
2022-02-21,55.0
2022-02-22,40.0
2022-02-23,38.0
2022-02-24,38.0
2022-02-25,47.0
2022-02-26,80.0
2022-02-27,79.0
2022-02-28,42.0
2022-03-01,38.0
2022-03-02,40.0
2022-03-03,44.0
2022-03-04,54.0
2022-03-05,87.0
2022-03-06,75.0
2022-03-07,42.0
2022-03-08,39.0
2022-03-09,39.0
2022-03-10,41.0
2022-03-11,51.0
2022-03-12,78.0
2022-03-13,79.0
2022-03-14,47.0
2022-03-15,46.0
2022-03-16,49.0
2022-03-17,49.0
2022-03-18,63.0
2022-03-19,87.0
2022-03-20,78.0
2022-03-21,46.0
2022-03-22,41.0
2022-03-23,41.0
2022-03-24,43.0
2022-03-25,53.0
2022-03-26,88.0
2022-03-27,75.0
2022-03-28,37.0
2022-03-29,37.0
2022-03-30,40.0
2022-03-31,39.0
2022-04-01,55.0
2022-04-02,84.0
2022-04-03,74.0
2022-04-04,40.0
2022-04-05,37.0
2022-04-06,39.0
2022-04-07,42.0
2022-04-08,52.0
2022-04-09,85.0
2022-04-10,74.0
2022-04-11,41.0
2022-04-12,41.0
2022-04-13,38.0
2022-04-14,43.0
2022-04-15,58.0
2022-04-16,74.0
2022-04-17,80.0
2022-04-18,42.0
2022-04-19,39.0
2022-04-20,37.0
2022-04-21,40.0
2022-04-22,52.0
2022-04-23,85.0
2022-04-24,76.0
2022-04-25,40.0
2022-04-26,35.0
2022-04-27,36.0
2022-04-28,38.0
2022-04-29,51.0
2022-04-30,82.0
2022-05-01,72.0
2022-05-02,42.0
2022-05-03,38.0
2022-05-04,39.0
2022-05-05,43.0
2022-05-06,54.0
2022-05-07,86.0
2022-05-08,100.0
2022-05-09,42.0
2022-05-10,37.0
2022-05-11,36.0
2022-05-12,40.0
2022-05-13,51.0
2022-05-14,82.0
2022-05-15,71.0
2022-05-16,40.0
2022-05-17,38.0
2022-05-18,38.0
2022-05-19,39.0
2022-05-20,52.0
2022-05-21,81.0
2022-05-22,70.0
2022-05-23,41.0
2022-05-24,39.0
2022-05-25,39.0
2022-05-26,41.0
2022-05-27,56.0
2022-05-28,79.0
2022-05-29,81.0
2022-05-30,74.0
2022-05-31,41.0
2022-06-01,39.0
2022-06-02,41.0
2022-06-03,54.0
2022-06-04,76.0
2022-06-05,75.0
2022-06-06,45.0
2022-06-07,43.0
2022-06-08,43.0
2022-06-09,44.0
2022-06-10,56.0
2022-06-11,76.0
2022-06-12,72.0
2022-06-13,47.0
2022-06-14,44.0
2022-06-15,47.0
2022-06-16,47.0
2022-06-17,61.0
2022-06-18,85.0
2022-06-19,87.0
2022-06-20,56.0
2022-06-21,46.0
2022-06-22,46.0
2022-06-23,47.0
2022-06-24,59.0
2022-06-25,83.0
2022-06-26,77.0
2022-06-27,49.0
2022-06-28,47.0
2022-06-29,46.0
2022-06-30,48.0
2022-07-01,58.0
2022-07-02,81.0
2022-07-03,79.0
2022-07-04,84.0
2022-07-05,55.0
2022-07-06,44.0
2022-07-07,46.0
2022-07-08,60.0
2022-07-09,82.0
2022-07-10,77.0
2022-07-11,52.0
2022-07-12,45.0
2022-07-13,45.0
2022-07-14,48.0
2022-07-15,58.0
2022-07-16,83.0
2022-07-17,75.0
2022-07-18,51.0
2022-07-19,52.0
2022-07-20,50.0
2022-07-21,51.0
2022-07-22,60.0
2022-07-23,82.0
2022-07-24,77.0
2022-07-25,51.0
2022-07-26,47.0
2022-07-27,45.0
2022-07-28,50.0
2022-07-29,63.0
2022-07-30,82.0
2022-07-31,75.0
2022-08-01,50.0
2022-08-02,44.0
2022-08-03,45.0
2022-08-04,47.0
2022-08-05,61.0
2022-08-06,79.0
2022-08-07,76.0
2022-08-08,47.0
2022-08-09,44.0
2022-08-10,43.0
2022-08-11,46.0
2022-08-12,55.0
2022-08-13,77.0
2022-08-14,74.0
2022-08-15,45.0
2022-08-16,42.0
2022-08-17,45.0
2022-08-18,44.0
2022-08-19,57.0
2022-08-20,77.0
2022-08-21,70.0
2022-08-22,42.0
2022-08-23,41.0
2022-08-24,38.0
2022-08-25,40.0
2022-08-26,52.0
2022-08-27,75.0
2022-08-28,70.0
2022-08-29,39.15625
2022-08-30,38.578125
2022-08-31,35.921875
2022-09-01,38.078125
2022-09-02,49.859375
2022-09-03,70.265625
2022-09-04,83.125
2022-09-05,69.1875
2022-09-06,34.84375
2022-09-07,33.765625
2022-09-08,32.1875
2022-09-09,44.546875
2022-09-10,69.1875
