Time,stocks
2022-01-01,32
2022-01-02,33
2022-01-03,45
2022-01-04,57
2022-01-05,64
2022-01-06,45
2022-01-07,47
2022-01-08,37
2022-01-09,33
2022-01-10,43
2022-01-11,47
2022-01-12,48
2022-01-13,54
2022-01-14,39
2022-01-15,33
2022-01-16,28
2022-01-17,29
2022-01-18,41
2022-01-19,46
2022-01-20,51
2022-01-21,62
2022-01-22,43
2022-01-23,38
2022-01-24,93
2022-01-25,56
2022-01-26,49
2022-01-27,48
2022-01-28,50
2022-01-29,34
2022-01-30,31
2022-01-31,45
2022-02-01,49
2022-02-02,49
2022-02-03,53
2022-02-04,53
2022-02-05,39
2022-02-06,31
2022-02-07,38
2022-02-08,49
2022-02-09,46
2022-02-10,39
2022-02-11,46
2022-02-12,32
2022-02-13,31
2022-02-14,38
2022-02-15,49
2022-02-16,48
2022-02-17,50
2022-02-18,49
2022-02-19,32
2022-02-20,29
2022-02-21,30
2022-02-22,53
2022-02-23,50
2022-02-24,100
2022-02-25,59
2022-02-26,33
2022-02-27,33
2022-02-28,58
2022-03-01,54
2022-03-02,52
2022-03-03,52
2022-03-04,54
2022-03-05,34
2022-03-06,30
2022-03-07,67
2022-03-08,73
2022-03-09,63
2022-03-10,55
2022-03-11,48
2022-03-12,34
2022-03-13,31
2022-03-14,47
2022-03-15,45
2022-03-16,45
2022-03-17,45
2022-03-18,43
2022-03-19,31
2022-03-20,30
2022-03-21,42
2022-03-22,46
2022-03-23,46
2022-03-24,45
2022-03-25,50
2022-03-26,30
2022-03-27,29
2022-03-28,46
2022-03-29,54
2022-03-30,49
2022-03-31,50
2022-04-01,50
2022-04-02,31
2022-04-03,30
2022-04-04,47
2022-04-05,48
2022-04-06,48
2022-04-07,47
2022-04-08,46
2022-04-09,31
2022-04-10,27
2022-04-11,52
2022-04-12,41
2022-04-13,41
2022-04-14,42
2022-04-15,29
2022-04-16,29
2022-04-17,27
2022-04-18,46
2022-04-19,43
2022-04-20,49
2022-04-21,50
2022-04-22,47
2022-04-23,31
2022-04-24,28
2022-04-25,45
2022-04-26,54
2022-04-27,49
2022-04-28,44
2022-04-29,45
2022-04-30,31
2022-05-01,27
2022-05-02,44
2022-05-03,42
2022-05-04,47
2022-05-05,53
2022-05-06,46
2022-05-07,28
2022-05-08,27
2022-05-09,55
2022-05-10,58
2022-05-11,56
2022-05-12,55
2022-05-13,42
2022-05-14,27
2022-05-15,27
2022-05-16,36
2022-05-17,36
2022-05-18,46
2022-05-19,44
2022-05-20,42
2022-05-21,28
2022-05-22,25
2022-05-23,34
2022-05-24,40
2022-05-25,36
2022-05-26,33
2022-05-27,34
2022-05-28,23
2022-05-29,21
2022-05-30,22
2022-05-31,35
2022-06-01,34
2022-06-02,33
2022-06-03,33
2022-06-04,24
2022-06-05,23
2022-06-06,36
2022-06-07,34
2022-06-08,33
2022-06-09,37
2022-06-10,35
2022-06-11,26
2022-06-12,25
2022-06-13,47
2022-06-14,52
2022-06-15,43
2022-06-16,45
2022-06-17,39
2022-06-18,28
2022-06-19,26
2022-06-20,30
2022-06-21,34
2022-06-22,35
2022-06-23,34
2022-06-24,33
2022-06-25,24
2022-06-26,25
2022-06-27,31
2022-06-28,31
2022-06-29,31
2022-06-30,33
2022-07-01,29
2022-07-02,21
2022-07-03,20
2022-07-04,19
2022-07-05,31
2022-07-06,32
2022-07-07,32
2022-07-08,31
2022-07-09,24
2022-07-10,21
2022-07-11,31
2022-07-12,32
2022-07-13,30
2022-07-14,33
2022-07-15,33
2022-07-16,25
2022-07-17,26
2022-07-18,34
2022-07-19,36
2022-07-20,34
2022-07-21,35
2022-07-22,33
2022-07-23,23
2022-07-24,22
2022-07-25,32
2022-07-26,35
2022-07-27,35
2022-07-28,36
2022-07-29,38
2022-07-30,25
2022-07-31,23
2022-08-01,32
2022-08-02,36
2022-08-03,37
2022-08-04,37
2022-08-05,35
2022-08-06,26
2022-08-07,26
2022-08-08,35
2022-08-09,35
2022-08-10,36
2022-08-11,37
2022-08-12,35
2022-08-13,27
2022-08-14,26
2022-08-15,34
2022-08-16,36
2022-08-17,37
2022-08-18,33
2022-08-19,35
2022-08-20,24
2022-08-21,24
2022-08-22,33
2022-08-23,37
2022-08-24,30
2022-08-25,31
2022-08-26,34
2022-08-27,24
2022-08-28,22
2022-08-29,31
2022-08-30,34
2022-08-31,33
2022-09-01,32
2022-09-02,29
2022-09-03,21
2022-09-04,20
2022-09-05,22
2022-09-06,31
2022-09-07,33
2022-09-08,32
2022-09-09,32
2022-09-10,21
2022-09-11,20
2022-09-12,32
2022-09-13,40
2022-09-14,37
2022-09-15,34
2022-09-16,33
2022-09-17,22
2022-09-18,20
2022-09-19,32
2022-09-20,33
2022-09-21,33
2022-09-22,34
2022-09-23,35
2022-09-24,24
2022-09-25,19
2022-09-26,32
2022-09-27,34
