Time,stocks
2025-12-11,52
2025-12-12,58
2025-12-13,36
2025-12-14,32
2025-12-15,46
2025-12-16,43
2025-12-17,52
2025-12-18,57
2025-12-19,47
2025-12-20,34
2025-12-21,32
2025-12-22,44
2025-12-23,44
2025-12-24,39
2025-12-25,34
2025-12-26,43
2025-12-27,37
2025-12-28,38
2025-12-29,49
2025-12-30,47
2025-12-31,45
2026-01-01,34
2026-01-02,55
2026-01-03,51
2026-01-04,46
2026-01-05,66
2026-01-06,69
2026-01-07,69
2026-01-08,63
2026-01-09,63
2026-01-10,40
2026-01-11,39
2026-01-12,59
2026-01-13,62
2026-01-14,62
2026-01-15,65
2026-01-16,59
2026-01-17,44
2026-01-18,37
2026-01-19,42
2026-01-20,67
2026-01-21,71
2026-01-22,65
2026-01-23,60
2026-01-24,42
2026-01-25,38
2026-01-26,61
2026-01-27,65
2026-01-28,72
2026-01-29,79
2026-01-30,75
2026-01-31,42
2026-02-01,51
2026-02-02,66
2026-02-03,72
2026-02-04,78
2026-02-05,82
2026-02-06,76
2026-02-07,46
2026-02-08,40
2026-02-09,54
2026-02-10,60
2026-02-11,61
2026-02-12,58
2026-02-13,59
2026-02-14,36
2026-02-15,38
2026-02-16,42
2026-02-17,57
2026-02-18,54
2026-02-19,58
2026-02-20,51
2026-02-21,37
2026-02-22,32
2026-02-23,56
2026-02-24,58
2026-02-25,57
2026-02-26,60
2026-02-27,63
2026-02-28,44
2026-03-01,47
2026-03-02,94
2026-03-03,93
2026-03-04,80
2026-03-05,83
2026-03-06,79
2026-03-07,45
2026-03-08,44
2026-03-09,88
2026-03-10,72
2026-03-11,68
2026-03-12,68
2026-03-13,66
2026-03-14,41
2026-03-15,39
2026-03-16,64
2026-03-17,64
2026-03-18,61
2026-03-19,68
2026-03-20,65
2026-03-21,40
2026-03-22,40
2026-03-23,66
2026-03-24,58
2026-03-25,82
2026-03-26,75
2026-03-27,94
2026-03-28,83
2026-03-29,88
2026-03-30,100
2026-03-31,79
2026-04-01,69
2026-04-02,61
2026-04-03,43
2026-04-04,36
2026-04-05,38
2026-04-06,54
2026-04-07,63
2026-04-08,73
2026-04-09,62
2026-04-10,57
2026-04-11,35
2026-04-12,36
2026-04-13,54
2026-04-14,65
2026-04-15,66
2026-04-16,67
2026-04-17,93
2026-04-18,43
2026-04-19,35
2026-04-20,56
2026-04-21,61
2026-04-22,63
2026-04-23,64
2026-04-24,64
2026-04-25,40
2026-04-26,38
2026-04-27,56
2026-04-28,58
2026-04-29,55
2026-04-30,58
2026-05-01,53
2026-05-02,37
2026-05-03,40
2026-05-04,49
2026-05-05,59
2026-05-06,70
2026-05-07,63
2026-05-08,66
2026-05-09,42
2026-05-10,37
2026-05-11,66
2026-05-12,65
2026-05-13,66
2026-05-14,67
2026-05-15,65
2026-05-16,39
2026-05-17,38
2026-05-18,56
2026-05-19,60
2026-05-20,53
2026-05-21,59
2026-05-22,72
2026-05-23,54
2026-05-24,41
2026-05-25,41
2026-05-26,64
2026-05-27,72
2026-05-28,76
2026-05-29,78
2026-05-30,51
2026-05-31,60
