Time,stocks
2023-12-22,36
2023-12-23,26
2023-12-24,20
2023-12-25,22
2023-12-26,33
2023-12-27,37
2023-12-28,38
2023-12-29,36
2023-12-30,27
2023-12-31,23
2024-01-01,23
2024-01-02,39
2024-01-03,38
2024-01-04,39
2024-01-05,35
2024-01-06,25
2024-01-07,23
2024-01-08,34
2024-01-09,35
2024-01-10,38
2024-01-11,36
2024-01-12,37
2024-01-13,26
2024-01-14,22
2024-01-15,24
2024-01-16,31
2024-01-17,36
2024-01-18,34
2024-01-19,37
2024-01-20,31
2024-01-21,25
2024-01-22,37
2024-01-23,40
2024-01-24,43
2024-01-25,43
2024-01-26,40
2024-01-27,29
2024-01-28,27
2024-01-29,37
2024-01-30,43
2024-01-31,39
2024-02-01,41
2024-02-02,44
2024-02-03,32
2024-02-04,29
2024-02-05,40
2024-02-06,42
2024-02-07,44
2024-02-08,41
2024-02-09,43
2024-02-10,31
2024-02-11,26
2024-02-12,36
2024-02-13,43
2024-02-14,42
2024-02-15,42
2024-02-16,43
2024-02-17,29
2024-02-18,28
2024-02-19,29
2024-02-20,36
2024-02-21,41
2024-02-22,48
2024-02-23,46
2024-02-24,33
2024-02-25,30
2024-02-26,46
2024-02-27,46
2024-02-28,47
2024-02-29,50
2024-03-01,39
2024-03-02,36
2024-03-03,31
2024-03-04,48
2024-03-05,54
2024-03-06,46
2024-03-07,49
2024-03-08,43
2024-03-09,32
2024-03-10,28
2024-03-11,40
2024-03-12,43
2024-03-13,42
2024-03-14,42
2024-03-15,36
2024-03-16,29
2024-03-17,26
2024-03-18,38
2024-03-19,42
2024-03-20,40
2024-03-21,43
2024-03-22,38
2024-03-23,28
2024-03-24,27
2024-03-25,39
2024-03-26,39
2024-03-27,39
2024-03-28,38
2024-03-29,29
2024-03-30,24
2024-03-31,24
2024-04-01,37
2024-04-02,37
2024-04-03,41
2024-04-04,40
2024-04-05,36
2024-04-06,25
2024-04-07,24
2024-04-08,33
2024-04-09,35
2024-04-10,36
2024-04-11,34
2024-04-12,37
2024-04-13,25
2024-04-14,25
2024-04-15,37
2024-04-16,36
2024-04-17,36
2024-04-18,32
2024-04-19,36
2024-04-20,24
2024-04-21,22
2024-04-22,34
2024-04-23,37
2024-04-24,33
2024-04-25,35
2024-04-26,31
2024-04-27,21
2024-04-28,23
2024-04-29,32
2024-04-30,35
2024-05-01,35
2024-05-02,34
2024-05-03,33
2024-05-04,23
2024-05-05,21
2024-05-06,33
2024-05-07,33
2024-05-08,33
2024-05-09,33
2024-05-10,30
2024-05-11,21
2024-05-12,18
2024-05-13,37
2024-05-14,45
2024-05-15,41
2024-05-16,39
2024-05-17,39
2024-05-18,27
2024-05-19,22
2024-05-20,39
2024-05-21,38
2024-05-22,35
2024-05-23,38
2024-05-24,35
2024-05-25,23
2024-05-26,20
2024-05-27,23
2024-05-28,37
2024-05-29,40
2024-05-30,35
2024-05-31,31
2024-06-01,23
2024-06-02,26
2024-06-03,37
2024-06-04,36
2024-06-05,38
2024-06-06,42
2024-06-07,44
2024-06-08,26
2024-06-09,24
2024-06-10,35
2024-06-11,38
2024-06-12,36
2024-06-13,37
2024-06-14,65
2024-06-15,39
2024-06-16,28
2024-06-17,38
2024-06-18,39
2024-06-19,33
2024-06-20,36
2024-06-21,34
2024-06-22,25
2024-06-23,22
2024-06-24,31
2024-06-25,36
2024-06-26,34
2024-06-27,35
2024-06-28,32
2024-06-29,24
2024-06-30,20
2024-07-01,32
2024-07-02,36
2024-07-03,33
2024-07-04,26
2024-07-05,33
2024-07-06,24
2024-07-07,24
2024-07-08,33
2024-07-09,35
2024-07-10,35
2024-07-11,37
2024-07-12,37
2024-07-13,26
2024-07-14,21
2024-07-15,33
2024-07-16,38
2024-07-17,42
2024-07-18,36
2024-07-19,38
2024-07-20,26
2024-07-21,24
2024-07-22,35
2024-07-23,37
2024-07-24,40
2024-07-25,37
2024-07-26,33
2024-07-27,23
2024-07-28,21
2024-07-29,28
2024-07-30,32
2024-07-31,32
2024-08-01,37
2024-08-02,42
2024-08-03,29
2024-08-04,25
2024-08-05,100
2024-08-06,60
2024-08-07,40
2024-08-08,37
2024-08-09,33
2024-08-10,23
2024-08-11,23
2024-08-12,30
2024-08-13,32
2024-08-14,37
2024-08-15,34
2024-08-16,32
2024-08-17,26
2024-08-18,22
2024-08-19,33
2024-08-20,34
2024-08-21,32
2024-08-22,32
2024-08-23,33
2024-08-24,25
2024-08-25,22
2024-08-26,32
2024-08-27,32
2024-08-28,34
2024-08-29,33
2024-08-30,31
2024-08-31,22
2024-09-01,22
2024-09-02,22
2024-09-03,35
2024-09-04,35
2024-09-05,30
2024-09-06,31
2024-09-07,22
2024-09-08,18
2024-09-09,30
2024-09-10,31
2024-09-11,32
2024-09-12,34
2024-09-13,30
2024-09-14,25
2024-09-15,21
2024-09-16,33
