Time,verizon
2023-04-26,70
2023-04-27,64
2023-04-28,66
2023-04-29,65
2023-04-30,59
2023-05-01,67
2023-05-02,73
2023-05-03,67
2023-05-04,63
2023-05-05,67
2023-05-06,59
2023-05-07,55
2023-05-08,69
2023-05-09,68
2023-05-10,65
2023-05-11,67
2023-05-12,67
2023-05-13,64
2023-05-14,56
2023-05-15,75
2023-05-16,72
2023-05-17,67
2023-05-18,69
2023-05-19,74
2023-05-20,63
2023-05-21,56
2023-05-22,64
2023-05-23,71
2023-05-24,70
2023-05-25,68
2023-05-26,69
2023-05-27,62
2023-05-28,56
2023-05-29,61
2023-05-30,71
2023-05-31,75
2023-06-01,76
2023-06-02,71
2023-06-03,64
2023-06-04,63
2023-06-05,71
2023-06-06,72
2023-06-07,74
2023-06-08,74
2023-06-09,71
2023-06-10,65
2023-06-11,58
2023-06-12,71
2023-06-13,69
2023-06-14,72
2023-06-15,69
2023-06-16,70
2023-06-17,68
2023-06-18,60
2023-06-19,75
2023-06-20,69
2023-06-21,72
2023-06-22,70
2023-06-23,72
2023-06-24,65
2023-06-25,59
2023-06-26,72
2023-06-27,75
2023-06-28,70
2023-06-29,73
2023-06-30,83
2023-07-01,75
2023-07-02,63
2023-07-03,77
2023-07-04,60
2023-07-05,75
2023-07-06,78
2023-07-07,78
2023-07-08,70
2023-07-09,61
2023-07-10,73
2023-07-11,74
2023-07-12,74
2023-07-13,74
2023-07-14,75
2023-07-15,67
2023-07-16,62
2023-07-17,74
2023-07-18,72
2023-07-19,73
2023-07-20,71
2023-07-21,71
2023-07-22,64
2023-07-23,58
2023-07-24,71
2023-07-25,73
2023-07-26,76
2023-07-27,72
2023-07-28,75
2023-07-29,66
2023-07-30,62
2023-07-31,74
2023-08-01,73
2023-08-02,76
2023-08-03,74
2023-08-04,74
2023-08-05,61
2023-08-06,60
2023-08-07,78
2023-08-08,85
2023-08-09,77
2023-08-10,72
2023-08-11,72
2023-08-12,65
2023-08-13,67
2023-08-14,69
2023-08-15,71
2023-08-16,71
2023-08-17,69
2023-08-18,67
2023-08-19,63
2023-08-20,56
2023-08-21,70
2023-08-22,68
2023-08-23,70
2023-08-24,66
2023-08-25,67
2023-08-26,61
2023-08-27,57
2023-08-28,69
2023-08-29,64
2023-08-30,66
2023-08-31,66
2023-09-01,71
2023-09-02,64
2023-09-03,57
2023-09-04,61
2023-09-05,68
2023-09-06,74
2023-09-07,69
2023-09-08,67
2023-09-09,66
2023-09-10,66
2023-09-11,66
2023-09-12,80
2023-09-13,82
2023-09-14,75
2023-09-15,91
2023-09-16,74
2023-09-17,70
2023-09-18,72
2023-09-19,72
2023-09-20,69
2023-09-21,76
2023-09-22,85
2023-09-23,91
2023-09-24,87
2023-09-25,85
2023-09-26,85
2023-09-27,79
2023-09-28,79
2023-09-29,83
2023-09-30,78
2023-10-01,70
2023-10-02,74
2023-10-03,73
2023-10-04,75
2023-10-05,71
2023-10-06,75
2023-10-07,69
2023-10-08,65
2023-10-09,65
2023-10-10,69
2023-10-11,72
2023-10-12,73
2023-10-13,72
2023-10-14,66
2023-10-15,65
2023-10-16,69
2023-10-17,69
2023-10-18,65
2023-10-19,67
2023-10-20,68
2023-10-21,64
2023-10-22,58
2023-10-23,64
2023-10-24,65
2023-10-25,66
2023-10-26,59
2023-10-27,62
2023-10-28,56
2023-10-29,54
2023-10-30,61
2023-10-31,62
2023-11-01,68
2023-11-02,62
2023-11-03,68
2023-11-04,64
2023-11-05,60
2023-11-06,65
2023-11-07,63
2023-11-08,63
2023-11-09,59
2023-11-10,68
2023-11-11,59
2023-11-12,56
2023-11-13,62
2023-11-14,67
2023-11-15,63
2023-11-16,64
2023-11-17,67
2023-11-18,67
2023-11-19,68
2023-11-20,70
2023-11-21,71
2023-11-22,75
2023-11-23,67
2023-11-24,100
2023-11-25,81
2023-11-26,72
2023-11-27,79
2023-11-28,71
2023-11-29,68
2023-11-30,65
2023-12-01,67
2023-12-02,66
2023-12-03,60
2023-12-04,65
2023-12-05,70
2023-12-06,65
2023-12-07,68
2023-12-08,68
2023-12-09,65
2023-12-10,65
2023-12-11,66
2023-12-12,66
2023-12-13,67
2023-12-14,66
2023-12-15,68
2023-12-16,72
2023-12-17,67
2023-12-18,67
2023-12-19,70
2023-12-20,72
2023-12-21,71
2023-12-22,67
2023-12-23,78
2023-12-24,59
2023-12-25,54
2023-12-26,82
2023-12-27,79
2023-12-28,78
2023-12-29,76
2023-12-30,68
2023-12-31,58
2024-01-01,56
2024-01-02,68
2024-01-03,73
2024-01-04,74
2024-01-05,97
2024-01-06,78
2024-01-07,65
2024-01-08,70
2024-01-09,70
2024-01-10,72
2024-01-11,66
2024-01-12,65
2024-01-13,65
2024-01-14,58
2024-01-15,64
2024-01-16,57
2024-01-17,62
2024-01-18,64
2024-01-19,65
2024-01-20,66
