Time,verizon
2022-08-29,69
2022-08-30,70
2022-08-31,68
2022-09-01,70
2022-09-02,69
2022-09-03,62
2022-09-04,58
2022-09-05,64
2022-09-06,69
2022-09-07,83
2022-09-08,84
2022-09-09,92
2022-09-10,81
2022-09-11,76
2022-09-12,83
2022-09-13,75
2022-09-14,75
2022-09-15,75
2022-09-16,83
2022-09-17,82
2022-09-18,76
2022-09-19,80
2022-09-20,78
2022-09-21,74
2022-09-22,73
2022-09-23,77
2022-09-24,79
2022-09-25,72
2022-09-26,73
2022-09-27,74
2022-09-28,73
2022-09-29,70
2022-09-30,76
2022-10-01,72
2022-10-02,68
2022-10-03,71
2022-10-04,73
2022-10-05,69
2022-10-06,71
2022-10-07,71
2022-10-08,65
2022-10-09,61
2022-10-10,68
2022-10-11,74
2022-10-12,69
2022-10-13,70
2022-10-14,71
2022-10-15,67
2022-10-16,62
2022-10-17,66
2022-10-18,64
2022-10-19,68
2022-10-20,67
2022-10-21,72
2022-10-22,63
2022-10-23,59
2022-10-24,67
2022-10-25,66
2022-10-26,66
2022-10-27,66
2022-10-28,67
2022-10-29,60
2022-10-30,56
2022-10-31,61
2022-11-01,67
2022-11-02,63
2022-11-03,65
2022-11-04,65
2022-11-05,59
2022-11-06,55
2022-11-07,62
2022-11-08,60
2022-11-09,56
2022-11-10,60
2022-11-11,62
2022-11-12,57
2022-11-13,58
2022-11-14,61
2022-11-15,64
2022-11-16,62
2022-11-17,65
2022-11-18,65
2022-11-19,62
2022-11-20,59
2022-11-21,63
2022-11-22,63
2022-11-23,68
2022-11-24,59
2022-11-25,100
2022-11-26,73
2022-11-27,72
2022-11-28,76
2022-11-29,68
2022-11-30,64
2022-12-01,68
2022-12-02,67
2022-12-03,64
2022-12-04,57
2022-12-05,62
2022-12-06,64
2022-12-07,63
2022-12-08,61
2022-12-09,65
2022-12-10,63
2022-12-11,58
2022-12-12,68
2022-12-13,66
2022-12-14,65
2022-12-15,68
2022-12-16,68
2022-12-17,66
2022-12-18,63
2022-12-19,70
2022-12-20,73
2022-12-21,71
2022-12-22,71
2022-12-23,73
2022-12-24,62
2022-12-25,56
2022-12-26,82
2022-12-27,78
2022-12-28,77
2022-12-29,77
2022-12-30,71
2022-12-31,65
2023-01-01,57
2023-01-02,71
2023-01-03,67
2023-01-04,72
2023-01-05,72
2023-01-06,71
2023-01-07,67
2023-01-08,60
2023-01-09,63
2023-01-10,66
2023-01-11,61
2023-01-12,62
2023-01-13,64
2023-01-14,65
2023-01-15,59
2023-01-16,66
2023-01-17,64
2023-01-18,60
2023-01-19,60
2023-01-20,63
2023-01-21,60
2023-01-22,62
2023-01-23,66
2023-01-24,61
2023-01-25,59
2023-01-26,58
2023-01-27,59
2023-01-28,57
2023-01-29,54
2023-01-30,59
2023-01-31,59
2023-02-01,64
2023-02-02,72
2023-02-03,66
2023-02-04,61
2023-02-05,57
2023-02-06,61
2023-02-07,60
2023-02-08,56
2023-02-09,57
2023-02-10,60
2023-02-11,59
2023-02-12,52
2023-02-13,52
2023-02-14,59
2023-02-15,61
2023-02-16,61
2023-02-17,67
2023-02-18,64
2023-02-19,53
2023-02-20,59
2023-02-21,60
2023-02-22,57
2023-02-23,64
2023-02-24,64
2023-02-25,58
2023-02-26,58
2023-02-27,59
2023-02-28,64
2023-03-01,72
2023-03-02,69
2023-03-03,67
2023-03-04,62
2023-03-05,56
2023-03-06,65
2023-03-07,59
2023-03-08,59
2023-03-09,60
2023-03-10,61
2023-03-11,58
2023-03-12,55
2023-03-13,64
2023-03-14,61
2023-03-15,61
2023-03-16,62
2023-03-17,59
2023-03-18,59
2023-03-19,55
2023-03-20,59
2023-03-21,57
2023-03-22,58
2023-03-23,58
2023-03-24,59
2023-03-25,56
2023-03-26,52
2023-03-27,58
2023-03-28,60
2023-03-29,57
2023-03-30,59
2023-03-31,59
2023-04-01,54
2023-04-02,51
2023-04-03,57
2023-04-04,56
2023-04-05,54
2023-04-06,55
2023-04-07,57
2023-04-08,50
2023-04-09,40
2023-04-10,58
2023-04-11,55
2023-04-12,56
2023-04-13,56
2023-04-14,56
2023-04-15,56
2023-04-16,50
2023-04-17,56
2023-04-18,52
2023-04-19,55
2023-04-20,53
2023-04-21,56
2023-04-22,55
2023-04-23,52
2023-04-24,56
2023-04-25,57
2023-04-26,61
2023-04-27,56
2023-04-28,57
2023-04-29,57
2023-04-30,52
2023-05-01,58
2023-05-02,64
2023-05-03,59
2023-05-04,55
2023-05-05,58
2023-05-06,51
2023-05-07,48
2023-05-08,60
2023-05-09,59
2023-05-10,56
2023-05-11,58
2023-05-12,58
2023-05-13,56
2023-05-14,49
2023-05-15,66
2023-05-16,63
2023-05-17,59
2023-05-18,61
2023-05-19,65
2023-05-20,55
2023-05-21,49
2023-05-22,56
2023-05-23,62
2023-05-24,61
2023-05-25,60
