Time,kevin samuels
2022-08-29,40
2022-08-30,49
2022-08-31,32
2022-09-01,29
2022-09-02,26
2022-09-03,30
2022-09-04,35
2022-09-05,29
2022-09-06,21
2022-09-07,25
2022-09-08,35
2022-09-09,26
2022-09-10,36
2022-09-11,27
2022-09-12,20
2022-09-13,25
2022-09-14,22
2022-09-15,22
2022-09-16,19
2022-09-17,25
2022-09-18,26
2022-09-19,26
2022-09-20,21
2022-09-21,21
2022-09-22,22
2022-09-23,23
2022-09-24,29
2022-09-25,24
2022-09-26,22
2022-09-27,20
2022-09-28,31
2022-09-29,20
2022-09-30,18
2022-10-01,24
2022-10-02,25
2022-10-03,21
2022-10-04,21
2022-10-05,24
2022-10-06,21
2022-10-07,19
2022-10-08,18
2022-10-09,20
2022-10-10,23
2022-10-11,16
2022-10-12,16
2022-10-13,18
2022-10-14,17
2022-10-15,18
2022-10-16,18
2022-10-17,15
2022-10-18,10
2022-10-19,13
2022-10-20,16
2022-10-21,16
2022-10-22,17
2022-10-23,24
2022-10-24,17
2022-10-25,17
2022-10-26,18
2022-10-27,15
2022-10-28,16
2022-10-29,13
2022-10-30,25
2022-10-31,20
2022-11-01,20
2022-11-02,18
2022-11-03,21
2022-11-04,22
2022-11-05,22
2022-11-06,25
2022-11-07,26
2022-11-08,20
2022-11-09,16
2022-11-10,20
2022-11-11,16
2022-11-12,20
2022-11-13,21
2022-11-14,22
2022-11-15,16
2022-11-16,20
2022-11-17,17
2022-11-18,18
2022-11-19,19
2022-11-20,22
2022-11-21,20
2022-11-22,20
2022-11-23,20
2022-11-24,20
2022-11-25,19
2022-11-26,17
2022-11-27,24
2022-11-28,21
2022-11-29,17
2022-11-30,20
2022-12-01,17
2022-12-02,19
2022-12-03,15
2022-12-04,19
2022-12-05,20
2022-12-06,19
2022-12-07,24
2022-12-08,22
2022-12-09,21
2022-12-10,20
2022-12-11,26
2022-12-12,24
2022-12-13,23
2022-12-14,27
2022-12-15,21
2022-12-16,20
2022-12-17,21
2022-12-18,21
2022-12-19,20
2022-12-20,20
2022-12-21,25
2022-12-22,27
2022-12-23,25
2022-12-24,30
2022-12-25,35
2022-12-26,32
2022-12-27,28
2022-12-28,27
2022-12-29,36
2022-12-30,100
2022-12-31,50
2023-01-01,27
2023-01-02,27
2023-01-03,25
2023-01-04,32
2023-01-05,27
2023-01-06,28
2023-01-07,41
2023-01-08,40
2023-01-09,35
2023-01-10,31
2023-01-11,28
2023-01-12,27
2023-01-13,34
2023-01-14,52
2023-01-15,48
2023-01-16,33
2023-01-17,28
2023-01-18,25
2023-01-19,24
2023-01-20,27
2023-01-21,21
2023-01-22,24
2023-01-23,22
2023-01-24,27
2023-01-25,22
2023-01-26,25
2023-01-27,20
2023-01-28,18
2023-01-29,20
2023-01-30,19
2023-01-31,18
2023-02-01,19
2023-02-02,19
2023-02-03,23
2023-02-04,23
2023-02-05,20
2023-02-06,16
2023-02-07,16
2023-02-08,19
2023-02-09,18
2023-02-10,18
2023-02-11,23
2023-02-12,19
2023-02-13,11
2023-02-14,21
2023-02-15,22
2023-02-16,17
2023-02-17,15
2023-02-18,20
2023-02-19,18
2023-02-20,20
2023-02-21,27
2023-02-22,44
2023-02-23,40
2023-02-24,40
2023-02-25,63
2023-02-26,72
2023-02-27,44
2023-02-28,38
2023-03-01,47
2023-03-02,36
2023-03-03,33
2023-03-04,50
2023-03-05,39
2023-03-06,31
2023-03-07,33
2023-03-08,23
2023-03-09,27
2023-03-10,24
2023-03-11,48
2023-03-12,44
2023-03-13,35
2023-03-14,45
2023-03-15,26
2023-03-16,24
2023-03-17,25
2023-03-18,27
2023-03-19,26
2023-03-20,19
2023-03-21,20
2023-03-22,20
2023-03-23,19
2023-03-24,19
2023-03-25,22
2023-03-26,29
2023-03-27,20
2023-03-28,21
2023-03-29,22
2023-03-30,21
2023-03-31,17
2023-04-01,20
2023-04-02,18
2023-04-03,14
2023-04-04,18
2023-04-05,20
2023-04-06,17
2023-04-07,18
2023-04-08,20
2023-04-09,21
2023-04-10,15
2023-04-11,14
2023-04-12,18
2023-04-13,14
2023-04-14,18
2023-04-15,18
2023-04-16,22
2023-04-17,13
2023-04-18,13
2023-04-19,12
2023-04-20,17
2023-04-21,14
2023-04-22,12
2023-04-23,13
2023-04-24,14
2023-04-25,10
2023-04-26,14
2023-04-27,14
2023-04-28,19
2023-04-29,21
2023-04-30,24
2023-05-01,13
2023-05-02,15
2023-05-03,10
2023-05-04,13
2023-05-05,24
2023-05-06,67
2023-05-07,34
2023-05-08,19
2023-05-09,15
2023-05-10,12
2023-05-11,16
2023-05-12,12
2023-05-13,16
2023-05-14,21
2023-05-15,15
2023-05-16,15
2023-05-17,12
2023-05-18,16
2023-05-19,15
2023-05-20,13
2023-05-21,12
2023-05-22,12
2023-05-23,13
2023-05-24,19
2023-05-25,17
