Time,disney plus
2022-08-29,29
2022-08-30,31
2022-08-31,30
2022-09-01,35
2022-09-02,40
2022-09-03,47
2022-09-04,45
2022-09-05,44
2022-09-06,37
2022-09-07,39
2022-09-08,66
2022-09-09,62
2022-09-10,64
2022-09-11,61
2022-09-12,42
2022-09-13,38
2022-09-14,32
2022-09-15,35
2022-09-16,41
2022-09-17,51
2022-09-18,47
2022-09-19,42
2022-09-20,45
2022-09-21,39
2022-09-22,41
2022-09-23,43
2022-09-24,45
2022-09-25,47
2022-09-26,37
2022-09-27,41
2022-09-28,41
2022-09-29,44
2022-09-30,86
2022-10-01,100
2022-10-02,75
2022-10-03,49
2022-10-04,46
2022-10-05,38
2022-10-06,43
2022-10-07,46
2022-10-08,48
2022-10-09,47
2022-10-10,42
2022-10-11,42
2022-10-12,34
2022-10-13,39
2022-10-14,45
2022-10-15,42
2022-10-16,49
2022-10-17,35
2022-10-18,36
2022-10-19,34
2022-10-20,34
2022-10-21,36
2022-10-22,36
2022-10-23,41
2022-10-24,31
2022-10-25,36
2022-10-26,34
2022-10-27,38
2022-10-28,47
2022-10-29,38
2022-10-30,44
2022-10-31,47
2022-11-01,36
2022-11-02,32
2022-11-03,32
2022-11-04,41
2022-11-05,38
2022-11-06,36
2022-11-07,30
2022-11-08,35
2022-11-09,28
2022-11-10,35
2022-11-11,45
2022-11-12,50
2022-11-13,51
2022-11-14,38
2022-11-15,42
2022-11-16,40
2022-11-17,40
2022-11-18,51
2022-11-19,52
2022-11-20,54
2022-11-21,54
2022-11-22,51
2022-11-23,48
2022-11-24,53
2022-11-25,52
2022-11-26,53
2022-11-27,53
2022-11-28,41
2022-11-29,36
2022-11-30,35
2022-12-01,39
2022-12-02,40
2022-12-03,43
2022-12-04,47
2022-12-05,37
2022-12-06,33
2022-12-07,40
2022-12-08,45
2022-12-09,47
2022-12-10,49
2022-12-11,47
2022-12-12,40
2022-12-13,36
2022-12-14,42
2022-12-15,49
2022-12-16,57
2022-12-17,47
2022-12-18,46
2022-12-19,49
2022-12-20,50
2022-12-21,53
2022-12-22,54
2022-12-23,55
2022-12-24,54
2022-12-25,60
2022-12-26,58
2022-12-27,47
2022-12-28,47
2022-12-29,44
2022-12-30,40
2022-12-31,47
2023-01-01,55
2023-01-02,55
2023-01-03,40
2023-01-04,40
2023-01-05,34
2023-01-06,36
2023-01-07,42
2023-01-08,43
2023-01-09,33
2023-01-10,31
2023-01-11,31
2023-01-12,30
2023-01-13,36
2023-01-14,41
2023-01-15,47
2023-01-16,40
2023-01-17,34
2023-01-18,29
2023-01-19,29
2023-01-20,35
2023-01-21,43
2023-01-22,44
2023-01-23,29
2023-01-24,30
2023-01-25,30
2023-01-26,32
2023-01-27,36
2023-01-28,37
2023-01-29,41
2023-01-30,32
2023-01-31,31
2023-02-01,43
2023-02-02,43
2023-02-03,42
2023-02-04,46
2023-02-05,46
2023-02-06,29
2023-02-07,27
2023-02-08,28
2023-02-09,29
2023-02-10,31
2023-02-11,36
2023-02-12,42
2023-02-13,26
2023-02-14,28
2023-02-15,28
2023-02-16,28
2023-02-17,37
2023-02-18,39
2023-02-19,37
2023-02-20,32
2023-02-21,25
2023-02-22,27
2023-02-23,28
2023-02-24,32
2023-02-25,35
2023-02-26,36
2023-02-27,28
2023-02-28,27
2023-03-01,34
2023-03-02,37
2023-03-03,35
2023-03-04,38
2023-03-05,37
2023-03-06,28
2023-03-07,26
2023-03-08,29
2023-03-09,32
2023-03-10,37
2023-03-11,34
2023-03-12,40
2023-03-13,31
2023-03-14,27
2023-03-15,31
2023-03-16,31
2023-03-17,32
2023-03-18,33
2023-03-19,37
2023-03-20,28
2023-03-21,27
2023-03-22,31
2023-03-23,35
2023-03-24,37
2023-03-25,34
2023-03-26,37
2023-03-27,28
2023-03-28,35
2023-03-29,40
2023-03-30,41
2023-03-31,45
2023-04-01,43
2023-04-02,42
2023-04-03,32
2023-04-04,29
2023-04-05,34
2023-04-06,36
2023-04-07,35
2023-04-08,36
2023-04-09,36
2023-04-10,29
2023-04-11,26
2023-04-12,26
2023-04-13,28
2023-04-14,28
2023-04-15,30
2023-04-16,35
2023-04-17,27
2023-04-18,27
2023-04-19,38
2023-04-20,34
2023-04-21,38
2023-04-22,42
2023-04-23,43
2023-04-24,31
2023-04-25,27
2023-04-26,27
2023-04-27,29
2023-04-28,36
2023-04-29,32
2023-04-30,38
2023-05-01,31
2023-05-02,28
2023-05-03,27
2023-05-04,33
2023-05-05,37
2023-05-06,32
2023-05-07,34
2023-05-08,30
2023-05-09,29
2023-05-10,30
2023-05-11,33
2023-05-12,39
2023-05-13,38
2023-05-14,37
2023-05-15,35
2023-05-16,36
2023-05-17,35
2023-05-18,35
2023-05-19,42
2023-05-20,35
2023-05-21,33
2023-05-22,35
2023-05-23,36
2023-05-24,36
2023-05-25,41
