Time,disney plus
2024-08-18,59
2024-08-19,47
2024-08-20,47
2024-08-21,48
2024-08-22,46
2024-08-23,49
2024-08-24,63
2024-08-25,57
2024-08-26,46
2024-08-27,43
2024-08-28,39
2024-08-29,43
2024-08-30,50
2024-08-31,57
2024-09-01,61
2024-09-02,64
2024-09-03,45
2024-09-04,40
2024-09-05,44
2024-09-06,46
2024-09-07,59
2024-09-08,58
2024-09-09,43
2024-09-10,45
2024-09-11,44
2024-09-12,45
2024-09-13,50
2024-09-14,64
2024-09-15,60
2024-09-16,46
2024-09-17,56
2024-09-18,52
2024-09-19,51
2024-09-20,54
2024-09-21,72
2024-09-22,65
2024-09-23,48
2024-09-24,50
2024-09-25,63
2024-09-26,60
2024-09-27,65
2024-09-28,63
2024-09-29,65
2024-09-30,47
2024-10-01,61
2024-10-02,63
2024-10-03,55
2024-10-04,61
2024-10-05,66
2024-10-06,65
2024-10-07,45
2024-10-08,50
2024-10-09,48
2024-10-10,49
2024-10-11,49
2024-10-12,53
2024-10-13,58
2024-10-14,47
2024-10-15,42
2024-10-16,52
2024-10-17,49
2024-10-18,58
2024-10-19,58
2024-10-20,57
2024-10-21,46
2024-10-22,46
2024-10-23,47
2024-10-24,46
2024-10-25,50
2024-10-26,55
2024-10-27,56
2024-10-28,46
2024-10-29,45
2024-10-30,52
2024-10-31,75
2024-11-01,67
2024-11-02,54
2024-11-03,52
2024-11-04,45
2024-11-05,46
2024-11-06,33
2024-11-07,42
2024-11-08,50
2024-11-09,54
2024-11-10,55
2024-11-11,47
2024-11-12,51
2024-11-13,58
2024-11-14,51
2024-11-15,54
2024-11-16,54
2024-11-17,56
2024-11-18,47
2024-11-19,46
2024-11-20,52
2024-11-21,48
2024-11-22,58
2024-11-23,55
2024-11-24,57
2024-11-25,50
2024-11-26,64
2024-11-27,87
2024-11-28,94
2024-11-29,100
2024-11-30,94
2024-12-01,90
2024-12-02,72
2024-12-03,63
2024-12-04,49
2024-12-05,46
2024-12-06,50
2024-12-07,56
2024-12-08,57
2024-12-09,43
2024-12-10,49
2024-12-11,43
2024-12-12,46
2024-12-13,51
2024-12-14,57
2024-12-15,59
2024-12-16,49
2024-12-17,52
2024-12-18,55
2024-12-19,72
2024-12-20,87
2024-12-21,54
2024-12-22,57
2024-12-23,51
2024-12-24,62
2024-12-25,75
2024-12-26,64
2024-12-27,55
2024-12-28,57
2024-12-29,60
2024-12-30,51
2024-12-31,55
2025-01-01,71
2025-01-02,56
2025-01-03,51
2025-01-04,61
2025-01-05,63
2025-01-06,46
2025-01-07,44
2025-01-08,46
2025-01-09,45
2025-01-10,52
2025-01-11,58
2025-01-12,61
2025-01-13,47
2025-01-14,46
2025-01-15,48
2025-01-16,42
2025-01-17,48
2025-01-18,51
2025-01-19,60
2025-01-20,51
2025-01-21,53
2025-01-22,42
2025-01-23,46
2025-01-24,45
2025-01-25,54
2025-01-26,58
2025-01-27,42
2025-01-28,47
2025-01-29,50
2025-01-30,45
2025-01-31,63
2025-02-01,66
2025-02-02,65
2025-02-03,44
2025-02-04,44
2025-02-05,48
2025-02-06,48
2025-02-07,56
2025-02-08,63
2025-02-09,66
2025-02-10,44
2025-02-11,47
2025-02-12,42
2025-02-13,46
2025-02-14,57
2025-02-15,65
2025-02-16,70
2025-02-17,52
2025-02-18,49
2025-02-19,49
2025-02-20,49
2025-02-21,56
2025-02-22,67
2025-02-23,64
2025-02-24,46
2025-02-25,45
2025-02-26,42
2025-02-27,45
2025-02-28,51
2025-03-01,58
2025-03-02,63
2025-03-03,53
2025-03-04,48
2025-03-05,56
2025-03-06,48
2025-03-07,51
2025-03-08,68
2025-03-09,74
2025-03-10,50
2025-03-11,49
2025-03-12,56
2025-03-13,54
2025-03-14,54
2025-03-15,65
2025-03-16,63
2025-03-17,51
2025-03-18,43
2025-03-19,44
2025-03-20,51
2025-03-21,51
2025-03-22,53
2025-03-23,56
2025-03-24,47
2025-03-25,43
2025-03-26,49
2025-03-27,47
2025-03-28,53
2025-03-29,58
2025-03-30,60
2025-03-31,44
2025-04-01,43
2025-04-02,41
2025-04-03,45
2025-04-04,43
2025-04-05,49
2025-04-06,55
2025-04-07,41
2025-04-08,41
2025-04-09,43
2025-04-10,41
2025-04-11,48
2025-04-12,50
2025-04-13,50
2025-04-14,43
2025-04-15,45
2025-04-16,43
2025-04-17,45
2025-04-18,44
2025-04-19,46
2025-04-20,53
2025-04-21,42
2025-04-22,42
2025-04-23,45
2025-04-24,46
2025-04-25,45
2025-04-26,54
2025-04-27,51
2025-04-28,44
2025-04-29,41
2025-04-30,44
2025-05-01,45
2025-05-02,52
2025-05-03,53
2025-05-04,63
2025-05-05,46
2025-05-06,48
2025-05-07,44
2025-05-08,46
2025-05-09,54
2025-05-10,51
2025-05-11,52
2025-05-12,56
2025-05-13,48
2025-05-14,51
