Time,disney plus
2023-04-26,57
2023-04-27,59
2023-04-28,75
2023-04-29,67
2023-04-30,78
2023-05-01,63
2023-05-02,58
2023-05-03,56
2023-05-04,68
2023-05-05,75
2023-05-06,66
2023-05-07,71
2023-05-08,63
2023-05-09,61
2023-05-10,61
2023-05-11,69
2023-05-12,80
2023-05-13,79
2023-05-14,76
2023-05-15,72
2023-05-16,75
2023-05-17,73
2023-05-18,73
2023-05-19,87
2023-05-20,73
2023-05-21,68
2023-05-22,72
2023-05-23,75
2023-05-24,75
2023-05-25,84
2023-05-26,91
2023-05-27,86
2023-05-28,83
2023-05-29,82
2023-05-30,74
2023-05-31,68
2023-06-01,66
2023-06-02,72
2023-06-03,76
2023-06-04,82
2023-06-05,72
2023-06-06,67
2023-06-07,72
2023-06-08,72
2023-06-09,69
2023-06-10,71
2023-06-11,79
2023-06-12,67
2023-06-13,64
2023-06-14,62
2023-06-15,66
2023-06-16,66
2023-06-17,71
2023-06-18,76
2023-06-19,72
2023-06-20,63
2023-06-21,70
2023-06-22,65
2023-06-23,71
2023-06-24,73
2023-06-25,79
2023-06-26,63
2023-06-27,60
2023-06-28,60
2023-06-29,57
2023-06-30,59
2023-07-01,69
2023-07-02,72
2023-07-03,66
2023-07-04,70
2023-07-05,59
2023-07-06,62
2023-07-07,74
2023-07-08,95
2023-07-09,89
2023-07-10,68
2023-07-11,60
2023-07-12,60
2023-07-13,63
2023-07-14,64
2023-07-15,75
2023-07-16,73
2023-07-17,67
2023-07-18,54
2023-07-19,55
2023-07-20,69
2023-07-21,61
2023-07-22,63
2023-07-23,65
2023-07-24,55
2023-07-25,57
2023-07-26,62
2023-07-27,63
2023-07-28,64
2023-07-29,74
2023-07-30,68
2023-07-31,56
2023-08-01,54
2023-08-02,57
2023-08-03,59
2023-08-04,57
2023-08-05,68
2023-08-06,69
2023-08-07,58
2023-08-08,52
2023-08-09,53
2023-08-10,58
2023-08-11,61
2023-08-12,59
2023-08-13,68
2023-08-14,57
2023-08-15,62
2023-08-16,63
2023-08-17,54
2023-08-18,59
2023-08-19,65
2023-08-20,73
2023-08-21,56
2023-08-22,57
2023-08-23,67
2023-08-24,54
2023-08-25,63
2023-08-26,72
2023-08-27,75
2023-08-28,54
2023-08-29,55
2023-08-30,58
2023-08-31,54
2023-09-01,75
2023-09-02,88
2023-09-03,78
2023-09-04,78
2023-09-05,56
2023-09-06,64
2023-09-07,65
2023-09-08,82
2023-09-09,96
2023-09-10,82
2023-09-11,59
2023-09-12,65
2023-09-13,66
2023-09-14,61
2023-09-15,64
2023-09-16,73
2023-09-17,74
2023-09-18,52
2023-09-19,56
2023-09-20,59
2023-09-21,55
2023-09-22,63
2023-09-23,75
2023-09-24,67
2023-09-25,56
2023-09-26,55
2023-09-27,61
2023-09-28,55
2023-09-29,62
2023-09-30,68
2023-10-01,95
2023-10-02,55
2023-10-03,54
2023-10-04,65
2023-10-05,64
2023-10-06,76
2023-10-07,73
2023-10-08,85
2023-10-09,71
2023-10-10,59
2023-10-11,65
2023-10-12,57
2023-10-13,69
2023-10-14,71
2023-10-15,72
2023-10-16,58
2023-10-17,54
2023-10-18,56
2023-10-19,54
2023-10-20,64
2023-10-21,64
2023-10-22,63
2023-10-23,51
2023-10-24,50
2023-10-25,55
2023-10-26,55
2023-10-27,67
2023-10-28,64
2023-10-29,60
2023-10-30,57
2023-10-31,79
2023-11-01,62
2023-11-02,56
2023-11-03,62
2023-11-04,66
2023-11-05,58
2023-11-06,54
2023-11-07,48
2023-11-08,50
2023-11-09,55
2023-11-10,60
2023-11-11,72
2023-11-12,69
2023-11-13,70
2023-11-14,51
2023-11-15,56
2023-11-16,53
2023-11-17,68
2023-11-18,60
2023-11-19,67
2023-11-20,61
2023-11-21,78
2023-11-22,83
2023-11-23,80
2023-11-24,79
2023-11-25,91
2023-11-26,92
2023-11-27,64
2023-11-28,61
2023-11-29,55
2023-11-30,53
2023-12-01,58
2023-12-02,63
2023-12-03,62
2023-12-04,51
2023-12-05,49
2023-12-06,57
2023-12-07,53
2023-12-08,57
2023-12-09,64
2023-12-10,67
2023-12-11,51
2023-12-12,51
2023-12-13,51
2023-12-14,56
2023-12-15,68
2023-12-16,57
2023-12-17,66
2023-12-18,61
2023-12-19,67
2023-12-20,96
2023-12-21,100
2023-12-22,94
2023-12-23,70
2023-12-24,70
2023-12-25,83
2023-12-26,69
2023-12-27,67
2023-12-28,63
2023-12-29,62
2023-12-30,62
2023-12-31,63
2024-01-01,75
2024-01-02,62
2024-01-03,61
2024-01-04,54
2024-01-05,57
2024-01-06,61
2024-01-07,62
2024-01-08,50
2024-01-09,51
2024-01-10,69
2024-01-11,56
2024-01-12,62
2024-01-13,65
2024-01-14,67
2024-01-15,59
2024-01-16,57
2024-01-17,61
2024-01-18,52
2024-01-19,57
2024-01-20,66
