Time,indeed jobs
2023-12-22,54
2023-12-23,39
2023-12-24,33
2023-12-25,32
2023-12-26,61
2023-12-27,75
2023-12-28,71
2023-12-29,62
2023-12-30,52
2023-12-31,45
2024-01-01,52
2024-01-02,89
2024-01-03,100
2024-01-04,98
2024-01-05,76
2024-01-06,58
2024-01-07,57
2024-01-08,84
2024-01-09,86
2024-01-10,90
2024-01-11,80
2024-01-12,70
2024-01-13,53
2024-01-14,52
2024-01-15,70
2024-01-16,82
2024-01-17,86
2024-01-18,79
2024-01-19,69
2024-01-20,54
2024-01-21,57
2024-01-22,84
2024-01-23,90
2024-01-24,88
2024-01-25,80
2024-01-26,61
2024-01-27,49
2024-01-28,49
2024-01-29,71
2024-01-30,73
2024-01-31,69
2024-02-01,68
2024-02-02,55
2024-02-03,47
2024-02-04,52
2024-02-05,64
2024-02-06,68
2024-02-07,71
2024-02-08,64
2024-02-09,55
2024-02-10,46
2024-02-11,41
2024-02-12,56
2024-02-13,65
2024-02-14,58
2024-02-15,61
2024-02-16,53
2024-02-17,45
2024-02-18,47
2024-02-19,63
2024-02-20,82
2024-02-21,65
2024-02-22,60
2024-02-23,58
2024-02-24,46
2024-02-25,42
2024-02-26,61
2024-02-27,60
2024-02-28,62
2024-02-29,63
2024-03-01,55
2024-03-02,45
2024-03-03,44
2024-03-04,64
2024-03-05,62
2024-03-06,58
2024-03-07,57
2024-03-08,51
2024-03-09,43
2024-03-10,43
2024-03-11,61
2024-03-12,63
2024-03-13,60
2024-03-14,55
2024-03-15,48
2024-03-16,39
2024-03-17,44
2024-03-18,61
2024-03-19,64
2024-03-20,61
2024-03-21,55
2024-03-22,51
2024-03-23,42
2024-03-24,43
2024-03-25,61
2024-03-26,60
2024-03-27,57
2024-03-28,59
2024-03-29,49
2024-03-30,39
2024-03-31,37
2024-04-01,64
2024-04-02,68
2024-04-03,63
2024-04-04,65
2024-04-05,54
2024-04-06,43
2024-04-07,41
2024-04-08,63
2024-04-09,63
2024-04-10,63
2024-04-11,61
2024-04-12,55
2024-04-13,43
2024-04-14,46
2024-04-15,64
2024-04-16,61
2024-04-17,61
2024-04-18,60
2024-04-19,55
2024-04-20,43
2024-04-21,46
2024-04-22,62
2024-04-23,66
2024-04-24,63
2024-04-25,61
2024-04-26,56
2024-04-27,42
2024-04-28,44
2024-04-29,63
2024-04-30,64
2024-05-01,60
2024-05-02,58
2024-05-03,52
2024-05-04,44
2024-05-05,44
2024-05-06,63
2024-05-07,62
2024-05-08,62
2024-05-09,58
2024-05-10,55
2024-05-11,44
2024-05-12,39
2024-05-13,64
2024-05-14,68
2024-05-15,63
2024-05-16,62
2024-05-17,55
2024-05-18,45
2024-05-19,47
2024-05-20,61
2024-05-21,66
2024-05-22,63
2024-05-23,63
2024-05-24,57
2024-05-25,42
2024-05-26,39
2024-05-27,50
2024-05-28,67
2024-05-29,69
2024-05-30,66
2024-05-31,55
2024-06-01,46
2024-06-02,47
2024-06-03,65
2024-06-04,66
2024-06-05,67
2024-06-06,65
2024-06-07,54
2024-06-08,43
2024-06-09,45
2024-06-10,64
2024-06-11,68
2024-06-12,63
2024-06-13,58
2024-06-14,53
2024-06-15,42
2024-06-16,42
2024-06-17,65
2024-06-18,67
2024-06-19,65
2024-06-20,56
2024-06-21,56
2024-06-22,42
2024-06-23,45
2024-06-24,65
2024-06-25,66
2024-06-26,65
2024-06-27,58
2024-06-28,54
2024-06-29,41
2024-06-30,40
2024-07-01,62
2024-07-02,61
2024-07-03,58
2024-07-04,39
2024-07-05,47
2024-07-06,41
2024-07-07,46
2024-07-08,62
2024-07-09,67
2024-07-10,64
2024-07-11,61
2024-07-12,56
2024-07-13,42
2024-07-14,39
2024-07-15,56
2024-07-16,64
2024-07-17,62
2024-07-18,62
2024-07-19,56
2024-07-20,40
2024-07-21,44
2024-07-22,63
2024-07-23,66
2024-07-24,66
2024-07-25,70
2024-07-26,59
2024-07-27,40
2024-07-28,45
2024-07-29,64
2024-07-30,69
2024-07-31,75
2024-08-01,60
2024-08-02,56
2024-08-03,43
2024-08-04,47
2024-08-05,62
2024-08-06,61
2024-08-07,62
2024-08-08,61
2024-08-09,58
2024-08-10,43
2024-08-11,45
2024-08-12,66
2024-08-13,69
2024-08-14,67
2024-08-15,64
2024-08-16,55
2024-08-17,45
2024-08-18,47
2024-08-19,65
2024-08-20,70
2024-08-21,60
2024-08-22,59
2024-08-23,54
2024-08-24,45
2024-08-25,46
2024-08-26,65
2024-08-27,61
2024-08-28,64
2024-08-29,61
2024-08-30,51
2024-08-31,37
2024-09-01,39
2024-09-02,54
2024-09-03,60
2024-09-04,59
2024-09-05,57
2024-09-06,49
2024-09-07,39
2024-09-08,43
2024-09-09,57
2024-09-10,59
2024-09-11,55
2024-09-12,55
2024-09-13,48
2024-09-14,38
2024-09-15,37
2024-09-16,55
