Time,indeed jobs
2023-04-26,81
2023-04-27,74
2023-04-28,62
2023-04-29,50
2023-04-30,52
2023-05-01,86
2023-05-02,86
2023-05-03,81
2023-05-04,77
2023-05-05,58
2023-05-06,53
2023-05-07,49
2023-05-08,85
2023-05-09,87
2023-05-10,82
2023-05-11,73
2023-05-12,62
2023-05-13,50
2023-05-14,44
2023-05-15,86
2023-05-16,91
2023-05-17,90
2023-05-18,85
2023-05-19,68
2023-05-20,54
2023-05-21,51
2023-05-22,91
2023-05-23,91
2023-05-24,84
2023-05-25,85
2023-05-26,65
2023-05-27,49
2023-05-28,49
2023-05-29,59
2023-05-30,93
2023-05-31,98
2023-06-01,87
2023-06-02,75
2023-06-03,50
2023-06-04,57
2023-06-05,89
2023-06-06,97
2023-06-07,95
2023-06-08,83
2023-06-09,69
2023-06-10,54
2023-06-11,52
2023-06-12,93
2023-06-13,91
2023-06-14,91
2023-06-15,84
2023-06-16,72
2023-06-17,52
2023-06-18,49
2023-06-19,88
2023-06-20,94
2023-06-21,96
2023-06-22,88
2023-06-23,82
2023-06-24,55
2023-06-25,55
2023-06-26,92
2023-06-27,95
2023-06-28,93
2023-06-29,83
2023-06-30,68
2023-07-01,47
2023-07-02,50
2023-07-03,68
2023-07-04,54
2023-07-05,81
2023-07-06,91
2023-07-07,77
2023-07-08,55
2023-07-09,54
2023-07-10,90
2023-07-11,89
2023-07-12,84
2023-07-13,79
2023-07-14,70
2023-07-15,54
2023-07-16,54
2023-07-17,87
2023-07-18,91
2023-07-19,81
2023-07-20,73
2023-07-21,64
2023-07-22,55
2023-07-23,54
2023-07-24,87
2023-07-25,87
2023-07-26,88
2023-07-27,80
2023-07-28,73
2023-07-29,53
2023-07-30,57
2023-07-31,77
2023-08-01,87
2023-08-02,85
2023-08-03,80
2023-08-04,63
2023-08-05,53
2023-08-06,53
2023-08-07,88
2023-08-08,81
2023-08-09,89
2023-08-10,82
2023-08-11,72
2023-08-12,54
2023-08-13,53
2023-08-14,83
2023-08-15,88
2023-08-16,89
2023-08-17,83
2023-08-18,69
2023-08-19,51
2023-08-20,54
2023-08-21,90
2023-08-22,100
2023-08-23,92
2023-08-24,78
2023-08-25,60
2023-08-26,57
2023-08-27,52
2023-08-28,81
2023-08-29,85
2023-08-30,83
2023-08-31,73
2023-09-01,56
2023-09-02,47
2023-09-03,49
2023-09-04,59
2023-09-05,84
2023-09-06,84
2023-09-07,78
2023-09-08,59
2023-09-09,51
2023-09-10,50
2023-09-11,81
2023-09-12,88
2023-09-13,76
2023-09-14,73
2023-09-15,62
2023-09-16,46
2023-09-17,48
2023-09-18,85
2023-09-19,80
2023-09-20,81
2023-09-21,79
2023-09-22,61
2023-09-23,47
2023-09-24,51
2023-09-25,82
2023-09-26,84
2023-09-27,84
2023-09-28,68
2023-09-29,64
2023-09-30,49
2023-10-01,49
2023-10-02,76
2023-10-03,83
2023-10-04,80
2023-10-05,67
2023-10-06,60
2023-10-07,48
2023-10-08,49
2023-10-09,74
2023-10-10,78
2023-10-11,79
2023-10-12,69
2023-10-13,56
2023-10-14,44
2023-10-15,48
2023-10-16,76
2023-10-17,82
2023-10-18,76
2023-10-19,69
2023-10-20,58
2023-10-21,45
2023-10-22,48
2023-10-23,77
2023-10-24,80
2023-10-25,74
2023-10-26,71
2023-10-27,57
2023-10-28,44
2023-10-29,45
2023-10-30,73
2023-10-31,72
2023-11-01,78
2023-11-02,74
2023-11-03,60
2023-11-04,50
2023-11-05,51
2023-11-06,77
2023-11-07,86
2023-11-08,77
2023-11-09,72
2023-11-10,62
2023-11-11,49
2023-11-12,49
2023-11-13,75
2023-11-14,84
2023-11-15,72
2023-11-16,66
2023-11-17,59
2023-11-18,44
2023-11-19,42
2023-11-20,62
2023-11-21,59
2023-11-22,49
2023-11-23,33
2023-11-24,44
2023-11-25,48
2023-11-26,49
2023-11-27,72
2023-11-28,76
2023-11-29,74
2023-11-30,68
2023-12-01,57
2023-12-02,48
2023-12-03,43
2023-12-04,66
2023-12-05,76
2023-12-06,65
2023-12-07,61
2023-12-08,55
2023-12-09,43
2023-12-10,47
2023-12-11,67
2023-12-12,71
2023-12-13,69
2023-12-14,57
2023-12-15,50
2023-12-16,42
2023-12-17,42
2023-12-18,55
2023-12-19,62
2023-12-20,55
2023-12-21,56
2023-12-22,49
2023-12-23,35
2023-12-24,30
2023-12-25,29
2023-12-26,55
2023-12-27,67
2023-12-28,64
2023-12-29,55
2023-12-30,47
2023-12-31,40
2024-01-01,47
2024-01-02,80
2024-01-03,90
2024-01-04,88
2024-01-05,69
2024-01-06,52
2024-01-07,51
2024-01-08,75
2024-01-09,77
2024-01-10,81
2024-01-11,72
2024-01-12,63
2024-01-13,48
2024-01-14,47
2024-01-15,63
2024-01-16,74
2024-01-17,78
2024-01-18,71
2024-01-19,62
2024-01-20,48
