Time,nba
2022-01-01,28
2022-01-02,27
2022-01-03,22
2022-01-04,29
2022-01-05,27
2022-01-06,24
2022-01-07,25
2022-01-08,32
2022-01-09,29
2022-01-10,31
2022-01-11,24
2022-01-12,28
2022-01-13,28
2022-01-14,22
2022-01-15,31
2022-01-16,24
2022-01-17,23
2022-01-18,23
2022-01-19,21
2022-01-20,26
2022-01-21,25
2022-01-22,32
2022-01-23,24
2022-01-24,28
2022-01-25,18
2022-01-26,27
2022-01-27,24
2022-01-28,31
2022-01-29,33
2022-01-30,34
2022-01-31,21
2022-02-01,27
2022-02-02,27
2022-02-03,27
2022-02-04,30
2022-02-05,30
2022-02-06,37
2022-02-07,26
2022-02-08,31
2022-02-09,38
2022-02-10,40
2022-02-11,37
2022-02-12,32
2022-02-13,36
2022-02-14,18
2022-02-15,27
2022-02-16,27
2022-02-17,31
2022-02-18,29
2022-02-19,31
2022-02-20,36
2022-02-21,45
2022-02-22,15
2022-02-23,16
2022-02-24,15
2022-02-25,27
2022-02-26,33
2022-02-27,36
2022-02-28,26
2022-03-01,25
2022-03-02,26
2022-03-03,25
2022-03-04,29
2022-03-05,30
2022-03-06,38
2022-03-07,25
2022-03-08,27
2022-03-09,26
2022-03-10,28
2022-03-11,27
2022-03-12,34
2022-03-13,39
2022-03-14,26
2022-03-15,33
2022-03-16,25
2022-03-17,29
2022-03-18,20
2022-03-19,32
2022-03-20,35
2022-03-21,26
2022-03-22,28
2022-03-23,24
2022-03-24,30
2022-03-25,24
2022-03-26,30
2022-03-27,35
2022-03-28,27
2022-03-29,26
2022-03-30,29
2022-03-31,29
2022-04-01,30
2022-04-02,38
2022-04-03,43
2022-04-04,27
2022-04-05,22
2022-04-06,36
2022-04-07,28
2022-04-08,30
2022-04-09,31
2022-04-10,35
2022-04-11,38
2022-04-12,26
2022-04-13,46
2022-04-14,36
2022-04-15,27
2022-04-16,68
2022-04-17,81
2022-04-18,49
2022-04-19,54
2022-04-20,51
2022-04-21,54
2022-04-22,56
2022-04-23,76
2022-04-24,89
2022-04-25,55
2022-04-26,60
2022-04-27,55
2022-04-28,56
2022-04-29,54
2022-04-30,52
2022-05-01,61
2022-05-02,30
2022-05-03,47
2022-05-04,49
2022-05-05,47
2022-05-06,36
2022-05-07,69
2022-05-08,72
2022-05-09,46
2022-05-10,56
2022-05-11,51
2022-05-12,61
2022-05-13,60
2022-05-14,83
2022-05-15,85
2022-05-16,67
2022-05-17,37
2022-05-18,63
2022-05-19,55
2022-05-20,51
2022-05-21,67
2022-05-22,67
2022-05-23,54
2022-05-24,50
2022-05-25,55
2022-05-26,49
2022-05-27,59
2022-05-28,60
2022-05-29,41
2022-05-30,78
2022-05-31,24
2022-06-01,22
2022-06-02,32
2022-06-03,74
2022-06-04,29
2022-06-05,45
2022-06-06,61
2022-06-07,25
2022-06-08,33
2022-06-09,73
2022-06-10,32
2022-06-11,81
2022-06-12,38
2022-06-13,39
2022-06-14,81
2022-06-15,30
2022-06-16,41
2022-06-17,100
2022-06-18,20
2022-06-19,16
2022-06-20,14
2022-06-21,16
2022-06-22,17
2022-06-23,33
2022-06-24,65
2022-06-25,18
2022-06-26,14
2022-06-27,13
2022-06-28,12
2022-06-29,14
2022-06-30,19
2022-07-01,22
2022-07-02,19
2022-07-03,17
2022-07-04,15
2022-07-05,13
2022-07-06,15
2022-07-07,14
2022-07-08,14
2022-07-09,14
2022-07-10,13
2022-07-11,12
2022-07-12,11
2022-07-13,11
2022-07-14,11
2022-07-15,12
2022-07-16,12
2022-07-17,12
2022-07-18,9
2022-07-19,9
2022-07-20,8
2022-07-21,8
2022-07-22,8
2022-07-23,8
2022-07-24,8
2022-07-25,7
2022-07-26,8
2022-07-27,7
2022-07-28,7
2022-07-29,7
2022-07-30,7
2022-07-31,9
2022-08-01,7
2022-08-02,7
2022-08-03,6
2022-08-04,7
2022-08-05,7
2022-08-06,8
2022-08-07,7
2022-08-08,7
2022-08-09,7
2022-08-10,6
2022-08-11,7
2022-08-12,7
2022-08-13,7
2022-08-14,7
2022-08-15,7
2022-08-16,7
2022-08-17,8
2022-08-18,7
2022-08-19,7
2022-08-20,7
2022-08-21,7
2022-08-22,6
2022-08-23,6
2022-08-24,6
2022-08-25,7
2022-08-26,6
2022-08-27,6
2022-08-28,6
2022-08-29,6
2022-08-30,6
2022-08-31,6
2022-09-01,8
2022-09-02,7
2022-09-03,6
2022-09-04,7
2022-09-05,8
2022-09-06,8
2022-09-07,8
2022-09-08,8
2022-09-09,9
2022-09-10,9
2022-09-11,8
2022-09-12,7
2022-09-13,7
2022-09-14,7
2022-09-15,7
2022-09-16,6
2022-09-17,7
2022-09-18,7
2022-09-19,6
2022-09-20,6
2022-09-21,7
2022-09-22,7
2022-09-23,7
2022-09-24,7
2022-09-25,7
2022-09-26,7
2022-09-27,7
