Time,rangers
2023-12-22,14
2023-12-23,20
2023-12-24,17
2023-12-25,12
2023-12-26,10
2023-12-27,12
2023-12-28,16
2023-12-29,12
2023-12-30,17
2023-12-31,16
2024-01-01,11
2024-01-02,11
2024-01-03,15
2024-01-04,11
2024-01-05,15
2024-01-06,12
2024-01-07,16
2024-01-08,10
2024-01-09,13
2024-01-10,9
2024-01-11,10
2024-01-12,14
2024-01-13,15
2024-01-14,15
2024-01-15,10
2024-01-16,10
2024-01-17,13
2024-01-18,10
2024-01-19,12
2024-01-20,12
2024-01-21,14
2024-01-22,12
2024-01-23,10
2024-01-24,14
2024-01-25,10
2024-01-26,12
2024-01-27,17
2024-01-28,15
2024-01-29,9
2024-01-30,9
2024-01-31,9
2024-02-01,8
2024-02-02,9
2024-02-03,10
2024-02-04,10
2024-02-05,10
2024-02-06,14
2024-02-07,12
2024-02-08,14
2024-02-09,11
2024-02-10,16
2024-02-11,10
2024-02-12,10
2024-02-13,14
2024-02-14,11
2024-02-15,12
2024-02-16,16
2024-02-17,14
2024-02-18,38
2024-02-19,18
2024-02-20,13
2024-02-21,16
2024-02-22,12
2024-02-23,21
2024-02-24,24
2024-02-25,21
2024-02-26,15
2024-02-27,12
2024-02-28,13
2024-02-29,18
2024-03-01,13
2024-03-02,15
2024-03-03,21
2024-03-04,14
2024-03-05,16
2024-03-06,14
2024-03-07,15
2024-03-08,16
2024-03-09,16
2024-03-10,20
2024-03-11,14
2024-03-12,19
2024-03-13,15
2024-03-14,13
2024-03-15,15
2024-03-16,18
2024-03-17,21
2024-03-18,13
2024-03-19,13
2024-03-20,16
2024-03-21,13
2024-03-22,17
2024-03-23,16
2024-03-24,22
2024-03-25,14
2024-03-26,17
2024-03-27,22
2024-03-28,34
2024-03-29,60
2024-03-30,35
2024-03-31,55
2024-04-01,25
2024-04-02,31
2024-04-03,31
2024-04-04,36
2024-04-05,27
2024-04-06,51
2024-04-07,47
2024-04-08,32
2024-04-09,32
2024-04-10,32
2024-04-11,30
2024-04-12,22
2024-04-13,46
2024-04-14,31
2024-04-15,20
2024-04-16,32
2024-04-17,27
2024-04-18,28
2024-04-19,22
2024-04-20,31
2024-04-21,63
2024-04-22,28
2024-04-23,28
2024-04-24,42
2024-04-25,31
2024-04-26,29
2024-04-27,50
2024-04-28,41
2024-04-29,42
2024-04-30,16
2024-05-01,29
2024-05-02,32
2024-05-03,24
2024-05-04,27
2024-05-05,68
2024-05-06,25
2024-05-07,39
2024-05-08,73
2024-05-09,39
2024-05-10,62
2024-05-11,50
2024-05-12,68
2024-05-13,34
2024-05-14,58
2024-05-15,38
2024-05-16,44
2024-05-17,71
2024-05-18,39
2024-05-19,43
2024-05-20,22
2024-05-21,22
2024-05-22,35
2024-05-23,71
2024-05-24,30
2024-05-25,92
2024-05-26,94
2024-05-27,42
2024-05-28,34
2024-05-29,86
2024-05-30,34
2024-05-31,78
2024-06-01,47
2024-06-02,100
2024-06-03,18
2024-06-04,18
2024-06-05,19
2024-06-06,16
2024-06-07,15
2024-06-08,24
2024-06-09,23
2024-06-10,12
2024-06-11,12
2024-06-12,19
2024-06-13,17
2024-06-14,18
2024-06-15,20
2024-06-16,21
2024-06-17,14
2024-06-18,18
2024-06-19,19
2024-06-20,16
2024-06-21,15
2024-06-22,23
2024-06-23,20
2024-06-24,13
2024-06-25,16
2024-06-26,17
2024-06-27,14
2024-06-28,15
2024-06-29,20
2024-06-30,24
2024-07-01,21
2024-07-02,15
2024-07-03,18
2024-07-04,27
2024-07-05,14
2024-07-06,21
2024-07-07,19
2024-07-08,13
2024-07-09,17
2024-07-10,17
2024-07-11,16
2024-07-12,13
2024-07-13,22
2024-07-14,19
2024-07-15,13
2024-07-16,12
2024-07-17,12
2024-07-18,10
2024-07-19,12
2024-07-20,29
2024-07-21,22
2024-07-22,13
2024-07-23,18
2024-07-24,17
2024-07-25,23
2024-07-26,15
2024-07-27,23
2024-07-28,17
2024-07-29,13
2024-07-30,17
2024-07-31,18
2024-08-01,12
2024-08-02,12
2024-08-03,20
2024-08-04,25
2024-08-05,13
2024-08-06,19
2024-08-07,22
2024-08-08,11
2024-08-09,12
2024-08-10,25
2024-08-11,22
2024-08-12,12
2024-08-13,17
2024-08-14,15
2024-08-15,16
2024-08-16,17
2024-08-17,17
2024-08-18,20
2024-08-19,11
2024-08-20,15
2024-08-21,17
2024-08-22,11
2024-08-23,11
2024-08-24,16
2024-08-25,19
2024-08-26,10
2024-08-27,10
2024-08-28,16
2024-08-29,15
2024-08-30,12
2024-08-31,15
2024-09-01,19
2024-09-02,14
2024-09-03,18
2024-09-04,17
2024-09-05,18
2024-09-06,13
2024-09-07,15
2024-09-08,16
2024-09-09,10
2024-09-10,10
2024-09-11,14
2024-09-12,11
2024-09-13,14
2024-09-14,18
2024-09-15,18
2024-09-16,10
