cluster,n_terms,mean_within_consensus,p10_within_consensus,max_mean_between_consensus,consensus_margin,silhouette_mean,silhouette_median,silhouette_p10,negative_silhouette_share
1,90,0.5797656979659537,0.0434782608695652,0.1415897053323272,0.4381759926336264,0.2589149401571262,0.2943766557390853,0.0666603248304761,0.0111111111111111
2,46,0.7497681522325776,0.2195121951219512,0.0803059417826254,0.6694622104499521,0.0966862030338877,0.1250281402653396,-0.0484449994027429,0.1304347826086956
3,40,0.8195231746696009,0.4347005742411813,0.0621168888311308,0.75740628583847,0.0645184778869282,0.0649424474927709,-0.0212302250175655,0.175
4,58,0.7618045738909016,0.4909090909090909,0.0553931337406171,0.7064114401502845,0.1760481805025381,0.1868970764743039,0.0358307531824335,0.0517241379310344
5,72,0.6721248936787514,0.2633727175080559,0.0849260681625361,0.5871988255162153,0.1118200346076605,0.1238239279787377,-0.0101541801549466,0.125
6,80,0.8195597241883138,0.6140350877192983,0.1798401075182372,0.6397196166700765,0.1822705196414779,0.1887099471425257,0.0973358399251283,0.0125
7,25,0.9865417850185396,0.9284415584415584,0.0714466242778682,0.9150951607406712,0.2397374693499247,0.2389882550199832,0.1395481938284835,0.0
8,301,0.3738439348929164,0.1296296296296296,0.3117182798571101,0.0621256550358062,-0.1133658478232466,-0.1018336782929843,-0.1876087122945156,1.0
9,47,0.7066041934484149,0.2666666666666666,0.3276736664967934,0.3789305269516214,0.1969038573954718,0.193607055570214,0.0248193801631075,0.0425531914893617
10,88,0.402638598486698,0.1203448275862069,0.3276736664967935,0.0749649319899044,-0.1155692656942863,-0.1082793568559201,-0.1842871860391788,1.0
