Time,dallas_mavericks
2022-01-01,5.0
2022-01-02,4.0
2022-01-03,5.0
2022-01-04,7.0
2022-01-05,6.0
2022-01-06,11.0
2022-01-07,5.0
2022-01-08,7.0
2022-01-09,5.0
2022-01-10,7.0
2022-01-11,4.0
2022-01-12,5.0
2022-01-13,6.0
2022-01-14,3.0
2022-01-15,11.0
2022-01-16,7.0
2022-01-17,5.0
2022-01-18,7.0
2022-01-19,4.0
2022-01-20,9.0
2022-01-21,9.0
2022-01-22,4.0
2022-01-23,4.0
2022-01-24,8.0
2022-01-25,4.0
2022-01-26,9.0
2022-01-27,7.0
2022-01-28,4.0
2022-01-29,6.0
2022-01-30,9.0
2022-01-31,6.0
2022-02-01,4.0
2022-02-02,4.0
2022-02-03,6.0
2022-02-04,6.0
2022-02-05,14.0
2022-02-06,8.0
2022-02-07,10.0
2022-02-08,6.0
2022-02-09,10.0
2022-02-10,12.0
2022-02-11,15.0
2022-02-12,8.0
2022-02-13,8.0
2022-02-14,3.0
2022-02-15,6.0
2022-02-16,9.0
2022-02-17,5.0
2022-02-18,9.0
2022-02-19,4.0
2022-02-20,4.0
2022-02-21,3.0
2022-02-22,3.0
2022-02-23,3.0
2022-02-24,3.0
2022-02-25,4.0
2022-02-26,8.0
2022-02-27,5.0
2022-02-28,11.0
2022-03-01,5.0
2022-03-02,11.0
2022-03-03,6.0
2022-03-04,11.0
2022-03-05,8.0
2022-03-06,9.0
2022-03-07,6.0
2022-03-08,10.0
2022-03-09,5.0
2022-03-10,9.0
2022-03-11,4.0
2022-03-12,7.0
2022-03-13,11.0
2022-03-14,6.0
2022-03-15,5.0
2022-03-16,5.0
2022-03-17,12.0
2022-03-18,7.0
2022-03-19,10.0
2022-03-20,7.0
2022-03-21,6.0
2022-03-22,11.0
2022-03-23,5.0
2022-03-24,8.0
2022-03-25,5.0
2022-03-26,7.0
2022-03-27,6.0
2022-03-28,7.0
2022-03-29,5.0
2022-03-30,13.0
2022-03-31,10.0
2022-04-01,6.0
2022-04-02,8.0
2022-04-03,12.0
2022-04-04,5.0
2022-04-05,4.0
2022-04-06,6.0
2022-04-07,7.0
2022-04-08,5.0
2022-04-09,9.0
2022-04-10,8.0
2022-04-11,12.0
2022-04-12,4.0
2022-04-13,4.0
2022-04-14,4.0
2022-04-15,4.0
2022-04-16,21.0
2022-04-17,8.0
2022-04-18,9.0
2022-04-19,23.0
2022-04-20,7.0
2022-04-21,10.0
2022-04-22,27.0
2022-04-23,28.0
2022-04-24,12.0
2022-04-25,10.0
2022-04-26,28.0
2022-04-27,9.0
2022-04-28,11.0
2022-04-29,39.0
2022-04-30,9.0
2022-05-01,9.0
2022-05-02,9.0
2022-05-03,24.0
2022-05-04,9.0
2022-05-05,23.0
2022-05-06,9.0
2022-05-07,35.0
2022-05-08,36.0
2022-05-09,16.0
2022-05-10,11.0
2022-05-11,29.0
2022-05-12,14.0
2022-05-13,45.0
2022-05-14,25.0
2022-05-15,35.0
2022-05-16,100.0
2022-05-17,18.0
2022-05-18,22.0
2022-05-19,53.0
2022-05-20,17.0
2022-05-21,65.0
2022-05-22,28.0
2022-05-23,58.0
2022-05-24,16.0
2022-05-25,62.0
2022-05-26,19.0
2022-05-27,47.0
2022-05-28,7.0
2022-05-29,5.0
2022-05-30,5.0
2022-05-31,4.0
2022-06-01,3.0
2022-06-02,2.0
2022-06-03,3.0
2022-06-04,3.0
2022-06-05,3.0
2022-06-06,3.0
2022-06-07,2.0
2022-06-08,2.0
2022-06-09,2.0
2022-06-10,2.0
2022-06-11,2.0
2022-06-12,3.0
2022-06-13,2.0
2022-06-14,3.0
2022-06-15,3.0
2022-06-16,9.0
2022-06-17,5.0
2022-06-18,4.0
2022-06-19,4.0
2022-06-20,4.0
2022-06-21,4.0
2022-06-22,4.0
2022-06-23,5.0
2022-06-24,10.0
2022-06-25,5.0
2022-06-26,4.0
2022-06-27,4.0
2022-06-28,5.0
2022-06-29,6.0
2022-06-30,9.0
2022-07-01,12.0
2022-07-02,8.0
2022-07-03,7.0
2022-07-04,7.0
2022-07-05,5.0
2022-07-06,5.0
2022-07-07,5.0
2022-07-08,5.0
2022-07-09,5.0
2022-07-10,4.0
2022-07-11,5.0
2022-07-12,5.0
2022-07-13,4.0
2022-07-14,4.0
2022-07-15,4.0
2022-07-16,4.0
2022-07-17,4.0
2022-07-18,3.0
2022-07-19,3.0
2022-07-20,4.0
2022-07-21,3.0
2022-07-22,3.0
2022-07-23,2.0
2022-07-24,3.0
2022-07-25,2.0
2022-07-26,3.0
2022-07-27,3.0
2022-07-28,2.0
2022-07-29,3.0
2022-07-30,2.0
2022-07-31,2.0
2022-08-01,2.0
2022-08-02,2.0
2022-08-03,2.0
2022-08-04,2.0
2022-08-05,2.0
2022-08-06,2.0
2022-08-07,2.0
2022-08-08,2.0
2022-08-09,2.0
2022-08-10,2.0
2022-08-11,2.0
