Time,redemption
2022-07-05,56.628970726671675
2022-07-06,70.1402778316888
2022-07-07,56.67455958446247
2022-07-08,60.29719332521644
2022-07-09,70.22496838727707
2022-07-10,74.75662081327314
2022-07-11,66.67727984010051
2022-07-12,67.60549039501821
2022-07-13,56.811436150350296
2022-07-14,55.93213376219396
2022-07-15,55.954604712096064
2022-07-16,88.4799009174642
2022-07-17,75.87037180627338
2022-07-18,61.443532812819434
2022-07-19,65.08397452001289
2022-07-20,61.49286844951379
2022-07-21,56.9941948874034
2022-07-22,57.92209305714965
2022-07-23,66.0938876085293
2022-07-24,70.64918718452236
2022-07-25,58.89792819284049
2022-07-26,64.36044970292747
2022-07-27,59.85200197124265
2022-07-28,63.504832656613765
2022-07-29,59.899972982489636
2022-07-30,68.09541555682274
2022-07-31,75.38910523482814
2022-08-01,60.88063165288752
2022-08-02,69.0862715019457
2022-08-03,56.38240971250584
2022-08-04,55.49521327326632
2022-08-05,53.69717186260918
2022-08-06,64.64447703834843
2022-08-07,71.95712629461424
2022-08-08,63.78497163644268
2022-08-09,59.25257870062482
2022-08-10,51.98072021642584
2022-08-11,64.773786972329
2022-08-12,52.02226582934989
2022-08-13,61.17340360222796
2022-08-14,68.5050368795354
2022-08-15,52.99838052935078
2022-08-16,53.93366670191746
2022-08-17,50.29721286735385
2022-08-18,49.40242312278297
2022-08-19,48.50690741766483
2022-08-20,79.65630579686817
2022-08-21,62.284929670440334
2022-08-22,45.816002356635586
2022-08-23,51.33437785935676
2022-08-24,45.852533172391574
2022-08-25,43.118555794072655
2022-08-26,45.88907853742207
2022-08-27,58.76141654517156
2022-08-28,64.29589383241797
2022-08-29,50.81715920320676
2022-08-30,50.83241323549343
2022-08-31,45.53582939397155
2022-09-01,43.77834275513897
2022-09-02,46.448989689421545
2022-09-03,54.43787337481562
2022-09-04,59.42562208659473
2022-09-05,74.70907840569178
2022-09-06,72.4177953442232
2022-09-07,48.29300032827089
2022-09-08,46.53259432081743
2022-09-09,45.1185166476256
2022-09-10,54.55222902412412
2022-09-11,61.32686373931234
2022-09-12,45.699861125351305
2022-09-13,46.60231489648504
2022-09-14,46.6162644715645
2022-09-15,46.630215866625925
2022-09-16,47.53374267638767
2022-09-17,55.556529886846185
2022-09-18,56.114832228721376
2022-09-19,51.13791288049329
2022-09-20,47.59064187587153
2022-09-21,46.71396245661605
2022-09-22,43.512117079106375
2022-09-23,44.95900613275434
2022-09-24,50.32270205939829
2022-09-25,55.34036545508101
2022-09-26,45.34866844037638
2022-09-27,43.18707928318526
2022-09-28,40.61190527214844
2022-09-29,39.763534524936354
2022-09-30,44.10308149023498
2022-10-01,50.17626465716029
2022-10-02,51.061537396793426
2022-10-03,44.15537307379986
2022-10-04,43.30667694327352
2022-10-05,46.78967787958614
2022-10-06,44.20769561954358
2022-10-07,47.69378204261756
2022-10-08,67.66514455681354
2022-10-09,54.674178333928786
2022-10-10,46.01388000773858
2022-10-11,44.29496866729169
2022-10-12,44.3124335975676
2022-10-13,43.4606882040055
2022-10-14,45.21693012745054
2022-10-15,52.19394003511519
2022-10-16,64.39788728158477
2022-10-17,45.270394359491895
2022-10-18,47.901004869350764
2022-10-19,47.04859528547045
2022-10-20,42.70905034384364
2022-10-21,47.08564176805951
2022-10-22,52.33796719251994
2022-10-23,59.33969984877455
2022-10-24,48.01422471542957
2022-10-25,45.41311998363973
2022-10-26,49.79933959353864
2022-10-27,45.44883646665491
2022-10-28,48.08977881411555
2022-10-29,54.23159909208859
2022-10-30,64.75346874845077
2022-10-31,43.76953031255689
2022-11-01,44.66245465392583
2022-11-02,44.679991829285754
2022-11-03,45.573954649689476
2022-11-04,45.59184270662856
2022-11-05,68.41460140689821
2022-11-06,56.1570822690464
2022-11-07,47.40112515146479
2022-11-08,55.3230017445361
2022-11-09,43.92436116037628
2022-11-10,44.820413080880485
2022-11-11,47.4755095253851
2022-11-12,58.04836244214133
2022-11-13,56.311376080593675
2022-11-14,45.770916199399664
2022-11-15,42.26662416093675
2022-11-16,48.44947143207745
2022-11-17,51.11217279895453
2022-11-18,46.724233116124985
2022-11-19,54.679927654540805
2022-11-20,67.93551359944139
2022-11-21,52.95747271426143
2022-11-22,49.446306590002855
2022-11-23,54.76553268395319
2022-11-24,60.08890675793861
2022-11-25,64.53242421499786
2022-11-26,64.5576446288297
2022-11-27,70.77574790896401
2022-11-28,53.98759060256385
2022-11-29,49.58173675742872
2022-11-30,47.829631211633675
2022-12-01,48.734385354939384
2022-12-02,55.84481428563571
2022-12-03,55.86660959623349
2022-12-04,62.09823239615787
2022-12-05,47.92303968562415
2022-12-06,60.371070314092705
2022-12-07,52.40120899695616
2022-12-08,52.4216403777492
2022-12-09,51.553226997100836
2022-12-10,60.465271616473466
2022-12-11,68.4947084196288
2022-12-12,55.17307039640057
2022-12-13,49.853152387828075
2022-12-14,52.54431224015368
2022-12-15,50.78291481981765
2022-12-16,51.69395953565073
2022-12-17,58.84705636253597
2022-12-18,61.545863431975114
2022-12-19,57.10822859831871
2022-12-20,54.452453730337425
2022-12-21,61.617713972072416
2022-12-22,60.748315874603975
2022-12-23,62.55934249718006
2022-12-24,65.26581546896921
2022-12-25,76.9183748910346
2022-12-26,78.73775508087203
2022-12-27,74.29286782535978
2022-12-28,70.73995250568981
2022-12-29,76.14216257497401
2022-12-30,69.89875827141368
2022-12-31,77.99426221863838
2023-01-01,72.64352857857095
2023-01-02,76.22799282252858
2023-01-03,59.18656559060568
2023-01-04,65.46146340524672
2023-01-05,60.07880659299214
2023-01-06,62.766538566609796
2023-01-07,73.52374756084953
2023-01-08,77.10736774097875
2023-01-09,59.17319305664305
2023-01-10,52.89525603811579
2023-01-11,63.65121570915667
2023-01-12,57.373582643098864
2023-01-13,54.68213618458081
2023-01-14,64.54041808574027
2023-01-15,79.77612273238313
2023-01-16,75.2914817649523
2023-01-17,60.94795109859194
2023-01-18,60.04939544436697
2023-01-19,60.94335908087575
2023-01-20,62.733447316672006
2023-01-21,76.17345894763808
2023-01-22,82.44346107904066
2023-01-23,62.7263569576577
2023-01-24,56.45159419817222
2023-01-25,58.241513732839906
2023-01-26,55.55135061073021
2023-01-27,58.237124667188105
2023-01-28,69.8819162020775
2023-01-29,74.35872403785768
2023-01-30,60.02225020008552
2023-01-31,60.915808968547246
2023-02-01,59.121939360144026
2023-02-02,60.015464415259515
2023-02-03,60.01320253376145
2023-02-04,82.40308271880576
2023-02-05,83.29562883890456
2023-02-06,58.21518070035733
2023-02-07,57.31740202187995
2023-02-08,49.255285690157294
2023-02-09,50.148945928542226
2023-02-10,49.251572402964584
2023-02-11,63.57690583563463
2023-02-12,69.84241849128165
2023-02-13,46.559857018926955
2023-02-14,49.24414605897472
2023-02-15,58.19543307024473
2023-02-16,56.40267780249428
2023-02-17,65.35301972160406
2023-02-18,89.52130913123433
2023-02-19,76.98542302262173
2023-02-20,63.55533646268165
2023-02-21,58.18226900457413
2023-02-22,59.07515315109253
2023-02-23,70.70850172265241
2023-02-24,58.17568727806017
2023-02-25,67.12326163223437
2023-02-26,72.49038869970398
2023-02-27,58.16910575576043
2023-02-28,51.007907411405576
2023-03-01,50.11114182323166
2023-03-02,47.42482761841185
2023-03-03,47.42303888690947
2023-03-04,59.05287757505593
2023-03-05,66.2083047070995
2023-03-06,50.10169201869852
2023-03-07,50.99444143994585
2023-03-08,49.203306658124
2023-03-09,49.20145054251741
2023-03-10,50.09413252694882
2023-03-11,61.720799044623924
2023-03-12,68.8742352352536
2023-03-13,55.4550841612621
2023-03-14,50.980976443478134
2023-03-15,50.084683602107724
2023-03-16,48.29412266593616
2023-03-17,50.9752060291732
2023-03-18,59.02169563924967
2023-03-19,64.3848747610007
2023-03-20,52.75783704987645
2023-03-21,50.96751242200243
2023-03-22,51.85972221153237
2023-03-23,50.06956633889499
2023-03-24,54.53800505190568
2023-03-25,75.09868082786839
2023-03-26,64.3678684556708
2023-03-27,50.0620081764577
2023-03-28,50.06011868472016
2023-03-29,50.05822921253134
2023-03-30,50.05633975989122
2023-03-31,50.948279796921234
2023-04-01,65.24708833335305
2023-04-02,59.88205342483269
2023-04-03,50.04878214481788
2023-04-04,47.365809247604105
2023-04-05,47.364021126649895
2023-04-06,48.255860062389544
2023-04-07,75.06183726378589
2023-04-08,62.54916945727777
2023-04-09,65.2273853666581
2023-04-10,51.8225412521744
2023-04-11,50.92712620752739
2023-04-12,50.0317786545025
2023-04-13,51.81667124252808
2023-04-14,48.2412860191301
2023-04-15,66.10593262579091
2023-04-16,76.8229124430848
2023-04-17,50.91558890082744
2023-04-18,47.340777237877994
2023-04-19,48.232177854735625
2023-04-20,48.23035627840836
2023-04-21,49.12165573428223
2023-04-22,61.62302239961253
2023-04-23,66.97901619795809
2023-04-24,51.79514943283472
2023-04-25,49.114234766188154
2023-04-26,50.659333345564704
2023-04-27,53.09682197514674
2023-04-28,47.164063323890495
2023-04-29,59.74245475493103
2023-04-30,73.70644142112965
2023-05-01,56.580850191278095
2023-05-02,47.49144169837951
2023-05-03,47.15588609245832
2023-05-04,45.7679764328086
2023-05-05,47.1526152642996
2023-05-06,54.132555565393595
2023-05-07,57.621344672089194
2023-05-08,49.25217377026429
2023-05-09,56.23131460626789
2023-05-10,46.092278806115154
2023-05-11,48.194926154407796
2023-05-12,49.24534117330312
2023-05-13,58.66140280864226
2023-05-14,65.30522858667254
2023-05-15,48.5220043414361
2023-05-16,48.5203207098824
2023-05-17,48.51863708781689
2023-05-18,55.161893140491564
2023-05-19,47.12972049781479
2023-05-20,56.2098609721475
2023-05-21,55.1561514937749
2023-05-22,47.1248147110767
2023-05-23,45.01980661082489
2023-05-24,48.50685199902754
2023-05-25,48.259895598455905
2023-05-26,49.40707503735561
2023-05-27,62.04375129201282
2023-05-28,74.67947304419647
2023-05-29,62.039065482455534
2023-05-30,51.6972688448697
2023-05-31,50.54653166390904
2023-06-01,51.693364124127775
2023-06-02,50.54271375403141
2023-06-03,60.87869672531308
2023-06-04,64.3222311743942
2023-06-05,55.131258585339225
2023-06-06,50.535078170029735
2023-06-07,50.53316932314464
2023-06-08,50.53126049590568
2023-06-09,51.67774604486541
2023-06-10,56.269197775407754
2023-06-11,65.45353285290314
2023-06-12,52.82015380992983
2023-06-13,50.52171665440284
2023-06-14,52.816162851633415
2023-06-15,52.81416740329391
2023-06-16,52.81217197549355
2023-06-17,56.25431851833442
2023-06-18,61.99221269133809
2023-06-19,57.39802806013833
2023-06-20,48.212521733189234
2023-06-21,52.80219514457877
2023-06-22,48.208878114794686
2023-06-23,52.79820455598682
2023-06-24,57.387184013586456
2023-06-25,64.27121710380172
2023-06-26,50.496904965092746
2023-06-27,50.49499651113027
2023-06-28,50.493088076813926
2023-06-29,50.49117966214371
2023-06-30,51.636754705008705
2023-07-01,60.81432348323428
2023-07-02,67.6964049460132
2023-07-03,64.25178607263075
2023-07-04,64.24935730625312
2023-07-05,56.2160624942697
2023-07-06,56.21393736744658
2023-07-07,57.35899210459398
2023-07-08,72.26959780213234
2023-07-09,73.41395868506002
2023-07-10,61.94068576046507
2023-07-11,53.90929932430612
2023-07-12,55.05422406461326
2023-07-13,57.345981726823226
2023-07-14,57.34381340866613
2023-07-15,61.928976721860906
2023-07-16,71.10095128076594
2023-07-17,59.63080093167154
2023-07-18,53.895031937731844
2023-07-19,56.186312709702676
2023-07-20,56.1841878891806
2023-07-21,57.32863580667056
2023-07-22,66.498702493853
2023-07-23,71.082131441856
2023-07-24,59.6150167131774
2023-07-25,59.61276191769371
2023-07-26,52.73237170557109
2023-07-27,58.46193985029655
2023-07-28,66.48361278638446
2023-07-29,69.91977540469945
2023-07-30,67.62476555815977
2023-07-31,57.306955415743104
2023-08-01,55.01259599946113
2023-08-02,55.01051482124103
2023-08-03,56.15444269912917
2023-08-04,56.15231820678677
2023-08-05,63.02572766321972
2023-08-06,72.19037479852017
2023-08-07,100.0
2023-08-08,100.0
2023-08-09,82.4939207607004
2023-08-10,66.45092161850341
2023-08-11,64.1570827119909
2023-08-12,69.88274911013075
2023-08-13,76.75355748849717
2023-08-14,66.4408636781208
2023-08-15,61.8563941365427
2023-08-16,66.43583486331252
2023-08-17,87.05055788967785
2023-08-18,85.90190450701674
2023-08-19,83.60802248239673
2023-08-20,88.18594605040653
2023-08-21,69.85894931119024
2023-08-22,66.42074904041986
2023-08-23,59.54738294856406
2023-08-24,53.819635691007214
2023-08-25,54.96265363744995
2023-08-26,66.41069234310153
2023-08-27,72.13302118467995
2023-08-28,57.24626219812534
2023-08-29,53.80944921250957
2023-08-30,52.662573427005974
2023-08-31,48.081398728859995
2023-09-01,57.23759316727517
2023-09-02,59.52484300399053
2023-09-03,64.1012498400971
2023-09-04,85.84663744282742
2023-09-05,73.25302335184305
2023-09-06,54.937687085787175
2023-09-07,50.35763945586386
2023-09-08,48.06683550715672
2023-09-09,59.50906642426926
2023-09-10,58.36245093696117
2023-09-11,51.49432993761915
2023-09-12,48.05955434638007
2023-09-13,50.34619763178629
2023-09-14,57.20942128394106
2023-09-15,52.630674022486865
2023-09-16,60.63739273189599
2023-09-17,62.92321267748813
2023-09-18,52.62469346950493
2023-09-19,49.19078477599283
2023-09-20,48.044992924976775
2023-09-21,44.61151762942682
2023-09-22,48.041352757157206
2023-09-23,58.333718280243616
2023-09-24,61.76277342559302
2023-09-25,53.754451294418686
2023-09-26,49.17774104290211
2023-09-27,48.03225266578796
2023-09-28,46.886850972731246
2023-09-29,43.454459164272876
2023-09-30,65.17921884886243
2023-10-01,60.60294203102825
2023-10-02,44.597905535454515
2023-10-03,45.744813554972126
2023-10-04,49.179299302657306
2023-10-05,49.182923886123874
2023-10-06,49.1865483219947
2023-10-07,60.62974763591395
2023-10-08,57.20208924528974
2023-10-09,50.34154680784756
2023-10-10,46.912623910938414
2023-10-11,46.916079064742604
2023-10-12,46.919534077816
2023-10-13,50.35637838553603
2023-10-14,56.08282293674992
2023-10-15,58.376214924517484
2023-10-16,51.51221640307479
2023-10-17,48.08160720373841
2023-10-18,48.08514562044374
2023-10-19,49.23365255710452
2023-10-20,45.80211621082344
2023-10-21,54.96658286352017
2023-10-22,57.261068863848124
2023-10-23,50.39344675778435
2023-10-24,48.106373093247164
2023-10-25,49.255384560352724
2023-10-26,49.25900604430906
2023-10-27,48.11698488344478
2023-10-28,57.28633554585411
2023-10-29,59.58216790119516
2023-10-30,46.981700248168885
2023-10-31,46.985152587356936
2023-11-01,43.550414191730205
2023-11-02,42.40746593197565
2023-11-03,48.1417406815249
2023-11-04,56.1694894220305
2023-11-05,60.75921573496967
2023-11-06,48.15234814682454
2023-11-07,50.449020998372376
2023-11-08,49.30607190453037
2023-11-09,48.16295431465477
2023-11-10,51.60695294529105
2023-11-11,55.051456425590764
2023-11-12,57.349475220256664
2023-11-13,50.47124117983202
2023-11-14,48.18062837777316
2023-11-15,48.18416275790704
2023-11-16,48.18769699387765
2023-11-17,47.04382082174011
2023-11-18,58.522214683328166
2023-11-19,61.96924136161272
2023-11-20,53.94014588852357
2023-11-21,52.79635325045142
2023-11-22,56.24371594598486
2023-11-23,57.395753106072014
2023-11-24,67.7319518050984
2023-11-25,67.73691474251679
2023-11-26,72.33454713690621
2023-11-27,60.85733085626852
2023-11-28,53.97177474517003
2023-11-29,56.27256709974479
2023-11-30,52.831176508925495
2023-12-01,52.835044970401555
2023-12-02,60.87961746785172
2023-12-03,63.18158648004544
2023-12-04,57.442010225512085
2023-12-05,65.48868440283397
2023-12-06,60.89744348255266
2023-12-07,55.15643731148116
2023-12-08,58.60800236448008
2023-12-09,67.80637460229227
2023-12-10,71.25936845971272
2023-12-11,55.17257833152165
2023-12-12,56.326125949108324
2023-12-13,56.33024468326448
2023-12-14,56.33436324923016
2023-12-15,56.33848164700537
2023-12-16,66.69124067024951
2023-12-17,65.54618209112465
2023-12-18,56.35083583118812
2023-12-19,57.50505464918512
2023-12-20,57.50925623777984
2023-12-21,60.96426511403671
2023-12-22,62.82229427128031
2023-12-23,69.7602630298598
2023-12-24,71.28344232519731
2023-12-25,78.22322652073554
2023-12-26,78.22958689435372
2023-12-27,79.21078667626185
2023-12-28,77.26738880586873
2023-12-29,75.3236749853957
2023-12-30,79.23010361771856
2023-12-31,85.19875758002382
2024-01-01,80.21821529330316
2024-01-02,69.38498155941738
2024-01-03,68.41522711081757
2024-01-04,68.85285760318763
2024-01-05,60.94271056237914
2024-01-06,77.32391423028407
2024-01-07,85.24721918388168
2024-01-08,62.476925912819894
2024-01-09,58.03491127277959
2024-01-10,58.039623813110495
2024-01-11,55.54857414083756
2024-01-12,56.52918629789238
2024-01-13,64.9984600375474
2024-01-14,72.3814095401615
2024-01-15,64.46511692170183
2024-01-16,55.57112062449242
2024-01-17,59.48161909507817
2024-01-18,55.5801386376516
2024-01-19,67.96007934889107
2024-01-20,66.25069897361891
2024-01-21,66.25551713611738
2024-01-22,52.31079086880721
2024-01-23,56.67414389918052
2024-01-24,52.3183977117256
2024-01-25,53.19423758020372
2024-01-26,53.19810399446365
2024-01-27,76.75038331104376
2024-01-28,75.88373380482983
2024-01-29,51.46512188038196
2024-01-30,49.72415376217557
2024-01-31,50.600182843679626
2024-02-01,49.73137788542727
2024-02-02,53.2251644416455
2024-02-03,64.5729211343528
2024-02-04,68.94096181599147
2024-02-05,53.23675939081044
2024-02-06,54.11342117148906
2024-02-07,52.3716280935802
2024-02-08,53.248352908770435
2024-02-09,67.22001174502934
2024-02-10,78.57454592306054
2024-02-11,76.83401900993842
2024-02-12,50.6442771306738
2024-02-13,56.760634373543326
2024-02-14,54.144839514208
2024-02-15,51.52866449521192
2024-02-16,57.64641457930625
2024-02-17,70.75300188375549
2024-02-18,81.24081720968195
2024-02-19,81.24670608816308
2024-02-20,58.53681555399327
2024-02-21,55.04606920882657
2024-02-22,53.30243706887401
2024-02-23,55.92792029429125
2024-02-24,83.02402096957557
2024-02-25,81.2820342677141
2024-02-26,53.3178839612267
2024-02-27,48.076983455273556
2024-02-28,51.577225913815056
2024-02-29,48.95819963610031
2024-03-01,52.45901145168693
2024-03-02,62.08099047384459
2024-03-03,65.58325761771222
2024-03-04,55.093923339826794
2024-03-05,55.972480118388525
2024-03-06,49.85409704053645
2024-03-07,47.233614151930816
2024-03-08,54.23510962853629
2024-03-09,60.362794207783814
2024-03-10,63.86670527250888
2024-03-11,58.62162588833869
2024-03-12,52.50077424275842
2024-03-13,50.75441759091239
2024-03-14,45.50725005154706
2024-03-15,48.13614740929148
2024-03-16,65.64494502470468
2024-03-17,68.27567639486811
2024-03-18,52.52354596977137
2024-03-19,49.90097367464385
2024-03-20,51.65561637254702
2024-03-21,51.65934755963626
2024-03-22,48.160496993396805
2024-03-23,57.79676991826453
2024-03-24,61.30403074344972
2024-03-25,50.79843567210908
2024-03-26,51.67800118794875
2024-03-27,51.68173145218453
2024-03-28,52.56148633485904
2024-03-29,63.07833541329681
2024-03-30,74.47285275208918
2024-03-31,77.98308366817673
2024-04-01,63.96826735652153
2024-04-02,57.83849571698974
2024-04-03,54.337051147482995
2024-04-04,51.711568028949934
2024-04-05,53.4683578210718
2024-04-06,73.633867005837
2024-04-07,65.74926382295334
2024-04-08,49.97304253690459
2024-04-09,49.099861184335076
2024-04-10,51.73393900154978
2024-04-11,49.10693813024587
2024-04-12,51.74139476194511
2024-04-13,57.88437422295493
2024-04-14,66.65953547355873
2024-04-15,55.2612265539863
2024-04-16,55.26520643275963
2024-04-17,53.51460880928694
2024-04-18,48.254351005838146
2024-04-19,52.64490007967606
2024-04-20,57.913558796224144
2024-04-21,87.7541323223442
2024-04-22,54.4114777761696
2024-04-23,46.516384638635046
2024-04-24,44.76427011225092
2024-04-25,44.767490722295776
2024-04-26,54.427139105137336
2024-04-27,64.08817652308494
2024-04-28,64.97076921271584
2024-04-29,49.170604365581795
2024-04-30,46.539811063638425
2024-05-01,45.66498436682731
2024-05-02,43.033559455406404
2024-05-03,44.79325081632992
2024-05-04,54.458454004847134
2024-05-05,57.09764349352448
2024-05-06,50.073839088197104
2024-05-07,47.44178224143232
2024-05-08,43.05211727748177
2024-05-09,45.691243053845525
2024-05-10,42.17956133510864
2024-05-11,52.7282381192263
2024-05-12,54.489758560256
2024-05-13,48.34115967143814
2024-05-14,46.58664360304828
2024-05-15,47.469044120786926
2024-05-16,43.955973353909336
2024-05-17,47.47585818288301
2024-05-18,58.03021278116293
2024-05-19,65.06884637887543
2024-05-20,49.24482185800615
2024-05-21,47.48948461778411
2024-05-22,50.13138481205006
2024-05-23,47.496296990589116
2024-05-24,52.77744773981137
2024-05-25,62.45779120039062
2024-05-26,61.582518788505176
2024-05-27,64.22637339674608
2024-05-28,55.43221303556085
2024-05-29,53.67630693621743
2024-05-30,53.680153472630955
2024-05-31,58.08432770658088
2024-06-01,58.96861781282148
2024-06-02,69.53514226378785
2024-06-03,55.456047471600215
2024-06-04,63.38287920317552
2024-06-05,56.34437177876347
2024-06-06,53.70707477488807
2024-06-07,51.0693993814578
2024-06-08,67.80388387070911
2024-06-09,66.0474714227629
2024-06-10,58.125934785683164
2024-06-11,55.48781752240131
2024-06-12,50.206855845430724
2024-06-13,51.09133312347055
2024-06-14,51.09498821793241
2024-06-15,60.789765140039115
2024-06-16,68.72378000609508
2024-06-17,63.44187218578693
2024-06-18,51.109607083760075
2024-06-19,56.40084019002708
2024-06-20,53.7608940030549
2024-06-21,54.646126172786595
2024-06-22,61.70164908836078
2024-06-23,66.995149518345
2024-06-24,52.0131089644843
2024-06-25,52.8984664941541
2024-06-26,52.90224574936594
2024-06-27,52.90602484816195
2024-06-28,56.43712404324491
2024-06-29,74.07901560710899
2024-06-30,67.02865752766954
2024-07-01,55.567196663146916
2024-07-02,50.27867209610912
2024-07-03,52.9286961562053
2024-07-04,68.81221640811754
2024-07-05,62.641231542278966
2024-07-06,71.46904009312773
2024-07-07,70.59174297766764
2024-07-08,60.00726255966882
2024-07-09,56.48145262216363
2024-07-10,57.368067140224184
2024-07-11,56.48951019481889
2024-07-12,60.90709644423127
2024-07-13,60.91143952979521
2024-07-14,60.91578243548093
2024-07-15,52.09112151472489
2024-07-16,58.27557780690391
2024-07-17,62.694862539160646
2024-07-18,56.517706443540085
2024-07-19,56.52173381169742
2024-07-20,60.941836092152705
2024-07-21,60.946177738690906
2024-07-22,56.53381491510809
2024-07-23,54.77103406539458
2024-07-24,53.00800139046629
2024-07-25,50.36118730413782
2024-07-26,54.782735694767226
2024-07-27,60.08856842249966
2024-07-28,64.51143751644037
2024-07-29,53.026873422070224
2024-07-30,53.030647359143494
2024-07-31,53.91832815879761
2024-08-01,53.03819476404251
2024-08-02,51.273902624139296
2024-08-03,65.42308123670972
2024-08-04,73.38516199927656
2024-08-05,53.937509158464614
2024-08-06,50.404207512062186
2024-08-07,51.29213878393404
2024-08-08,48.642555274582556
2024-08-09,54.83732406457176
2024-08-10,61.03297289502954
2024-08-11,66.3449030044839
2024-08-12,56.61834059440476
2024-08-13,55.73763935723127
2024-08-14,51.31766305716357
2024-08-15,51.32130877710273
2024-08-16,50.44004133987715
2024-08-17,64.6032376332135
2024-08-18,78.54317743551846
2024-08-19,53.51717155776884
2024-08-20,50.93166336304508
2024-08-21,49.740260760353586
2024-08-22,44.89603133545175
2024-08-23,48.353399317466305
2024-08-24,58.71948914478517
2024-08-25,68.22362878873584
2024-08-26,51.819514510362964
2024-08-27,51.82361467259205
2024-08-28,45.44885198809723
2024-08-29,55.287269079921565
2024-08-30,51.50356778269028
2024-08-31,59.616016720343566
2024-09-01,65.66921146011698
2024-09-02,67.01129923858132
2024-09-03,50.03577035501835
2024-09-04,44.8237193658958
2024-09-05,46.51040200876209
2024-09-06,42.17004233679932
2024-09-07,57.61482138401566
2024-09-08,61.86474257994209
2024-09-09,47.21984271067339
2024-09-10,47.18190861697916
2024-09-11,48.001150593155614
2024-09-12,48.81902673535895
2024-09-13,48.450821814723824
2024-09-14,50.450684281429176
2024-09-15,55.53650598934477
