Time,carvana
2022-01-01,32
2022-01-02,38
2022-01-03,40
2022-01-04,50
2022-01-05,47
2022-01-06,36
2022-01-07,41
2022-01-08,45
2022-01-09,39
2022-01-10,39
2022-01-11,41
2022-01-12,44
2022-01-13,51
2022-01-14,36
2022-01-15,44
2022-01-16,39
2022-01-17,38
2022-01-18,39
2022-01-19,40
2022-01-20,41
2022-01-21,42
2022-01-22,44
2022-01-23,43
2022-01-24,54
2022-01-25,46
2022-01-26,43
2022-01-27,42
2022-01-28,44
2022-01-29,49
2022-01-30,46
2022-01-31,45
2022-02-01,44
2022-02-02,46
2022-02-03,44
2022-02-04,45
2022-02-05,45
2022-02-06,46
2022-02-07,44
2022-02-08,44
2022-02-09,43
2022-02-10,42
2022-02-11,52
2022-02-12,56
2022-02-13,42
2022-02-14,50
2022-02-15,46
2022-02-16,49
2022-02-17,47
2022-02-18,45
2022-02-19,49
2022-02-20,49
2022-02-21,49
2022-02-22,58
2022-02-23,48
2022-02-24,48
2022-02-25,46
2022-02-26,48
2022-02-27,48
2022-02-28,45
2022-03-01,47
2022-03-02,47
2022-03-03,50
2022-03-04,46
2022-03-05,48
2022-03-06,46
2022-03-07,50
2022-03-08,51
2022-03-09,53
2022-03-10,59
2022-03-11,53
2022-03-12,60
2022-03-13,49
2022-03-14,49
2022-03-15,49
2022-03-16,52
2022-03-17,42
2022-03-18,45
2022-03-19,54
2022-03-20,47
2022-03-21,45
2022-03-22,45
2022-03-23,46
2022-03-24,45
2022-03-25,40
2022-03-26,48
2022-03-27,45
2022-03-28,38
2022-03-29,43
2022-03-30,46
2022-03-31,39
2022-04-01,39
2022-04-02,47
2022-04-03,42
2022-04-04,42
2022-04-05,41
2022-04-06,40
2022-04-07,39
2022-04-08,41
2022-04-09,47
2022-04-10,44
2022-04-11,41
2022-04-12,40
2022-04-13,40
2022-04-14,41
2022-04-15,42
2022-04-16,43
2022-04-17,41
2022-04-18,43
2022-04-19,40
2022-04-20,45
2022-04-21,44
2022-04-22,42
2022-04-23,45
2022-04-24,42
2022-04-25,44
2022-04-26,44
2022-04-27,49
2022-04-28,43
2022-04-29,40
2022-04-30,43
2022-05-01,42
2022-05-02,39
2022-05-03,39
2022-05-04,40
2022-05-05,40
2022-05-06,43
2022-05-07,43
2022-05-08,42
2022-05-09,41
2022-05-10,66
2022-05-11,100
2022-05-12,57
2022-05-13,46
2022-05-14,59
2022-05-15,45
2022-05-16,46
2022-05-17,50
2022-05-18,47
2022-05-19,49
2022-05-20,47
2022-05-21,46
2022-05-22,46
2022-05-23,44
2022-05-24,45
2022-05-25,43
2022-05-26,43
2022-05-27,42
2022-05-28,43
2022-05-29,42
2022-05-30,43
2022-05-31,41
2022-06-01,44
2022-06-02,43
2022-06-03,44
2022-06-04,44
2022-06-05,41
2022-06-06,46
2022-06-07,42
2022-06-08,45
2022-06-09,49
2022-06-10,42
2022-06-11,44
2022-06-12,42
2022-06-13,44
2022-06-14,43
2022-06-15,56
2022-06-16,42
2022-06-17,42
2022-06-18,44
2022-06-19,42
2022-06-20,42
2022-06-21,43
2022-06-22,45
2022-06-23,43
2022-06-24,41
2022-06-25,43
2022-06-26,44
2022-06-27,43
2022-06-28,43
2022-06-29,45
2022-06-30,43
2022-07-01,42
2022-07-02,43
2022-07-03,37
2022-07-04,39
2022-07-05,42
2022-07-06,44
2022-07-07,42
2022-07-08,42
2022-07-09,43
2022-07-10,43
2022-07-11,44
2022-07-12,41
2022-07-13,41
2022-07-14,42
2022-07-15,41
2022-07-16,43
2022-07-17,44
2022-07-18,43
2022-07-19,46
2022-07-20,43
2022-07-21,44
2022-07-22,40
2022-07-23,43
2022-07-24,40
2022-07-25,42
2022-07-26,42
2022-07-27,45
2022-07-28,42
2022-07-29,41
2022-07-30,40
2022-07-31,38
2022-08-01,40
2022-08-02,45
2022-08-03,45
2022-08-04,44
2022-08-05,42
2022-08-06,41
2022-08-07,42
2022-08-08,44
2022-08-09,44
2022-08-10,45
2022-08-11,45
2022-08-12,43
2022-08-13,45
2022-08-14,45
2022-08-15,44
2022-08-16,53
2022-08-17,41
2022-08-18,41
2022-08-19,38
2022-08-20,41
2022-08-21,41
2022-08-22,40
2022-08-23,44
2022-08-24,39
2022-08-25,41
2022-08-26,40
2022-08-27,42
2022-08-28,41
2022-08-29,38
2022-08-30,37
2022-08-31,37
2022-09-01,36
2022-09-02,37
2022-09-03,36
2022-09-04,35
2022-09-05,39
2022-09-06,35
2022-09-07,37
2022-09-08,33
2022-09-09,33
2022-09-10,37
2022-09-11,34
2022-09-12,36
2022-09-13,37
2022-09-14,39
2022-09-15,38
2022-09-16,37
2022-09-17,41
2022-09-18,35
2022-09-19,37
2022-09-20,38
2022-09-21,38
2022-09-22,35
2022-09-23,34
2022-09-24,37
2022-09-25,35
2022-09-26,36
2022-09-27,38
