Time,jurassic park
2022-08-29,36
2022-08-30,34
2022-08-31,31
2022-09-01,33
2022-09-02,49
2022-09-03,96
2022-09-04,100
2022-09-05,96
2022-09-06,51
2022-09-07,38
2022-09-08,38
2022-09-09,35
2022-09-10,53
2022-09-11,57
2022-09-12,36
2022-09-13,31
2022-09-14,32
2022-09-15,32
2022-09-16,34
2022-09-17,48
2022-09-18,55
2022-09-19,39
2022-09-20,30
2022-09-21,28
2022-09-22,29
2022-09-23,28
2022-09-24,42
2022-09-25,44
2022-09-26,30
2022-09-27,26
2022-09-28,25
2022-09-29,31
2022-09-30,32
2022-10-01,38
2022-10-02,38
2022-10-03,28
2022-10-04,25
2022-10-05,27
2022-10-06,27
2022-10-07,27
2022-10-08,37
2022-10-09,43
2022-10-10,32
2022-10-11,27
2022-10-12,43
2022-10-13,29
2022-10-14,28
2022-10-15,37
2022-10-16,38
2022-10-17,29
2022-10-18,26
2022-10-19,27
2022-10-20,27
2022-10-21,28
2022-10-22,37
2022-10-23,39
2022-10-24,29
2022-10-25,30
2022-10-26,31
2022-10-27,31
2022-10-28,36
2022-10-29,51
2022-10-30,58
2022-10-31,54
2022-11-01,32
2022-11-02,25
2022-11-03,24
2022-11-04,24
2022-11-05,35
2022-11-06,33
2022-11-07,24
2022-11-08,22
2022-11-09,19
2022-11-10,22
2022-11-11,25
2022-11-12,33
2022-11-13,36
2022-11-14,23
2022-11-15,23
2022-11-16,20
2022-11-17,24
2022-11-18,25
2022-11-19,31
2022-11-20,34
2022-11-21,27
2022-11-22,26
2022-11-23,28
2022-11-24,32
2022-11-25,37
2022-11-26,34
2022-11-27,41
2022-11-28,23
2022-11-29,22
2022-11-30,23
2022-12-01,22
2022-12-02,26
2022-12-03,29
2022-12-04,33
2022-12-05,22
2022-12-06,22
2022-12-07,23
2022-12-08,24
2022-12-09,23
2022-12-10,30
2022-12-11,35
2022-12-12,26
2022-12-13,24
2022-12-14,25
2022-12-15,26
2022-12-16,25
2022-12-17,31
2022-12-18,30
2022-12-19,27
2022-12-20,23
2022-12-21,25
2022-12-22,25
2022-12-23,29
2022-12-24,30
2022-12-25,40
2022-12-26,40
2022-12-27,35
2022-12-28,30
2022-12-29,33
2022-12-30,34
2022-12-31,38
2023-01-01,43
2023-01-02,39
2023-01-03,30
2023-01-04,27
2023-01-05,32
2023-01-06,36
2023-01-07,74
2023-01-08,86
2023-01-09,47
2023-01-10,36
2023-01-11,35
2023-01-12,36
2023-01-13,35
2023-01-14,55
2023-01-15,63
2023-01-16,43
2023-01-17,34
2023-01-18,31
2023-01-19,33
2023-01-20,33
2023-01-21,42
2023-01-22,48
2023-01-23,35
2023-01-24,26
2023-01-25,29
2023-01-26,29
2023-01-27,27
2023-01-28,43
2023-01-29,45
2023-01-30,32
2023-01-31,29
2023-02-01,27
2023-02-02,26
2023-02-03,31
2023-02-04,37
2023-02-05,38
2023-02-06,24
2023-02-07,23
2023-02-08,23
2023-02-09,24
2023-02-10,23
2023-02-11,38
2023-02-12,34
2023-02-13,22
2023-02-14,24
2023-02-15,23
2023-02-16,23
2023-02-17,28
2023-02-18,35
2023-02-19,40
2023-02-20,31
2023-02-21,24
2023-02-22,26
2023-02-23,25
2023-02-24,27
2023-02-25,40
2023-02-26,41
2023-02-27,25
2023-02-28,23
2023-03-01,23
2023-03-02,23
2023-03-03,26
2023-03-04,35
2023-03-05,71
2023-03-06,38
2023-03-07,25
2023-03-08,30
2023-03-09,40
2023-03-10,37
2023-03-11,38
2023-03-12,39
2023-03-13,31
2023-03-14,29
2023-03-15,44
2023-03-16,34
2023-03-17,31
2023-03-18,69
2023-03-19,45
2023-03-20,30
2023-03-21,24
2023-03-22,25
2023-03-23,27
2023-03-24,32
2023-03-25,68
2023-03-26,51
2023-03-27,29
2023-03-28,25
2023-03-29,25
2023-03-30,25
2023-03-31,26
2023-04-01,36
2023-04-02,36
2023-04-03,26
2023-04-04,23
2023-04-05,25
2023-04-06,27
2023-04-07,45
2023-04-08,41
2023-04-09,39
2023-04-10,32
2023-04-11,24
2023-04-12,24
2023-04-13,26
2023-04-14,31
2023-04-15,34
2023-04-16,37
2023-04-17,26
2023-04-18,33
2023-04-19,30
2023-04-20,25
2023-04-21,30
2023-04-22,40
2023-04-23,59
2023-04-24,30
2023-04-25,26
2023-04-26,29
2023-04-27,26
2023-04-28,29
2023-04-29,31
2023-04-30,36
2023-05-01,25
2023-05-02,25
2023-05-03,25
2023-05-04,26
2023-05-05,33
2023-05-06,32
2023-05-07,34
2023-05-08,24
2023-05-09,25
2023-05-10,32
2023-05-11,29
2023-05-12,26
2023-05-13,30
2023-05-14,37
2023-05-15,28
2023-05-16,24
2023-05-17,25
2023-05-18,26
2023-05-19,25
2023-05-20,39
2023-05-21,45
2023-05-22,27
2023-05-23,25
2023-05-24,26
2023-05-25,28
