Time,disney plus
2022-01-01,100
2022-01-02,96
2022-01-03,76
2022-01-04,68
2022-01-05,72
2022-01-06,60
2022-01-07,77
2022-01-08,95
2022-01-09,92
2022-01-10,64
2022-01-11,67
2022-01-12,85
2022-01-13,81
2022-01-14,58
2022-01-15,89
2022-01-16,77
2022-01-17,68
2022-01-18,53
2022-01-19,50
2022-01-20,54
2022-01-21,55
2022-01-22,72
2022-01-23,72
2022-01-24,53
2022-01-25,39
2022-01-26,50
2022-01-27,49
2022-01-28,56
2022-01-29,81
2022-01-30,75
2022-01-31,46
2022-02-01,44
2022-02-02,51
2022-02-03,59
2022-02-04,59
2022-02-05,70
2022-02-06,64
2022-02-07,45
2022-02-08,40
2022-02-09,47
2022-02-10,43
2022-02-11,51
2022-02-12,61
2022-02-13,64
2022-02-14,44
2022-02-15,43
2022-02-16,42
2022-02-17,46
2022-02-18,49
2022-02-19,62
2022-02-20,64
2022-02-21,49
2022-02-22,42
2022-02-23,44
2022-02-24,47
2022-02-25,48
2022-02-26,61
2022-02-27,59
2022-02-28,40
2022-03-01,41
2022-03-02,38
2022-03-03,41
2022-03-04,45
2022-03-05,60
2022-03-06,58
2022-03-07,42
2022-03-08,38
2022-03-09,38
2022-03-10,44
2022-03-11,65
2022-03-12,85
2022-03-13,82
2022-03-14,52
2022-03-15,48
2022-03-16,64
2022-03-17,68
2022-03-18,70
2022-03-19,80
2022-03-20,82
2022-03-21,52
2022-03-22,46
2022-03-23,46
2022-03-24,46
2022-03-25,60
2022-03-26,69
2022-03-27,71
2022-03-28,52
2022-03-29,53
2022-03-30,57
2022-03-31,65
2022-04-01,69
2022-04-02,71
2022-04-03,76
2022-04-04,55
2022-04-05,55
2022-04-06,63
2022-04-07,64
2022-04-08,74
2022-04-09,67
2022-04-10,65
2022-04-11,60
2022-04-12,55
2022-04-13,61
2022-04-14,66
2022-04-15,57
2022-04-16,57
2022-04-17,64
2022-04-18,52
2022-04-19,50
2022-04-20,54
2022-04-21,56
2022-04-22,56
2022-04-23,56
2022-04-24,55
2022-04-25,48
2022-04-26,47
2022-04-27,51
2022-04-28,54
2022-04-29,55
2022-04-30,51
2022-05-01,57
2022-05-02,50
2022-05-03,49
2022-05-04,62
2022-05-05,67
2022-05-06,76
2022-05-07,75
2022-05-08,67
2022-05-09,58
2022-05-10,55
2022-05-11,53
2022-05-12,59
2022-05-13,63
2022-05-14,57
2022-05-15,57
2022-05-16,54
2022-05-17,55
2022-05-18,58
2022-05-19,62
2022-05-20,76
2022-05-21,63
2022-05-22,62
2022-05-23,65
2022-05-24,64
2022-05-25,66
2022-05-26,66
2022-05-27,98
2022-05-28,84
2022-05-29,74
2022-05-30,69
2022-05-31,67
2022-06-01,70
2022-06-02,70
2022-06-03,68
2022-06-04,61
2022-06-05,57
2022-06-06,58
2022-06-07,53
2022-06-08,66
2022-06-09,65
2022-06-10,60
2022-06-11,58
2022-06-12,59
2022-06-13,60
2022-06-14,61
2022-06-15,67
2022-06-16,69
2022-06-17,75
2022-06-18,69
2022-06-19,69
2022-06-20,64
2022-06-21,73
2022-06-22,89
2022-06-23,75
2022-06-24,64
2022-06-25,66
2022-06-26,68
2022-06-27,57
2022-06-28,53
2022-06-29,52
2022-06-30,52
2022-07-01,52
2022-07-02,53
2022-07-03,55
2022-07-04,51
2022-07-05,45
2022-07-06,44
2022-07-07,47
2022-07-08,51
2022-07-09,57
2022-07-10,58
2022-07-11,45
2022-07-12,42
2022-07-13,43
2022-07-14,44
2022-07-15,51
2022-07-16,56
2022-07-17,57
2022-07-18,49
2022-07-19,45
2022-07-20,44
2022-07-21,45
2022-07-22,50
2022-07-23,53
2022-07-24,63
2022-07-25,48
2022-07-26,47
2022-07-27,48
2022-07-28,48
2022-07-29,47
2022-07-30,49
2022-07-31,55
2022-08-01,48
2022-08-02,43
2022-08-03,53
2022-08-04,49
2022-08-05,52
2022-08-06,68
2022-08-07,66
2022-08-08,45
2022-08-09,42
2022-08-10,47
2022-08-11,58
2022-08-12,51
2022-08-13,56
2022-08-14,60
2022-08-15,48
2022-08-16,43
2022-08-17,48
2022-08-18,48
2022-08-19,57
2022-08-20,58
2022-08-21,64
2022-08-22,46
2022-08-23,45
2022-08-24,42
2022-08-25,45
2022-08-26,49
2022-08-27,50
2022-08-28,54
2022-08-29,39
2022-08-30,41
2022-08-31,41
2022-09-01,48
2022-09-02,54
2022-09-03,63
2022-09-04,61
2022-09-05,60
2022-09-06,49
2022-09-07,53
2022-09-08,89
2022-09-09,83
2022-09-10,86
2022-09-11,82
2022-09-12,57
2022-09-13,51
2022-09-14,43
2022-09-15,47
2022-09-16,55
2022-09-17,68
2022-09-18,63
2022-09-19,56
2022-09-20,60
2022-09-21,52
2022-09-22,55
2022-09-23,57
2022-09-24,61
2022-09-25,62
2022-09-26,49
2022-09-27,55
