Time,john fetterman
2022-08-29,2
2022-08-30,3
2022-08-31,5
2022-09-01,5
2022-09-02,3
2022-09-03,2
2022-09-04,4
2022-09-05,3
2022-09-06,3
2022-09-07,7
2022-09-08,5
2022-09-09,5
2022-09-10,3
2022-09-11,4
2022-09-12,5
2022-09-13,5
2022-09-14,6
2022-09-15,4
2022-09-16,4
2022-09-17,3
2022-09-18,3
2022-09-19,2
2022-09-20,2
2022-09-21,2
2022-09-22,3
2022-09-23,2
2022-09-24,3
2022-09-25,3
2022-09-26,3
2022-09-27,4
2022-09-28,3
2022-09-29,3
2022-09-30,3
2022-10-01,2
2022-10-02,2
2022-10-03,2
2022-10-04,4
2022-10-05,4
2022-10-06,4
2022-10-07,4
2022-10-08,3
2022-10-09,3
2022-10-10,4
2022-10-11,5
2022-10-12,12
2022-10-13,11
2022-10-14,7
2022-10-15,6
2022-10-16,5
2022-10-17,4
2022-10-18,5
2022-10-19,5
2022-10-20,8
2022-10-21,11
2022-10-22,5
2022-10-23,5
2022-10-24,6
2022-10-25,9
2022-10-26,41
2022-10-27,21
2022-10-28,11
2022-10-29,7
2022-10-30,6
2022-10-31,5
2022-11-01,5
2022-11-02,6
2022-11-03,6
2022-11-04,10
2022-11-05,10
2022-11-06,12
2022-11-07,13
2022-11-08,17
2022-11-09,100
2022-11-10,33
2022-11-11,21
2022-11-12,15
2022-11-13,9
2022-11-14,6
2022-11-15,10
2022-11-16,13
2022-11-17,6
2022-11-18,4
2022-11-19,2
2022-11-20,2
2022-11-21,2
2022-11-22,2
2022-11-23,1
2022-11-24,2
2022-11-25,2
2022-11-26,1
2022-11-27,1
2022-11-28,1
2022-11-29,1
2022-11-30,1
2022-12-01,1
2022-12-02,1
2022-12-03,1
2022-12-04,1
2022-12-05,1
2022-12-06,1
2022-12-07,1
2022-12-08,1
2022-12-09,1
2022-12-10,1
2022-12-11,1
2022-12-12,1
2022-12-13,2
2022-12-14,3
2022-12-15,1
2022-12-16,1
2022-12-17,1
2022-12-18,1
2022-12-19,1
2022-12-20,1
2022-12-21,1
2022-12-22,0
2022-12-23,1
2022-12-24,1
2022-12-25,0
2022-12-26,1
2022-12-27,1
2022-12-28,1
2022-12-29,1
2022-12-30,1
2022-12-31,0
2023-01-01,0
2023-01-02,0
2023-01-03,1
2023-01-04,2
2023-01-05,1
2023-01-06,1
2023-01-07,1
2023-01-08,1
2023-01-09,1
2023-01-10,1
2023-01-11,1
2023-01-12,1
2023-01-13,1
2023-01-14,1
2023-01-15,1
2023-01-16,0
2023-01-17,1
2023-01-18,0
2023-01-19,0
2023-01-20,0
2023-01-21,0
2023-01-22,0
2023-01-23,0
2023-01-24,0
2023-01-25,0
2023-01-26,1
2023-01-27,1
2023-01-28,0
2023-01-29,0
2023-01-30,1
2023-01-31,2
2023-02-01,1
2023-02-02,0
2023-02-03,1
2023-02-04,0
2023-02-05,0
2023-02-06,0
2023-02-07,0
2023-02-08,1
2023-02-09,13
2023-02-10,15
2023-02-11,11
2023-02-12,4
2023-02-13,2
2023-02-14,1
2023-02-15,1
2023-02-16,14
2023-02-17,20
2023-02-18,9
2023-02-19,5
2023-02-20,2
2023-02-21,2
2023-02-22,1
2023-02-23,1
2023-02-24,3
2023-02-25,3
2023-02-26,5
2023-02-27,10
2023-02-28,11
2023-03-01,5
2023-03-02,3
2023-03-03,5
2023-03-04,11
2023-03-05,4
2023-03-06,3
2023-03-07,5
2023-03-08,2
2023-03-09,3
2023-03-10,2
2023-03-11,1
2023-03-12,1
2023-03-13,1
2023-03-14,1
2023-03-15,1
2023-03-16,1
2023-03-17,1
2023-03-18,1
2023-03-19,1
2023-03-20,1
2023-03-21,1
2023-03-22,1
2023-03-23,1
2023-03-24,2
2023-03-25,8
2023-03-26,5
2023-03-27,3
2023-03-28,2
2023-03-29,2
2023-03-30,2
2023-03-31,1
2023-04-01,3
2023-04-02,6
2023-04-03,5
2023-04-04,3
2023-04-05,1
2023-04-06,1
2023-04-07,1
2023-04-08,0
2023-04-09,1
2023-04-10,1
2023-04-11,0
2023-04-12,1
2023-04-13,1
2023-04-14,0
2023-04-15,0
2023-04-16,1
2023-04-17,1
2023-04-18,2
2023-04-19,2
2023-04-20,8
2023-04-21,7
2023-04-22,1
2023-04-23,1
2023-04-24,1
2023-04-25,1
2023-04-26,0
2023-04-27,0
2023-04-28,0
2023-04-29,0
2023-04-30,0
2023-05-01,0
2023-05-02,0
2023-05-03,0
2023-05-04,0
2023-05-05,1
2023-05-06,0
2023-05-07,0
2023-05-08,0
2023-05-09,1
2023-05-10,0
2023-05-11,0
2023-05-12,0
2023-05-13,0
2023-05-14,0
2023-05-15,0
2023-05-16,1
2023-05-17,2
2023-05-18,3
2023-05-19,8
2023-05-20,6
2023-05-21,5
2023-05-22,3
2023-05-23,1
2023-05-24,1
2023-05-25,1
