Time,wordle unlimited
2022-08-29,65
2022-08-30,65
2022-08-31,68
2022-09-01,66
2022-09-02,71
2022-09-03,47
2022-09-04,55
2022-09-05,53
2022-09-06,60
2022-09-07,64
2022-09-08,73
2022-09-09,67
2022-09-10,43
2022-09-11,43
2022-09-12,64
2022-09-13,65
2022-09-14,71
2022-09-15,66
2022-09-16,73
2022-09-17,50
2022-09-18,43
2022-09-19,60
2022-09-20,68
2022-09-21,73
2022-09-22,69
2022-09-23,70
2022-09-24,47
2022-09-25,47
2022-09-26,59
2022-09-27,63
2022-09-28,60
2022-09-29,64
2022-09-30,70
2022-10-01,41
2022-10-02,43
2022-10-03,66
2022-10-04,64
2022-10-05,65
2022-10-06,73
2022-10-07,66
2022-10-08,52
2022-10-09,45
2022-10-10,60
2022-10-11,68
2022-10-12,64
2022-10-13,67
2022-10-14,81
2022-10-15,48
2022-10-16,51
2022-10-17,79
2022-10-18,78
2022-10-19,77
2022-10-20,71
2022-10-21,81
2022-10-22,47
2022-10-23,48
2022-10-24,63
2022-10-25,76
2022-10-26,80
2022-10-27,76
2022-10-28,68
2022-10-29,44
2022-10-30,38
2022-10-31,57
2022-11-01,64
2022-11-02,73
2022-11-03,75
2022-11-04,68
2022-11-05,46
2022-11-06,51
2022-11-07,67
2022-11-08,59
2022-11-09,74
2022-11-10,74
2022-11-11,62
2022-11-12,47
2022-11-13,38
2022-11-14,73
2022-11-15,74
2022-11-16,81
2022-11-17,87
2022-11-18,84
2022-11-19,45
2022-11-20,49
2022-11-21,56
2022-11-22,69
2022-11-23,55
2022-11-24,50
2022-11-25,46
2022-11-26,46
2022-11-27,44
2022-11-28,59
2022-11-29,63
2022-11-30,75
2022-12-01,73
2022-12-02,74
2022-12-03,45
2022-12-04,43
2022-12-05,62
2022-12-06,64
2022-12-07,71
2022-12-08,67
2022-12-09,64
2022-12-10,38
2022-12-11,37
2022-12-12,62
2022-12-13,63
2022-12-14,64
2022-12-15,65
2022-12-16,70
2022-12-17,44
2022-12-18,48
2022-12-19,65
2022-12-20,68
2022-12-21,70
2022-12-22,50
2022-12-23,51
2022-12-24,51
2022-12-25,44
2022-12-26,44
2022-12-27,42
2022-12-28,40
2022-12-29,41
2022-12-30,41
2022-12-31,44
2023-01-01,47
2023-01-02,46
2023-01-03,50
2023-01-04,56
2023-01-05,64
2023-01-06,61
2023-01-07,38
2023-01-08,42
2023-01-09,61
2023-01-10,70
2023-01-11,66
2023-01-12,70
2023-01-13,64
2023-01-14,40
2023-01-15,42
2023-01-16,45
2023-01-17,60
2023-01-18,66
2023-01-19,65
2023-01-20,76
2023-01-21,40
2023-01-22,44
2023-01-23,63
2023-01-24,80
2023-01-25,58
2023-01-26,65
2023-01-27,72
2023-01-28,41
2023-01-29,45
2023-01-30,61
2023-01-31,69
2023-02-01,67
2023-02-02,67
2023-02-03,69
2023-02-04,41
2023-02-05,44
2023-02-06,62
2023-02-07,66
2023-02-08,68
2023-02-09,74
2023-02-10,83
2023-02-11,40
2023-02-12,46
2023-02-13,57
2023-02-14,69
2023-02-15,81
2023-02-16,77
2023-02-17,68
2023-02-18,43
2023-02-19,43
2023-02-20,49
2023-02-21,71
2023-02-22,65
2023-02-23,63
2023-02-24,67
2023-02-25,45
2023-02-26,41
2023-02-27,64
2023-02-28,64
2023-03-01,67
2023-03-02,66
2023-03-03,66
2023-03-04,42
2023-03-05,41
2023-03-06,67
2023-03-07,75
2023-03-08,75
2023-03-09,75
2023-03-10,62
2023-03-11,41
2023-03-12,42
2023-03-13,55
2023-03-14,57
2023-03-15,62
2023-03-16,62
2023-03-17,53
2023-03-18,35
2023-03-19,40
2023-03-20,57
2023-03-21,59
2023-03-22,63
2023-03-23,80
2023-03-24,76
2023-03-25,43
2023-03-26,44
2023-03-27,63
2023-03-28,66
2023-03-29,66
2023-03-30,76
2023-03-31,71
2023-04-01,44
2023-04-02,44
2023-04-03,58
2023-04-04,61
2023-04-05,59
2023-04-06,62
2023-04-07,42
2023-04-08,40
2023-04-09,38
2023-04-10,52
2023-04-11,54
2023-04-12,52
2023-04-13,56
2023-04-14,62
2023-04-15,35
2023-04-16,36
2023-04-17,62
2023-04-18,69
2023-04-19,64
2023-04-20,76
2023-04-21,67
2023-04-22,34
2023-04-23,33
2023-04-24,57
2023-04-25,63
2023-04-26,62
2023-04-27,73
2023-04-28,65
2023-04-29,38
2023-04-30,35
2023-05-01,63
2023-05-02,75
2023-05-03,69
2023-05-04,78
2023-05-05,64
2023-05-06,43
2023-05-07,42
2023-05-08,69
2023-05-09,80
2023-05-10,78
2023-05-11,84
2023-05-12,99
2023-05-13,48
2023-05-14,49
2023-05-15,77
2023-05-16,85
2023-05-17,90
2023-05-18,100
2023-05-19,99
2023-05-20,47
2023-05-21,51
2023-05-22,84
2023-05-23,85
2023-05-24,90
2023-05-25,91
