Time,chase login
2023-12-22,89
2023-12-23,64
2023-12-24,44
2023-12-25,39
2023-12-26,86
2023-12-27,96
2023-12-28,90
2023-12-29,95
2023-12-30,73
2023-12-31,58
2024-01-01,64
2024-01-02,98
2024-01-03,100
2024-01-04,97
2024-01-05,88
2024-01-06,72
2024-01-07,56
2024-01-08,87
2024-01-09,89
2024-01-10,89
2024-01-11,86
2024-01-12,89
2024-01-13,69
2024-01-14,53
2024-01-15,73
2024-01-16,78
2024-01-17,86
2024-01-18,80
2024-01-19,86
2024-01-20,72
2024-01-21,55
2024-01-22,75
2024-01-23,77
2024-01-24,82
2024-01-25,84
2024-01-26,76
2024-01-27,63
2024-01-28,52
2024-01-29,79
2024-01-30,79
2024-01-31,89
2024-02-01,95
2024-02-02,97
2024-02-03,74
2024-02-04,61
2024-02-05,80
2024-02-06,87
2024-02-07,85
2024-02-08,76
2024-02-09,82
2024-02-10,70
2024-02-11,53
2024-02-12,68
2024-02-13,79
2024-02-14,81
2024-02-15,84
2024-02-16,87
2024-02-17,70
2024-02-18,59
2024-02-19,82
2024-02-20,79
2024-02-21,84
2024-02-22,80
2024-02-23,79
2024-02-24,63
2024-02-25,55
2024-02-26,79
2024-02-27,78
2024-02-28,79
2024-02-29,89
2024-03-01,95
2024-03-02,78
2024-03-03,62
2024-03-04,84
2024-03-05,82
2024-03-06,80
2024-03-07,77
2024-03-08,78
2024-03-09,64
2024-03-10,57
2024-03-11,80
2024-03-12,79
2024-03-13,84
2024-03-14,81
2024-03-15,86
2024-03-16,63
2024-03-17,54
2024-03-18,80
2024-03-19,81
2024-03-20,84
2024-03-21,74
2024-03-22,78
2024-03-23,64
2024-03-24,50
2024-03-25,78
2024-03-26,83
2024-03-27,78
2024-03-28,83
2024-03-29,82
2024-03-30,61
2024-03-31,48
2024-04-01,98
2024-04-02,84
2024-04-03,75
2024-04-04,81
2024-04-05,77
2024-04-06,63
2024-04-07,53
2024-04-08,70
2024-04-09,80
2024-04-10,81
2024-04-11,75
2024-04-12,86
2024-04-13,62
2024-04-14,54
2024-04-15,85
2024-04-16,77
2024-04-17,82
2024-04-18,72
2024-04-19,80
2024-04-20,55
2024-04-21,47
2024-04-22,73
2024-04-23,68
2024-04-24,96
2024-04-25,73
2024-04-26,70
2024-04-27,57
2024-04-28,48
2024-04-29,79
2024-04-30,75
2024-05-01,84
2024-05-02,77
2024-05-03,79
2024-05-04,54
2024-05-05,48
2024-05-06,76
2024-05-07,71
2024-05-08,71
2024-05-09,70
2024-05-10,74
2024-05-11,50
2024-05-12,40
2024-05-13,78
2024-05-14,78
2024-05-15,75
2024-05-16,74
2024-05-17,72
2024-05-18,55
2024-05-19,47
2024-05-20,72
2024-05-21,71
2024-05-22,75
2024-05-23,69
2024-05-24,75
2024-05-25,53
2024-05-26,42
2024-05-27,50
2024-05-28,73
2024-05-29,76
2024-05-30,79
2024-05-31,83
2024-06-01,70
2024-06-02,55
2024-06-03,88
2024-06-04,84
2024-06-05,85
2024-06-06,79
2024-06-07,79
2024-06-08,54
2024-06-09,49
2024-06-10,84
2024-06-11,75
2024-06-12,77
2024-06-13,74
2024-06-14,82
2024-06-15,57
2024-06-16,46
2024-06-17,78
2024-06-18,76
2024-06-19,75
2024-06-20,71
2024-06-21,83
2024-06-22,54
2024-06-23,47
2024-06-24,77
2024-06-25,77
2024-06-26,81
2024-06-27,73
2024-06-28,83
2024-06-29,61
2024-06-30,54
2024-07-01,94
2024-07-02,88
2024-07-03,78
2024-07-04,60
2024-07-05,70
2024-07-06,57
2024-07-07,50
2024-07-08,84
2024-07-09,83
2024-07-10,81
2024-07-11,78
2024-07-12,76
2024-07-13,56
2024-07-14,43
2024-07-15,76
2024-07-16,79
2024-07-17,75
2024-07-18,75
2024-07-19,72
2024-07-20,51
2024-07-21,44
2024-07-22,77
2024-07-23,74
2024-07-24,72
2024-07-25,81
2024-07-26,77
2024-07-27,54
2024-07-28,50
2024-07-29,78
2024-07-30,78
2024-07-31,85
2024-08-01,90
2024-08-02,90
2024-08-03,64
2024-08-04,51
2024-08-05,84
2024-08-06,83
2024-08-07,79
2024-08-08,74
2024-08-09,83
2024-08-10,57
2024-08-11,48
2024-08-12,76
2024-08-13,76
2024-08-14,83
2024-08-15,86
2024-08-16,87
2024-08-17,58
2024-08-18,53
2024-08-19,72
2024-08-20,75
2024-08-21,78
2024-08-22,73
2024-08-23,75
2024-08-24,52
2024-08-25,50
2024-08-26,73
2024-08-27,80
2024-08-28,75
2024-08-29,74
2024-08-30,84
2024-08-31,60
2024-09-01,56
2024-09-02,62
2024-09-03,91
2024-09-04,82
2024-09-05,78
2024-09-06,77
2024-09-07,55
2024-09-08,48
2024-09-09,75
2024-09-10,71
2024-09-11,68
2024-09-12,73
2024-09-13,77
2024-09-14,58
2024-09-15,49
2024-09-16,72
