Time,chase login
2022-08-29,84
2022-08-30,79
2022-08-31,79
2022-09-01,86
2022-09-02,96
2022-09-03,64
2022-09-04,48
2022-09-05,63
2022-09-06,85
2022-09-07,80
2022-09-08,76
2022-09-09,78
2022-09-10,57
2022-09-11,50
2022-09-12,69
2022-09-13,78
2022-09-14,75
2022-09-15,86
2022-09-16,84
2022-09-17,62
2022-09-18,50
2022-09-19,87
2022-09-20,83
2022-09-21,74
2022-09-22,74
2022-09-23,76
2022-09-24,55
2022-09-25,50
2022-09-26,75
2022-09-27,76
2022-09-28,77
2022-09-29,74
2022-09-30,89
2022-10-01,73
2022-10-02,59
2022-10-03,89
2022-10-04,83
2022-10-05,77
2022-10-06,79
2022-10-07,89
2022-10-08,61
2022-10-09,51
2022-10-10,76
2022-10-11,77
2022-10-12,83
2022-10-13,78
2022-10-14,86
2022-10-15,65
2022-10-16,54
2022-10-17,76
2022-10-18,74
2022-10-19,76
2022-10-20,74
2022-10-21,78
2022-10-22,58
2022-10-23,52
2022-10-24,74
2022-10-25,76
2022-10-26,78
2022-10-27,77
2022-10-28,79
2022-10-29,58
2022-10-30,50
2022-10-31,78
2022-11-01,94
2022-11-02,83
2022-11-03,79
2022-11-04,82
2022-11-05,62
2022-11-06,51
2022-11-07,76
2022-11-08,75
2022-11-09,70
2022-11-10,77
2022-11-11,77
2022-11-12,60
2022-11-13,49
2022-11-14,84
2022-11-15,83
2022-11-16,84
2022-11-17,79
2022-11-18,78
2022-11-19,68
2022-11-20,51
2022-11-21,76
2022-11-22,79
2022-11-23,79
2022-11-24,46
2022-11-25,68
2022-11-26,56
2022-11-27,60
2022-11-28,85
2022-11-29,76
2022-11-30,74
2022-12-01,93
2022-12-02,92
2022-12-03,72
2022-12-04,60
2022-12-05,80
2022-12-06,86
2022-12-07,80
2022-12-08,84
2022-12-09,79
2022-12-10,66
2022-12-11,56
2022-12-12,79
2022-12-13,81
2022-12-14,81
2022-12-15,85
2022-12-16,86
2022-12-17,69
2022-12-18,54
2022-12-19,80
2022-12-20,86
2022-12-21,87
2022-12-22,87
2022-12-23,78
2022-12-24,52
2022-12-25,34
2022-12-26,68
2022-12-27,86
2022-12-28,90
2022-12-29,92
2022-12-30,92
2022-12-31,68
2023-01-01,58
2023-01-02,83
2023-01-03,92
2023-01-04,89
2023-01-05,81
2023-01-06,89
2023-01-07,83
2023-01-08,61
2023-01-09,79
2023-01-10,82
2023-01-11,85
2023-01-12,87
2023-01-13,87
2023-01-14,68
2023-01-15,56
2023-01-16,76
2023-01-17,86
2023-01-18,85
2023-01-19,80
2023-01-20,84
2023-01-21,68
2023-01-22,56
2023-01-23,82
2023-01-24,85
2023-01-25,78
2023-01-26,82
2023-01-27,80
2023-01-28,69
2023-01-29,53
2023-01-30,78
2023-01-31,90
2023-02-01,94
2023-02-02,91
2023-02-03,93
2023-02-04,74
2023-02-05,63
2023-02-06,86
2023-02-07,86
2023-02-08,78
2023-02-09,79
2023-02-10,84
2023-02-11,70
2023-02-12,57
2023-02-13,82
2023-02-14,86
2023-02-15,92
2023-02-16,81
2023-02-17,89
2023-02-18,72
2023-02-19,59
2023-02-20,84
2023-02-21,84
2023-02-22,79
2023-02-23,79
2023-02-24,83
2023-02-25,70
2023-02-26,62
2023-02-27,79
2023-02-28,93
2023-03-01,98
2023-03-02,95
2023-03-03,92
2023-03-04,75
2023-03-05,65
2023-03-06,82
2023-03-07,89
2023-03-08,85
2023-03-09,79
2023-03-10,88
2023-03-11,76
2023-03-12,61
2023-03-13,75
2023-03-14,84
2023-03-15,87
2023-03-16,86
2023-03-17,87
2023-03-18,70
2023-03-19,64
2023-03-20,87
2023-03-21,89
2023-03-22,80
2023-03-23,81
2023-03-24,84
2023-03-25,68
2023-03-26,59
2023-03-27,80
2023-03-28,81
2023-03-29,76
2023-03-30,84
2023-03-31,88
2023-04-01,82
2023-04-02,70
2023-04-03,94
2023-04-04,92
2023-04-05,99
2023-04-06,85
2023-04-07,85
2023-04-08,67
2023-04-09,50
2023-04-10,90
2023-04-11,88
2023-04-12,86
2023-04-13,87
2023-04-14,100
2023-04-15,71
2023-04-16,63
2023-04-17,88
2023-04-18,85
2023-04-19,85
2023-04-20,80
2023-04-21,80
2023-04-22,67
2023-04-23,57
2023-04-24,80
2023-04-25,81
2023-04-26,76
2023-04-27,82
2023-04-28,81
2023-04-29,72
2023-04-30,66
2023-05-01,96
2023-05-02,92
2023-05-03,88
2023-05-04,83
2023-05-05,87
2023-05-06,66
2023-05-07,57
2023-05-08,80
2023-05-09,79
2023-05-10,86
2023-05-11,79
2023-05-12,85
2023-05-13,67
2023-05-14,52
2023-05-15,90
2023-05-16,89
2023-05-17,78
2023-05-18,81
2023-05-19,89
2023-05-20,67
2023-05-21,58
2023-05-22,86
2023-05-23,80
2023-05-24,83
2023-05-25,86
