Time,chase login
2023-04-26,70
2023-04-27,76
2023-04-28,75
2023-04-29,67
2023-04-30,61
2023-05-01,89
2023-05-02,85
2023-05-03,82
2023-05-04,77
2023-05-05,81
2023-05-06,61
2023-05-07,52
2023-05-08,74
2023-05-09,73
2023-05-10,80
2023-05-11,73
2023-05-12,79
2023-05-13,62
2023-05-14,48
2023-05-15,83
2023-05-16,83
2023-05-17,73
2023-05-18,75
2023-05-19,83
2023-05-20,62
2023-05-21,54
2023-05-22,80
2023-05-23,74
2023-05-24,77
2023-05-25,79
2023-05-26,83
2023-05-27,64
2023-05-28,52
2023-05-29,58
2023-05-30,93
2023-05-31,91
2023-06-01,98
2023-06-02,97
2023-06-03,74
2023-06-04,62
2023-06-05,91
2023-06-06,82
2023-06-07,82
2023-06-08,83
2023-06-09,83
2023-06-10,69
2023-06-11,57
2023-06-12,84
2023-06-13,80
2023-06-14,80
2023-06-15,80
2023-06-16,91
2023-06-17,65
2023-06-18,49
2023-06-19,79
2023-06-20,82
2023-06-21,85
2023-06-22,78
2023-06-23,82
2023-06-24,63
2023-06-25,53
2023-06-26,78
2023-06-27,82
2023-06-28,86
2023-06-29,79
2023-06-30,91
2023-07-01,83
2023-07-02,63
2023-07-03,84
2023-07-04,67
2023-07-05,84
2023-07-06,90
2023-07-07,92
2023-07-08,67
2023-07-09,59
2023-07-10,92
2023-07-11,88
2023-07-12,90
2023-07-13,85
2023-07-14,93
2023-07-15,70
2023-07-16,58
2023-07-17,93
2023-07-18,83
2023-07-19,84
2023-07-20,81
2023-07-21,81
2023-07-22,61
2023-07-23,54
2023-07-24,86
2023-07-25,92
2023-07-26,78
2023-07-27,76
2023-07-28,82
2023-07-29,65
2023-07-30,56
2023-07-31,83
2023-08-01,100
2023-08-02,93
2023-08-03,90
2023-08-04,89
2023-08-05,64
2023-08-06,54
2023-08-07,90
2023-08-08,83
2023-08-09,88
2023-08-10,86
2023-08-11,83
2023-08-12,60
2023-08-13,52
2023-08-14,84
2023-08-15,84
2023-08-16,87
2023-08-17,81
2023-08-18,79
2023-08-19,61
2023-08-20,53
2023-08-21,80
2023-08-22,80
2023-08-23,76
2023-08-24,73
2023-08-25,70
2023-08-26,55
2023-08-27,51
2023-08-28,75
2023-08-29,73
2023-08-30,75
2023-08-31,81
2023-09-01,92
2023-09-02,69
2023-09-03,49
2023-09-04,62
2023-09-05,83
2023-09-06,79
2023-09-07,78
2023-09-08,79
2023-09-09,67
2023-09-10,53
2023-09-11,75
2023-09-12,73
2023-09-13,76
2023-09-14,73
2023-09-15,83
2023-09-16,61
2023-09-17,50
2023-09-18,77
2023-09-19,73
2023-09-20,78
2023-09-21,80
2023-09-22,74
2023-09-23,58
2023-09-24,50
2023-09-25,77
2023-09-26,74
2023-09-27,75
2023-09-28,77
2023-09-29,75
2023-09-30,64
2023-10-01,63
2023-10-02,92
2023-10-03,92
2023-10-04,87
2023-10-05,79
2023-10-06,81
2023-10-07,57
2023-10-08,50
2023-10-09,72
2023-10-10,77
2023-10-11,80
2023-10-12,79
2023-10-13,82
2023-10-14,62
2023-10-15,58
2023-10-16,81
2023-10-17,82
2023-10-18,79
2023-10-19,78
2023-10-20,81
2023-10-21,61
2023-10-22,52
2023-10-23,76
2023-10-24,76
2023-10-25,72
2023-10-26,69
2023-10-27,77
2023-10-28,57
2023-10-29,49
2023-10-30,75
2023-10-31,84
2023-11-01,88
2023-11-02,80
2023-11-03,82
2023-11-04,62
2023-11-05,54
2023-11-06,81
2023-11-07,76
2023-11-08,80
2023-11-09,78
2023-11-10,73
2023-11-11,52
2023-11-12,46
2023-11-13,71
2023-11-14,72
2023-11-15,77
2023-11-16,79
2023-11-17,72
2023-11-18,58
2023-11-19,44
2023-11-20,76
2023-11-21,75
2023-11-22,71
2023-11-23,42
2023-11-24,62
2023-11-25,60
2023-11-26,53
2023-11-27,84
2023-11-28,83
2023-11-29,73
2023-11-30,81
2023-12-01,96
2023-12-02,73
2023-12-03,57
2023-12-04,85
2023-12-05,84
2023-12-06,78
2023-12-07,80
2023-12-08,79
2023-12-09,63
2023-12-10,56
2023-12-11,74
2023-12-12,75
2023-12-13,74
2023-12-14,81
2023-12-15,83
2023-12-16,68
2023-12-17,53
2023-12-18,76
2023-12-19,80
2023-12-20,86
2023-12-21,88
2023-12-22,84
2023-12-23,60
2023-12-24,41
2023-12-25,37
2023-12-26,81
2023-12-27,90
2023-12-28,84
2023-12-29,89
2023-12-30,68
2023-12-31,54
2024-01-01,60
2024-01-02,92
2024-01-03,94
2024-01-04,91
2024-01-05,82
2024-01-06,68
2024-01-07,53
2024-01-08,81
2024-01-09,84
2024-01-10,83
2024-01-11,81
2024-01-12,83
2024-01-13,65
2024-01-14,50
2024-01-15,69
2024-01-16,73
2024-01-17,80
2024-01-18,75
2024-01-19,81
2024-01-20,68
