Time,old navy
2023-12-22,77
2023-12-23,79
2023-12-24,67
2023-12-25,42
2023-12-26,61
2023-12-27,59
2023-12-28,53
2023-12-29,54
2023-12-30,58
2023-12-31,58
2024-01-01,50
2024-01-02,40
2024-01-03,44
2024-01-04,42
2024-01-05,42
2024-01-06,48
2024-01-07,49
2024-01-08,36
2024-01-09,37
2024-01-10,38
2024-01-11,40
2024-01-12,43
2024-01-13,51
2024-01-14,48
2024-01-15,46
2024-01-16,37
2024-01-17,36
2024-01-18,36
2024-01-19,39
2024-01-20,47
2024-01-21,45
2024-01-22,34
2024-01-23,34
2024-01-24,35
2024-01-25,37
2024-01-26,38
2024-01-27,46
2024-01-28,48
2024-01-29,39
2024-01-30,35
2024-01-31,37
2024-02-01,38
2024-02-02,40
2024-02-03,54
2024-02-04,48
2024-02-05,38
2024-02-06,36
2024-02-07,40
2024-02-08,38
2024-02-09,40
2024-02-10,50
2024-02-11,46
2024-02-12,31
2024-02-13,39
2024-02-14,34
2024-02-15,37
2024-02-16,41
2024-02-17,50
2024-02-18,57
2024-02-19,49
2024-02-20,40
2024-02-21,38
2024-02-22,40
2024-02-23,39
2024-02-24,55
2024-02-25,60
2024-02-26,43
2024-02-27,40
2024-02-28,38
2024-02-29,40
2024-03-01,45
2024-03-02,77
2024-03-03,86
2024-03-04,58
2024-03-05,46
2024-03-06,49
2024-03-07,48
2024-03-08,47
2024-03-09,70
2024-03-10,81
2024-03-11,51
2024-03-12,45
2024-03-13,46
2024-03-14,47
2024-03-15,52
2024-03-16,72
2024-03-17,95
2024-03-18,62
2024-03-19,58
2024-03-20,62
2024-03-21,49
2024-03-22,46
2024-03-23,61
2024-03-24,64
2024-03-25,46
2024-03-26,41
2024-03-27,44
2024-03-28,44
2024-03-29,55
2024-03-30,66
2024-03-31,59
2024-04-01,45
2024-04-02,39
2024-04-03,38
2024-04-04,41
2024-04-05,43
2024-04-06,58
2024-04-07,63
2024-04-08,43
2024-04-09,42
2024-04-10,43
2024-04-11,40
2024-04-12,45
2024-04-13,62
2024-04-14,69
2024-04-15,46
2024-04-16,44
2024-04-17,41
2024-04-18,47
2024-04-19,44
2024-04-20,54
2024-04-21,62
2024-04-22,44
2024-04-23,42
2024-04-24,42
2024-04-25,43
2024-04-26,41
2024-04-27,56
2024-04-28,64
2024-04-29,50
2024-04-30,44
2024-05-01,43
2024-05-02,46
2024-05-03,45
2024-05-04,57
2024-05-05,62
2024-05-06,46
2024-05-07,44
2024-05-08,49
2024-05-09,48
2024-05-10,47
2024-05-11,57
2024-05-12,58
2024-05-13,50
2024-05-14,46
2024-05-15,47
2024-05-16,51
2024-05-17,51
2024-05-18,69
2024-05-19,74
2024-05-20,57
2024-05-21,51
2024-05-22,54
2024-05-23,53
2024-05-24,67
2024-05-25,79
2024-05-26,87
2024-05-27,100
2024-05-28,61
2024-05-29,51
2024-05-30,52
2024-05-31,57
2024-06-01,75
2024-06-02,80
2024-06-03,58
2024-06-04,56
2024-06-05,58
2024-06-06,57
2024-06-07,62
2024-06-08,74
2024-06-09,90
2024-06-10,59
2024-06-11,54
2024-06-12,51
2024-06-13,49
2024-06-14,54
2024-06-15,62
2024-06-16,66
2024-06-17,51
2024-06-18,53
2024-06-19,57
2024-06-20,50
2024-06-21,60
2024-06-22,66
2024-06-23,72
2024-06-24,53
2024-06-25,50
2024-06-26,50
2024-06-27,52
2024-06-28,54
2024-06-29,61
2024-06-30,69
2024-07-01,54
2024-07-02,56
2024-07-03,65
2024-07-04,82
2024-07-05,47
2024-07-06,61
2024-07-07,57
2024-07-08,47
2024-07-09,51
2024-07-10,43
2024-07-11,47
2024-07-12,56
2024-07-13,61
2024-07-14,57
2024-07-15,55
2024-07-16,56
2024-07-17,54
2024-07-18,66
2024-07-19,53
2024-07-20,61
2024-07-21,61
2024-07-22,48
2024-07-23,46
2024-07-24,44
2024-07-25,49
2024-07-26,57
2024-07-27,72
2024-07-28,86
2024-07-29,69
2024-07-30,58
2024-07-31,49
2024-08-01,50
2024-08-02,59
2024-08-03,83
2024-08-04,84
2024-08-05,60
2024-08-06,54
2024-08-07,56
2024-08-08,56
2024-08-09,54
2024-08-10,69
2024-08-11,81
2024-08-12,50
2024-08-13,45
2024-08-14,41
2024-08-15,42
2024-08-16,48
2024-08-17,59
2024-08-18,64
2024-08-19,45
2024-08-20,45
2024-08-21,43
2024-08-22,40
2024-08-23,43
2024-08-24,53
2024-08-25,56
2024-08-26,41
2024-08-27,39
2024-08-28,37
2024-08-29,38
2024-08-30,43
2024-08-31,50
2024-09-01,57
2024-09-02,57
2024-09-03,44
2024-09-04,40
2024-09-05,35
2024-09-06,37
2024-09-07,47
2024-09-08,53
2024-09-09,39
2024-09-10,39
2024-09-11,41
2024-09-12,36
2024-09-13,39
2024-09-14,48
2024-09-15,47
2024-09-16,38
