Time,google maps
2023-12-22,67
2023-12-23,47
2023-12-24,38
2023-12-25,34
2023-12-26,56
2023-12-27,66
2023-12-28,66
2023-12-29,64
2023-12-30,46
2023-12-31,42
2024-01-01,42
2024-01-02,72
2024-01-03,80
2024-01-04,81
2024-01-05,78
2024-01-06,51
2024-01-07,48
2024-01-08,78
2024-01-09,78
2024-01-10,84
2024-01-11,88
2024-01-12,78
2024-01-13,52
2024-01-14,46
2024-01-15,63
2024-01-16,75
2024-01-17,82
2024-01-18,78
2024-01-19,73
2024-01-20,52
2024-01-21,47
2024-01-22,81
2024-01-23,81
2024-01-24,81
2024-01-25,82
2024-01-26,81
2024-01-27,57
2024-01-28,51
2024-01-29,84
2024-01-30,92
2024-01-31,92
2024-02-01,96
2024-02-02,90
2024-02-03,57
2024-02-04,56
2024-02-05,93
2024-02-06,95
2024-02-07,96
2024-02-08,97
2024-02-09,88
2024-02-10,60
2024-02-11,51
2024-02-12,81
2024-02-13,94
2024-02-14,100
2024-02-15,99
2024-02-16,91
2024-02-17,57
2024-02-18,54
2024-02-19,82
2024-02-20,98
2024-02-21,94
2024-02-22,93
2024-02-23,91
2024-02-24,59
2024-02-25,56
2024-02-26,92
2024-02-27,88
2024-02-28,89
2024-02-29,91
2024-03-01,87
2024-03-02,54
2024-03-03,54
2024-03-04,87
2024-03-05,87
2024-03-06,83
2024-03-07,84
2024-03-08,82
2024-03-09,57
2024-03-10,53
2024-03-11,82
2024-03-12,87
2024-03-13,85
2024-03-14,84
2024-03-15,80
2024-03-16,57
2024-03-17,53
2024-03-18,85
2024-03-19,86
2024-03-20,86
2024-03-21,88
2024-03-22,81
2024-03-23,55
2024-03-24,52
2024-03-25,85
2024-03-26,91
2024-03-27,88
2024-03-28,85
2024-03-29,71
2024-03-30,53
2024-03-31,46
2024-04-01,81
2024-04-02,89
2024-04-03,85
2024-04-04,83
2024-04-05,86
2024-04-06,58
2024-04-07,56
2024-04-08,82
2024-04-09,88
2024-04-10,85
2024-04-11,84
2024-04-12,82
2024-04-13,57
2024-04-14,54
2024-04-15,89
2024-04-16,97
2024-04-17,87
2024-04-18,87
2024-04-19,86
2024-04-20,57
2024-04-21,55
2024-04-22,88
2024-04-23,92
2024-04-24,89
2024-04-25,86
2024-04-26,81
2024-04-27,57
2024-04-28,54
2024-04-29,86
2024-04-30,87
2024-05-01,88
2024-05-02,86
2024-05-03,84
2024-05-04,55
2024-05-05,57
2024-05-06,91
2024-05-07,95
2024-05-08,92
2024-05-09,89
2024-05-10,88
2024-05-11,59
2024-05-12,51
2024-05-13,89
2024-05-14,91
2024-05-15,89
2024-05-16,89
2024-05-17,91
2024-05-18,62
2024-05-19,55
2024-05-20,91
2024-05-21,92
2024-05-22,93
2024-05-23,90
2024-05-24,82
2024-05-25,59
2024-05-26,62
2024-05-27,65
2024-05-28,94
2024-05-29,96
2024-05-30,91
2024-05-31,89
2024-06-01,62
2024-06-02,63
2024-06-03,89
2024-06-04,84
2024-06-05,88
2024-06-06,86
2024-06-07,81
2024-06-08,57
2024-06-09,57
2024-06-10,90
2024-06-11,82
2024-06-12,87
2024-06-13,88
2024-06-14,81
2024-06-15,54
2024-06-16,52
2024-06-17,84
2024-06-18,83
2024-06-19,79
2024-06-20,83
2024-06-21,83
2024-06-22,59
2024-06-23,59
2024-06-24,91
2024-06-25,80
2024-06-26,85
2024-06-27,80
2024-06-28,85
2024-06-29,56
2024-06-30,53
2024-07-01,83
2024-07-02,83
2024-07-03,79
2024-07-04,55
2024-07-05,63
2024-07-06,53
2024-07-07,55
2024-07-08,82
2024-07-09,81
2024-07-10,83
2024-07-11,81
2024-07-12,77
2024-07-13,53
2024-07-14,51
2024-07-15,78
2024-07-16,82
2024-07-17,83
2024-07-18,80
2024-07-19,77
2024-07-20,57
2024-07-21,53
2024-07-22,77
2024-07-23,83
2024-07-24,79
2024-07-25,81
2024-07-26,76
2024-07-27,54
2024-07-28,55
2024-07-29,81
2024-07-30,83
2024-07-31,79
2024-08-01,78
2024-08-02,79
2024-08-03,53
2024-08-04,52
2024-08-05,79
2024-08-06,79
2024-08-07,81
2024-08-08,79
2024-08-09,78
2024-08-10,52
2024-08-11,55
2024-08-12,85
2024-08-13,84
2024-08-14,85
2024-08-15,86
2024-08-16,81
2024-08-17,52
2024-08-18,56
2024-08-19,87
2024-08-20,94
2024-08-21,87
2024-08-22,89
2024-08-23,82
2024-08-24,56
2024-08-25,55
2024-08-26,84
2024-08-27,88
2024-08-28,88
2024-08-29,86
2024-08-30,82
2024-08-31,54
2024-09-01,52
2024-09-02,53
2024-09-03,83
2024-09-04,88
2024-09-05,88
2024-09-06,77
2024-09-07,53
2024-09-08,48
2024-09-09,81
2024-09-10,86
2024-09-11,84
2024-09-12,90
2024-09-13,81
2024-09-14,55
2024-09-15,47
2024-09-16,82
